MTR_IDENT	RMK_SEQ	REMARKS	CYCLE_DATE
IR128	3	y R-5104/5105. When command directives preclude TF/TA/VMC operations aircrews will maintain the IFR altitude for each route segment. Minimum altitudes, other than surface, are established to provide 100' vertical clearance of known man-made	200103
IR128	4	obstructions within the route width. Command directives may require additional obstruction clearance for TF/TA/VMC operations. The entire route is designated non-mountainous. Regulations governing operations below 500' AGL must be complied	200103
IR128	5	with. The route corridor provides airspace for 500' lateral separation from man-made obstacles. Obstructions under 200' AGL were not considered in route design. Aircrews must be aware of charted airports within or near route corridor limit	200103
IR128	6	s. ROUTE WIDTH - 4 NM either side of centerline from A to C; 3 NM left and 2.5 NMright of centerline from C to DE; 3 NM either side of centerline from DE to E;	200103
IR128	7	4 NM either side of centerline from E to K; 5 NM left and 4 NM right of centerline from K to M; 4 NM either side of centerline from M to Q; 4 NM left and 3 NM right of centerline from Q to R; 3 NM left and 4 NM right of centerline from R to	200103
IR128	8	U; 4 NM either side of centerline from U to W; 4 NM left and 3 NM right of centerline from W to Y; 3 NM either side of centerline from Y to Z; 4 NM either sideof centerline from Z to AF. Re-Entry; 4 NM either side of centerline from O1 to	200103
IR128	9	J1. Alternate Exit RG: 4 NM left and 5 NM right of centerline from RA to RC; 5 NM either side of centerline from RC to RE; 5 NM left and 3 NM right of centerline from RE to RG. Re-Entry R-5104/R-5105 boundaries from RG to RH; 4 NM either s	200103
IR128	10	ide of centerline from RH to RG1. Special Operating Procedures: (1) Lost communications (LC) procedures: Route LC altitude will be publishe	200103
IR128	11	d IFR altitude for the route. On exit aircrews will climb at AE to cross exit AFat 110 MSL and use 110 MSL as LC altitude from this point. NOTE: Aircraft goingto Dyess AFB, TX will proceed at 110 MSL, to the ABI 161/30 DME, IAF (Jessa) an	200103
IR128	12	d execute the HI-ILS or LOC/DME RWY 34 (circle as required). (2) Participating aircraft separation: Route is designated for MARSA operations established by coordi	200103
IR128	13	nated scheduling.                                          (3) Centerline between turn points is depicted as a 7.5 NM arc except between RH and RI and RJ and RK, which are 6 NM radius arcs.                                 (4) Aircraft at TF	200103
IR128	14	/TA/VMC altitude may be required to fly at a higher minimum tracking altitude aslisted in 99 ECRGR 50-3, for scored activity. In no case will aircraft fly below command directed TF/TA/VMC altitudes.                      (5) Aircrews must b	200103
IR128	15	e aware of airports within or near route corridor limits.  Particular vigilance must be given to the following airports: N33-02.0 W101-55.7; N34-00.8 W102-59.6;N32-08.5 W103-09.5; N33-16.1 W103-11.4.                    (6) TF capable aircr	200103
IR128	16	aft can make an Auto-TF descent beginning at A from 170 MSL. (7) Additional tactical descent procedures. TF capable aircraft, when specifically cleared by ARTCC, wil	200103
IR128	17	l cross A at FL 220 or as assigned and begin descent to cross B at or below 50 MSL, then via published route.                   (8) The method of MARSA between IR-180 and IR-128 will be scheduling.           (9) Unit schedulers using Altern	200103
IR128	18	ate Exit RG must deconflict IR-113 and R-5104/5105 and must comply with range orders.                                           (10) Aircrews aborting on Alternate Exit RG will if conditions permit, abort to the southwest to avoid turning i	200103
IR128	19	nto Cannon Approach Airspace.                   (11) Minimum separation between scheduled entry times is 10 minutes. ARTCC provides users with separation from known IFR traffic only. MARSA applies after aircraft have passed the Entry/Altern	200103
IR128	20	ate Entry Point until ATC established standard separation after exiting the route.                                                (12) Aircrews should be aware of the 5549' tower at N33-33.2 W103-39.1 which is 451' below the IFR altitude on	200103
IR128	21	Alternate Exit RG, but outside the corridor.     (13) Aircrews should be alerted to the increase of migratory waterfowl throughout the entire route (especiallybetween J and N) during the spring and fall migration season.	200103
IR128	22	(14) Aircrews are advised of a new 923' tower N32-54.40 W103-41.13. (15) Aircrews should monitor 255.4 approaching	200103
IR128	23	G. T-37 and T-1 aircraft flying SR-275/277 cross at G at 1000' AGL. (16) Noise Sensitive Areas: Avoid all Noise Sensitive Areas by 1000' or 1/4 mile:	200103
IR128	24	(a) Residence at N32-14.4 W103-03.9; (b) Residence at N32-10.0 W103-33.9;	200103
IR128	25	(c) School at N32-47.9 W101-26.8. FSS's Within 100 NM Radius: ABQ, SJT	200103
IR129	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. ROUTE WIDTH - 5 NM either side of centerline from A to E; 2.5 NM either side of centerline from E to G; 5 NM either side of centerline from G to K.	200011
IR129	2	Special Operating Procedures: (1) Minimum separation between scheduled entry times is 10 minutes.  ARTCC provides users with separation from known IFR traffic only. MARSA applies after aircr	200011
IR129	3	aft have passed the Entry/Alternate Entry point until ATC establishes standard separation after exiting the route. (2) IR-129 and VR-188 share common route segments, opposite direction, from Poin	200011
IR129	4	t A to Point E. IR-129, IR-127 and VR-187 share common route segments from PointE to Point K. Route Deconfliction is assured through coordinated scheduling. (VICTOR) airways and VFR flyways cross all route segments.	200011
IR129	5	(3) All aircraft will monitor FSS 255.4 unless assigned a frequency by ARTCC. (4) All Entry/Alternate Entry points and Exit/Alternate Exit Ppoints are compulsory reporting points.	200011
IR129	6	(5) Aircraft exiting at K will proceed to LOA via the LOA 041 radial, then via flight plan route. Cross the LOA 041/11 at 8000'. Maintain 8000' until cleared higher.	200011
IR129	7	(6) NORDO procedures: In the event of lost communications, and unable to proceedVFR, proceed from over K via the LOA 041 radial to LOA, then via flight plan route. Climb and maintain 8000'. Cross the LOA 041/11 at 8000'.	200011
IR129	8	(7) Sensitive Area: Avoid by 1300' AGL or 1 NM radius: N33-49-30 W95-55-30; N33-47-30 W95-31-30; N33-00-00 W94-36-00; N31-56-30 W94-41-20. Avoid areas by 1500' AGL or 1 NM radius: N31-54-30 W94-23-30; N31-57-00 W94-14-30; N31-48-00 W95-09-0	200011
IR129	9	0; N31-39-00 W95-04-00. Avoid the bounded area by 1300' AGL: N32-54-30 W94- 45-00 to N32-55-00 W94-37-30 to N32-45-00 W94-24-00 to N32-45-00 W94-36-30. (8) Obstructions: Tower 440' AGL N32-29-50 W94-06-38; tower 500' AGL N34-00-57 W	200011
IR129	10	95-19-15; tower 464' AGL N33-54-56 W95-28-08; tower 420' AGL N31-45-08 W95-06-13; tower 450' AGL N32-30-40 W94-07-20; tower 420' AGL N32-21-30 W94-06-30. (9) Alternate Entry: E.	200011
IR129	11	(10) The following Class C and Public Use Airports, as depicted on Houston, Memphis and Dallas-Ft Worth Sectional Charts are within 5 NM of IR-129 route corridors:	200011
IR129	12	(a) Point B-C: Stamper Arpt; (b) Point C-D: McCurtain Co. Arpt; (c) Point D-E: Lonestar Arpt;	200011
IR129	13	(d) Point F-G: Harrison Co Arpt and Shreveport Class C Airspace; (e) Point G-H: Panola Co. Arpt; (f) Point H: Center Arpt;	200011
IR129	14	(g) Point I-J: Cherokee Co Arpt. FSS's Within 100 NM Radius: CXO, DRI, FTW, MLC, SJT	200011
IR130	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. ROUTE WIDTH - 7 NM either side of centerline. Special Operating Procedures:	200011
IR130	2	(1) Airspeeds are subsonic. (2) This route to be used by ALCM and ALCM carrier aircraft only. FSS's Within 100 NM Radius: SJT	200011
IR131	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. ROUTE WIDTH - 5 NM either side of centerline. Special Operating Procedures:	200011
IR131	2	(1) Airspeeds are subsonic. (2) This route to be used by ALCM and ALCM carrier aircraft only. (3) Anyone wishing to schedule IR-131 must ensure they have also scheduled R-510	200011
IR131	3	7B, R-5107D, R-5103B and R-5103C. FSS's Within 100 NM Radius:	200011
IR132	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. ROUTE WIDTH - 5 NM either side of centerline. Special Operating Procedures:	200011
IR132	2	(1) Airspeeds are subsonic. (2) This route to be used by ALCM and ALCM carrier aircraft only. (3) Anyone wishing to schedule IR-132 must ensure they have also scheduled R-510	200011
IR132	3	7B, R-5107D, R-5103B and R-5103C. FSS's Within 100 NM Radius:	200011
IR133	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. Do not descend below minimum specified altitude for each leg. ROUTE WIDTH - Starting at N33-17.2 W105-21.3 to N33-32 W105-08 to N34-06 W104-58	200103
IR133	2	to N34-13 W105-05 to N34-31 W105-05 to N34-32 W104-58 to N34-42 W105-13 to N34-42 W106-14 to N34-16 W106-30 to N33-50 W106-30 via the southern boundary of R-5107C to N33-45 W106-04 to N33-39 W105-49 to N34-27 W105-49 to N34-22 W105-30 to N	200103
IR133	3	33-35 W105-14 to N33-20 W105-26.2 to beginning. Alternate Entry ELK: 2 NM eitherside of centerline from A2 to A. Special Operating Procedures:	200103
IR133	4	(1) Request for use shall be coordinated with 49 OSS/OSOS 24 hours in advance. Request for weekend use shall be coordinated between 0730-1630 local Mon-Fri. (2) Route segments C through I designated as maneuver area.	200103
IR133	5	(3) Contact Cherokee Control 294.6 for clearance into White Sands Missile Range (WSMR). If unable to enter WSMR, contact Holloman APP CON or Albuquerque ARTCC, as appropriate, for further clearance.	200103
IR133	6	(4) IMC authorized only in accordance with appropriate USAF guidelines. (5) MARSA applies at entries, along the route and exits. MARSA accomplished by scheduling and See and Avoid.	200103
IR133	7	(6) Use of segment F-F2 not authorized if R-5107H active unless alternate exit Red Rio scheduled through 49 OSS/OSOS and in radio contact with and clearance received from Cherokee Control.	200103
IR133	8	(7) Do not penetrate R-5107H or R-5107J on Segment H-I unless scheduled into this airspace through 49 OSS/OSOS and in radio contact with and clearance received from Cherokee Control.	200103
IR133	9	(8) SAR responsibilities rest with the appropriate military command post. (9) Alternate Entry Points: A2-A, C, E-E1 (from Pecos Low MOA only), F-F2,(for entrance to Red Rio only).	200103
IR133	10	(10) Alternate Exit Points: D-D1 (to Pecos Low MOA only), F-F2 (to Red Rio Rangeonly), G and H. (11) No fly and noise sensitive areas:	200103
IR133	11	(a) Avoid the following national monument sites by 3 NM or 1,500' AGL: N34-15.5 W106-06; N34-36.0 W106-23; N34-26.8 W106-23.5; (b) Avoid the following airfields by 3 NM or 1,500' AGL: N34-32.5 W106-13.4; N34	200103
IR133	12	-05.6 W106-07.1; (c) Avoid the following towns by 2 NM or 1,500' AGL: N34-36 W106-02; N34-36 W105-12.5; N34-31.5 W106-14.5; N34-39 W105-27.5;	200103
IR133	13	(d) Avoid the following noise sensitive areas by 1 NM or 1,500' AGL: N33-34.5 W105-12; N34-32.5 W105-21.5; N33-25.3 W105-18.8; N34-06.0 W106-28.0; N34-02.0 W106-28.5; N34-08.1 W105-59.5; N33-54.0 W105-50.0; N34-16.9 W105-05.0; N33-59.0 W105	200103
IR133	14	-18.0; N34-28.5 W106-17.9; N34-40.0 W105-32.1; N34-08 W105-23; N34-39.5 W105-41.3; N34-28 W105-54. (12) Uncharted obstacles below 100' AGL are not listed. The following uncharted	200103
IR133	15	obstacles taller than 100' exist within the route structure: (a) Tower 190' AGL N33-25.5 W105-14.0; (b) Tower 125' AGL N33-55.1 W105-19.5;	200103
IR133	16	(c) Tower 225' AGL N34-15.1 W105-59.2; (d) Tower 125' AGL N34-12.5 W106-01.5; (e) Tower 175' AGL N34-39.6 W105-19.8;	200103
IR133	17	(f) Tower 240' AGL N34-30.5 W106-11.8; (g) Tower 125' AGL N34-20.4 W106-17.8; (h) Tower 100' AGL N34-29.5 W105-21.5;	200103
IR133	18	(i) Tower 150' AGL N34-08.5 W105-05.2; (j) Tower 300' AGL N34-41.5 W105-41.9. (13) Stay above 1,000' AGL in the following areas:	200103
IR133	19	(a) 1 NM either side of U.S. Hwy 380 between Point A and Point B; (b) 1 NM either side of U.S. Hwy 70 between Point A and Point B; (c) 2 NM circle centered at N33-33.5 W105-10.5;	200103
IR133	20	(d) 2 NM circle centered at N33-35.2 W105-10.1. FSS's Within 100 NM Radius: ABQ	200103
IR134	1	TERRAIN FOLLOWING OPERATIONS: Authorized from Point C to Point I and from Point K to Point M; Not authorized on any alternate entry or from Point A to Point C and from Point I to Point K.	200301
IR134	2	ROUTE WIDTH - Starting at N32-35 W105-10 to N32-13 W105-15 to N32-10.5 W105-00 to N32-35 W105-10 to N32-44 W105-23 to N32-34 W105-30 to N32-26 W105-30 to N32-15W105-42 to N32-06 W105-41 to N32-02 W104-41 to N32-12 W104-41 to N33-00 W105-09	200301
IR134	3	to N33-00 W105-21.5 to N32-36 W105-38.5 to N32-44 W105-59 to N32-27.8 W106-00 to N32-23 W105-42.5 to N32-15 W105-42 to N32-26 W105-30 to N32-34 W105-30 to N32-44 W105-23 to point of beginning.	200301
IR134	4	Special Operating Procedures: (1) Coordinate use requests with 49 OSS/OSOS 24 hours in advance, and weekend use requests between 1430-2230Z Mon-Fri.	200301
IR134	5	(2) From Point C to Point H and Point K to Point M route is designated maneuvering airspace and cleared for LOWAT. (3) Uncharted obstacles below 100' AGL are not listed.	200301
IR134	6	(4) If not scheduled on Centennial Range or for entry into R-5103B and R-5103B is active, use alternate exit ZIPER. If R-5103B is not active, route can be flownto Point M.	200301
IR134	7	(5) To schedule Centennial Range, or R-5103B, contact 49 OSS/OSOS. Comply with all range procedures listed in the current HAFB range supplement. (6) To scheduled Centennial Range, contact 49 OSS/OSOS. Comply with all procedur	200301
IR134	8	es listed in current HAFB range supplement. (7) Exiting at Point M and not scheduled into Centennial Range or R-5103B or exiting at ZIPER, contact Holloman Approach Control 325.3. All other exits contact	200301
IR134	9	Albuquerque ARTCC 292.15. (8) To transition from IR-134 to/from Talon MOA, both the MOA and the IR must bescheduled and procedural briefing received from 49 OSS/OSOS. Request 20 minute	200301
IR134	10	block time in MOA starting 15 minutes after IR entry time. Contact Albuquerque ARTCC 292.15 for clearance into MOA, prior to exceeding top of the altitude blockon segment G-H, and do not exceed 12,500' MSL until cleared by Albuquerque ARTC	200301
IR134	11	C to do so. (9) Alternate Entries: Point F (from El Paso Gap, IR-194 only); Point H (from Talon Low MOA only).	200301
IR134	12	(10) Alternate Exits: Point F (to El Paso Gap, IR-194 only); Point G (to Talon Low MOA only); Point I (to ZIPER only); Point J. (11) MARSA applies at entry, exit and along the route. MARSA is accomplished by	200301
IR134	13	scheduling and See and Avoid. Control is based on pilot's scheduled exit time. (12) Route conflicts with IR-192, IR-194 and IR-195. (13) Avoid the following sites by the altitude/distance stipulated:	200301
IR134	14	(a) Ranch - 1,500' AGL or 1 NM: N32-10.9 W105-35.7 (b) Ranch - 1,000' AGL or 1 NM: N32-17.9 W105-26.1 (c) Town (Queen) - 1,500' AGL or 1.5 NM: N32-11.8 W104-43.9	200301
IR134	15	(d) Cantonment area - 1,000' slant range (e) Town (Dunken) - 500' slant range (14) Avoid the following noise sensitive areas by 1,000' slant range:	200301
IR134	16	(a) N32-01.56 W104-46.5 (b) N32-01.6 W105-35.0 (c) N32-02.8 W104-45.7	200301
IR134	17	(d) N32-40.8 W105-35.4 (15) Obstacles on route less than 100' AGL are not listed.  The following objects 100' AGL or taller are within the route boundaries and not depicted on current	200301
IR134	18	maps: (a) 2 towers 125' AGL N32-09.8 W104-49.5 (b) 4 towers 100' AGL N32-05.3 W104-43.0	200301
IR134	19	(c) Tower 125' AGL N32-06.8 W105-05.3 (d) Tower 100' AGL N32-05.2 W105-32.5 (e) Tower 125' AGL N32-37.5 W104-59.5	200301
IR134	20	(f) Tower 100' AGL N32-21.7 W105-46.5 (g) Tower 125' AGL N32-36.4 W105-38.03. (16) The only aircraft authorized to operate below 500' AGL are Tornados (100' A	200301
IR134	21	GL minimum).	200301
IR135	1	ROUTE WIDTH - 8 NM either side of centerline from A to D; 5 NM either side of centerline from D to F; 8 NM either side of centerline from F to G. Special Operating Procedures:	200011
IR135	2	(1) A to C altitude may be assigned by ATC.                                   (2) Route will be flown at 240-420 kt.                                         (3)Maneuvering from A to G for road reconnaissance and simulated attacks.    (4) C	200011
IR135	3	ontact Houston ARTCC 307.2 at D coordination of crossing of airway corridor. If no contact with Houston ARTCC 307.2 cross corridor which is located between E and F between 3000' to 5000' MSL.	200011
IR135	4	(5) Aircraft shall be scheduled with a minimum of 10 minutes longitudinal separation. (6) The primary method of invoking MARSA shall be by sche	200011
IR135	5	duling.                (7) All proposed users of IR-135 or any other approved IRroute that is common with IR-135 or any part thereof, shall coordinate that route with COMTRAWING TWO, Kingsville NAS, TX.	200011
IR135	6	(8) MARSA applies after aircraft have passed the entry point and until standard ATC separation is established after exiting the route. (9) Lost communications route and altitude for TRAWING	200011
IR135	7	TWO aircraft shall be: G direct NQI 270/026, maintain 15,000', then a HI-TACAN RWY 13 penetration to the 15 NM arc, then via either a north or south arc, complete remainder of HI-TACAN RWY 13L or 35R approach.	200011
IR135	8	(10) Lost communications route and altitude for all other users shall be as above except maintain 7000'. (11) All entry and exit points shall be compulsory reporting	200011
IR135	9	points.                (12) Aircraft other than Kingsville NAS based shall fly IR-135 from A to B a 5000' to 7000', and from B to G at 3000' to 7000' MSL. (13) Houston ARTCC frequency from A to B is 291.6 or a	200011
IR135	10	s assigned; from B to G, 307.2 or as assigned; and after G, 307.2 or SAT FSS. (14) Scheduling of, or amendments to shall be coordinated with the scheduling activity 2 hours prior to use in accordance with Letter of A	200011
IR135	11	greement between COMTRAWING TWO, Houston ARTCC and Kingsville NAS ATCF. FSS's Within 100 NM Radius: SJT	200011
IR136	1	TERRAIN FOLLOWING OPERATIONS: Authorized for entire route. ROUTE WIDTH - 5 NM either side of centerline from A to D; 4 NM either side of centerline from D to E; 5 NM either side of centerline from E to F.	200011
IR136	2	Special Operating Procedures: (1) Route altitude may be assigned by ATC. (2) Route will be flown from 300-420 kt.                                       (	200011
IR136	3	3) Minimum IMC altitude is 2000' MSL.                                          (4) Radar advisories are available from Corpus Christi APP CON from A to B. (5) Aircra	200011
IR136	4	ft shall be scheduled with a minimum of 10 minutes longitudinal separation. (6) The primary method of invoking MARSA shall be by scheduling.                (7) All pr	200011
IR136	5	oposed users of IR-136, or any other IR route that is common with IR-136, or anypart thereof, shall coordinate that route with COMTRAWING TWO, Kingsville NAS, TX.                                                                   (8) MARSA	200011
IR136	6	applies after aircraft have passed the entry point and until standard ATC separation is established after exiting  the route.                           (9) The lost communications route and altitude for TRAWING TWO aircraft shall be: F dire	200011
IR136	7	ct NQI 270/026 maintain 15,000', then a HI-TACAN RWY 13 penetration to the 15 NMarc, then via either a north or south arc and complete remainder of HI-TACAN RWY 13R OR 35R approach.                                                  (10) NOT	200011
IR136	8	E: If radio failure occurs prior to receiving clearance into IR-6312, exit the route after passing the LRD 025 radial between E and F.                 (11) The lost communications route and altitude for all other users shall be as above, ex	200011
IR136	9	cept maintain 7000'.                                                   (12) All Entry and Exit points shall be compulsory reporting points.                (13) Alternate Entry: C.                                                        (14)	200011
IR136	10	ATC frequencies are: A to C, CPR approach 354.8 or as assigned; C to F, TAC frequency or as assigned; after F, Houston ARTCC 307.2 or SAT FSS.           (15) Scheduling of, or amendments to shall be coordinated with the scheduling activity	200011
IR136	11	2 hours prior to use in accordance with Letter of Agreement between COMTRAWING TWO, Houston ARTCC and Kingsville NAS ATCF.                              FSS's Within 100 NM Radius: SJT	200011
IR137	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. IMC Terrain Following (TF) authorized within major command guidance. ROUTE WIDTH - 5 NM either side of centerline.	200210
IR137	2	Special Operating Procedures: (1) This route restricted to turboprop, tiltrotor, and rotary wing aircraft only.	200210
IR137	3	(2) This route conflicts with IR-109, IR-409, IR-415/424 and VR-1175. To deconflict with IR-409 or IR-415/424, contact 140th OG, Buckley ANGB, DSN 877-9470/71/72. To deconflict with IR-109, contact 27 OSS, Cannon AFB, DSN 681-2279.	200210
IR137	4	(3) Alternate Exit: Points F, G and I. (4) Avoid Abiquiu Dam at N36-15.0 W106-26.0 by 1 NM or 1000' AGL. (5) Avoid Canon de San Diego, N35-46.0 W106-41.0 by 3 NM.	200210
IR137	5	(6) Avoid the following airfields by 2 NM or 2000' AGL: (a) Ghost Airfield at N36-18.0 W106-29.0; (b) Cuchara Valley at N37-31.0 W105-01.0;	200210
IR137	6	(c) Johnson at N37-42.0 W104-47.0. (7) CAUTION: Numerous powerlines cross route. (8) CAUTION: Numerous towers and obstructions exist on this route which are haza	200210
IR137	7	rds to flight at flight altitudes less than 300' AGL. Contact 58 OSS/OSO DSN 263-5701/5979 to obtain a current and complete fax list of unchummed/uncharted obstructions.	200210
IR137	8	(9) Contact 58 OSS, DSN 263-5979/5888, C505-853-5979/5888/5701 for a fax or email of the most current Avoid Areas. FSS's Within 100 NM Radius: ABQ, DEN	200210
IR139	1	TERRAIN FOLLOWING OPERATIONS: Authorized A to E. ROUTE WIDTH - 5 NM either side of centerline A to D; 10 NM either side of centerline D to E; 5 NM either side of centerline E to F.	200011
IR139	2	Special Operating Procedures: (1) Route is designed MARSA and MARSA shall also apply between aircraft flying VR-158 by utilizing (See and Avoid) and/or route scheduling.	200011
IR139	3	(2) Route will be flown between 300 and 600 KIAS. (3) Alternate Entry Points: C, D, and E. (4) Alternate Exit Points: D and E.	200011
IR139	4	(5) Aircraft will report Point D to Fort Worth ARTCC 381.65. (6) Aircraft will report Point E to Gray RAPCON 244.0. Clearance must be received prior to entering the Hood MOA airspace.	200011
IR139	5	(7) Aircraft will not enter R-6302 without clearance from Hood Radio, Shoal Creek Range Officer, or FAC. (8) Aircraft will remain at or above 1000' AGL from Point E until entering sched	200011
IR139	6	uled/assigned R-6302 airspace. (9) Route is approved LOWAT authorized between Points D and E. (10) Units requesting IR-139 shall furnish 301 OG/SUA with planned entry/exit po	200011
IR139	7	ints, times and planned speeds. Accurate times are critical in the deconflictionprocess. (11) Route Conflictions:	200011
IR139	8	(a) IR-139 from Points A to B and C to D conflict with VR-158 between Points B, C, D, and E. You must call the schedulers at 90 FTS, Sheppard AFB, DSN 736-2675/4995 to deconflict;	200011
IR139	9	(b) IR-139 conflicts with SR-261 from Points F to G. Call Dyess AFB, DSN 461-2792 to deconflict; (c) IR-139 near Point A and between Points C to D conflicts with SR-270 between	200011
IR139	10	Points A, B, and C. SR-270 is infrequently used for point-to-point routing of C130s to a Drop Zone at N32-52 W98-02.7. CAUTION is advised while flying IR-139 due to low level C130 ops in the area. To deconflict, contact in order, the 136 AW	200011
IR139	11	at DSN 874-3277, C817-852-3277 Tactics Shop, X3292 Current Operations, X3256 Operations Desk. FSS's Within 100 NM Radius: CXO, FTW, SJT	200011
IR141	1	TERRAIN FOLLOWING OPERATIONS: Authorized entire route. ROUTE WIDTH - 5 NM either side of centerline form A to L; 5 NM left and 2 NM right of centerline L to N; 5 NM either side of centerline from N to S; 5 NM either	200011
IR141	2	side of centerline from S to A1. Special Operating Procedures: (1) Airspeeds are sub-sonic.	200011
IR141	3	(2) Alternate Entry/Exit: D, K, O and S. (3) This route to be used by ALCM and ALCM carrier aircraft only. (4) For ALCM carrier aircraft a corridor limit of 2.5 NM on the west side of tr	200011
IR141	4	ack exists from A to B. (5) Avoid the following airfields by 1500' or 3 NM: Mayfield Ranch, O-2 Ranch, Maravilas Gap, Chaney, Longfellow Ranch, Saddleback Ranch, Triangle Ranch, Dell	200011
IR141	5	City.                                                                          (6) Avoid the town of Valentine N34-35-00 W104-35-00 by a minimum of 1000' above the highest obstracle within a horizontal radius of 2000' of the aircraft, in ac	200011
IR141	6	cordance with FAR 91.79B.                                                   (7) Anyone wishing to schedule IR-141 must ensure they have also scheduled R-5103B and R-5103C.                                                                 FSS'	200011
IR141	7	s Within 100 NM Radius: SJT	200011
IR142	1	TERRAIN FOLLOWING OPERATIONS: Authorized from Point A to Point H. ROUTE WIDTH - Starting at N33-17.2 W105-21.3 to N33-32 W105-08 to N34-06 W104-58to N34-13 W105-05 to N34-31 W105-05 to N34-32 W104-58 to N34-42 W105-13 to N34-	200307
IR142	2	42 W106-14 to N34-16 W106-30 to N33-50 W106-30 via the southern boundary of R-5107C to N33-45 W106-04 to N33-39 W105-49 to N34-27 W105-49 to N34-22 W105-30 to N33-35 W105-14 to N33-20 W105-26.2 to point of beginning. Alternate Exit: ELK, 2	200307
IR142	3	NM either side of centerline from I to I2. Special Operating Procedures: (1) Request for use shall be coordinated with scheduling agency 24 hours in adva	200307
IR142	4	nce. Request for weekend use shall be coordinated between 0730-1630 local (Mountain Time), Mon-Fri. (2) Route Segments A through H designated as Maneuvering area and cleared for LO	200307
IR142	5	WAT. (3) Route width excludes the airspace within R-5107C, R-5107H, and R-5107J when those areas are active.	200307
IR142	6	(4) Tornado aircraft are authorized to operate down to 100' AGL on/in route segments/areas not otherwise restricted.  All other aircraft may not operate below 500' AGL or the minimum specified in the route description, or above SOPs for eac	200307
IR142	7	h route segment. (5) Buddy-buddy refueling authorized between Tornado fighters between Point A and H. Minimum altitude for buddy-buddy refueling is 500'.	200307
IR142	8	(6) IMC authorized only in accordance with appropriate USAF guidelines. (7) MARSA applies at entry, along the route and at exit. MARSA is accomplished by scheduling and see and avoid. IR-113, IR-133 and IR-142 will not be used concu	200307
IR142	9	rrently. Control shall be based on pilots assigned entry/exit time. (8) SAR responsibilities rest with the appropriate military command post. (9) Route conflicts with IR-113, IR-133, VR-100, VR-125, VR-176, VR-1107, VR-119	200307
IR142	10	5, VR-1233 and SR-213. (10) Alternate entry points:  None. (11) Alternate exit points:  I - I2 (to IR-192 only).	200307
IR142	11	(12) No fly and noise sensitive areas: (a) Avoid the following national monument sites by 3 NM or 1,500' AGL: N34-15.6 W106-05.6; N34-26.8 W106-23.5	200307
IR142	12	(b) Avoid the following airports by 3 NM or 1,500' AGL: Carrizozo (c) Avoid the following towns by distances shown: Carrizozo: 1500' AGL or 2 NM, N33-38.6 W105-52.2;	200307
IR142	13	Claunch: 1000' AGL or 2000' radius, N34-08.6 W105-59.7; Duran: 1000' AGL or 2000' radius, N34-28.25 W105-23.65; Mountainair: 1500' AGL or 3 NM radius, N34-31.5 W106-14.5;	200307
IR142	14	Negra: 1000' AGL or 2000' radius, N34-40.0 W105-32.35; Encino: 1000' AGL or 1 NM radius, N34-39.15 W105-27; Vaughn: 1500' AGL or 2.75 NM radius, N34-36.3 W105-12.45;	200307
IR142	15	Willard: 1000' AGL 2000' radius, N34-36.0 W 106-02.0 (d) Avoid the following noise sensitive areas by altitude/distance specified: Ranch home N34-06.15 W106-07.1, 1000' AGL or 1 NM radius;	200307
IR142	16	Ranch home N33-33.9 W105-50.15, 1000' AGL or 2 NM radius; Ranch home N34-05.76 W106-23.73, 1000 slant range; Site N33-34.5 W105-12.0 1500' AGL or 1 NM radius;	200307
IR142	17	Site N33-25.3 W105-18.8 1500' AGL or 1 NM radius. (13) Uncharted obstacles below 100' AGL are not listed. The following uncharted obstacles taller than 100' exist within the route structure:	200307
IR142	18	(a) Tower 125' AGL N34-38.95 W105-20.46; (b) Tower 150' AGL N33-55.2 W105-19.6; (c) Tower 150' AGL N34-08.6 W105-05.3;	200307
IR142	19	(d) Tower 150' AGL N34-11.45 W106-01.85; (e) Tower 150' AGL N34-20.46 W106-17.9; (f) Tower 175' AGL N33-22.9 W105-17.36;	200307
IR142	20	(g) Tower 175' AGL N34-39.48 W105-29.45; (h) Tower 100' AGL N34-14.6 W105-59.55; (i) Tower 215' AGL N33-53.45 W106-22.0;	200307
IR142	21	(j) Tower 225' AGL N34-24.55 W106-27.0; (k) Tower 235' AGL N34-30.45 W106-11.8; (l) Tower 275' AGL N34-30.4 W105-06.6;	200307
IR142	22	(m) Tower 300' AGL N34-40.83 W105-41.20; (n) Tower (2) 150' AGL N33-25.99 W105-13.8; (o) Tower (multiple) 150' AGL N34-14.8 W105-47.25.	200307
IR142	23	(14) Stay above 500' AGL in the areas bounded by the following coordinates: Arabella:  N33-37.0 W105-16.9 to N33-37.0 W105-14.56 to N33-29.73 W105-07.99 toN33-25.9 W105-10.56 to N33-31.75 W105-19.1 to N33-35.23 W105-20.43 to POB.	200307
