NAV_IDENT	TYPE	CTRY	NAV_KEY_CD	STATE_PROV	NAME	ICAO	WAC	FREQ	USAGE_CD	CHAN	RCC	FREQ_PROT	POWER	NAV_RANGE	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	SLAVED_VAR	MAG_VAR	ELEV	DME_WGS_LAT	DME_WGS_DLAT	DME_WGS_LONG	DME_WGS_DLONG	DME_ELEV	ARPT_ICAO	OS	CYCLE_DATE
EE	5	US	1	27	TAMIE	KZ	0266	374000K	L		MH		U	U	WGE	WGE	N45473016	45.791711	W095181973	-95.305481		E002568 0106	01400					U	KAXN	I	200204
EEC	5	SP	1		EL COPERO	LE	0347	327000K	L		MH		U	U	WGE	WGE	N37185550	37.315417	W006000470	-6.001306		W002506 0106	U					U	LEEC	I	200204
EED	2	US	1	06	NEEDLES	KZ	0405	115200M	B	099X	HA		U	U	WGE	WGE	N34455762	34.766006	W114282678	-114.474106	E01500165	E012259 0106	00620					U	IFP	I	200204
EEF	5	US	1	02	ELEPHANT	PA	0138	391000K	L		H		U	U	WGE	WGE	N58101547	58.170964	W135152850	-135.257917		E022464 0106	U					U		I	199809
EEL	4	NL	1		EELDE	EH	0170	112400M	B	071X	HA	060/50	U	60	WGE	WGE	N53095006	53.163906	E006400003	6.666675	W00100798	W000015 0106	00032					U	EHGG	I	200204
EEN	2	US	1	33	KEENE	KZ	0310	109400M	L	031X	L		U	U	WGE	WGE	N42473940	42.794278	W072173040	-72.291778	W01400192	W014531 0106	01380					U	KEEN	I	200204
EEX	5	US	1	13	EMANUEL CO	KZ	0409	309000K	T		MH		25	U	WGE	WGE	N32395952	32.666533	W082270975	-82.452708		W005202 0606	00258					U	SBO	I	200607
EF	5	CA	1		CHAMPION	CZ	0216	206000K	L		MH		U	U	WGE	WGE	N49152200	49.256111	W117380600	-117.635000		E017017 0106	U					U	CYCG	I	200205
EFC	5	US	1	46	BELLE FOURCHE	KZ	0267	269000K	T		MH		U	U	WGE	WGE	N44441179	44.736608	W103513308	-103.859189		E009266 0106	03189					U	EFC	O	200204
EFD	3	US	1	48	ELLINGTON	KZ	0468		B	031X	L		U	U	WGE	WGE	N29362145	29.605958	W095093475	-95.159653	E00501292	E003464 0106	00030					U	EFD	I	200313
EFD	9	GM	1		ERFURT	ED	0231		T	057Y	T	025/10	U	25	WGE	WGE	N50585740	50.982611	E010572779	10.957719		E001271 0106	01076					U	EDDE	I	200304
EFK	5	US	1	50	NEWPORT	KZ	0263	242000K	T		MH		25	U	WGE	WGE	N44571017	44.952825	W072103837	-72.177325		W015471 0106	U					U	EFK	I	200204
EFW	5	US	1	19	JEFFERSON	KZ	0307	391000K	T		MH		25	U	WGE	WGE	N42004884	42.013567	W094203379	-94.342719		E002308 0106	01041					U	EFW	I	200204
EG	5	BG	1		CHITTAGONG	VG	0557	287000K	T		MH		U	U	WGE	WGE	N22150461	22.251281	E091490453	91.817925		W000372 0106	U					U	VGEG	I	200205
EGE	5	US	1	08	EAGLE	KZ	0361	357000K	T		H		100	U	WGE	WGE	N39384765	39.646568	W106545136	-106.914265		E010330 0106	06539					U		I	200202
EGG	5	GM	1		EGGENFELDEN	ED	0231	393000K	B		MH		U	25	WGE	WGE	N48234938	48.397050	E012445921	12.749781		E001565 0106	01329					U	EDME	I	200508
EGN	5	GR	2		AIGINA	LG	0343	382000K	T		MH		40	50	EUR	WGE	N37455139	37.764275	E023252574	23.423816		E003138 0106	U					U		I	200113
EGQ	5	US	1	19	EMMETSBURG	KZ	0307	410000K	L		MH		U	U	WGE	WGE	N43060394	43.101094	W094422592	-94.707200		E002425 0106	01200					U	EGQ	I	200204
EGT	5	US	1	20	WELLINGTON	KZ	0360	414000K	T		MH		25	U	WGE	WGE	N37192518	37.323661	W097232469	-97.390192		E004554 0606	01270					U	EGT	I	200608
EGV	5	US	1	55	EAGLE RIVER	KZ	0265	341000K	T		MH		25	U	WGE	WGE	N45555774	45.932706	W089154755	-89.263208		W002352 0106	01644					U	EGV	I	200501
EGY	5	US	1	02	ENGLISH BAY	PA	0135	374000K	T		H		90	U	WGE	WGE	N57072635	57.123985	W170162022	-170.272284		E009597 0106	U					U		I	199809
EH	5	GM	1		EGELSBACH	ED	0231	386000K	T		MH		15	15	WGE	WGE	N49573623	49.960064	E008383347	8.642631		E000478 0106	U					U	EDFE	I	200204
EHA	5	US	1	20	ELKHART	KZ	0361	377000K	T		MH		25	U	WGE	WGE	N37000409	37.001136	W101530460	-101.884611		E007426 0106	03617					U	EHA	I	200204
EHF	2	US	1	06	SHAFTER	KZ	0404	115400M	B	101X	HA		U	U	WGE	WGE	N35290444	35.484568	W119055027	-119.097297	E01400185	E013369 0106	00550					U	DLO	I	200204
EHM	7	US	1	02	CAPE NEWENHAM	PA	0135	385000K	B	018Y	H		U	U	WGE	WGE	N58392114	58.655872	W162043300	-162.075833		E014206 0106	00541					U	PAEH	I	200204
EHN	5	NL	1		EINDHOVEN	EH	0230	397000K	B		MH		15	25	WGE	WGE	N51280400	51.467778	E005234200	5.395000		W000193 0106	00059					U	EHEH	I	200204
EHV	3	NL	1		EINDHOVEN	EH	0230		B	119X	HA	040/25	50	40	WGE	WGE	N51265300	51.448056	E005223000	5.375000	W00200798	W000196 0106	00081					U	EHEH	I	200606
EI	5	US	1	40	GARFY	KZ	0360	341000K	T		MH		U	U	WGE	WGE	N36163012	36.275033	W097472668	-97.790744		E005148 0106	01100					U	KWDG	I	200204
EIC	2	US	1	22	BELCHER	KZ	0408	117400M	B	121X	HA		U	U	WGE	WGE	N32461691	32.771365	W093483575	-93.809929	E00700165	E002467 0106	00190					U	KBAD	I	200204
EIL	3	US	1	02	EIELSON	PA	0077		B	098X	HA		U	U	WGE	WGE	N64391380	64.653833	W147053840	-147.094000	E02600192	E022414 0106	00528					U	PAEI	I	200412
EJA	4	CO	1		BARRANCABERMEJA	SK	0828	115900M	B	106X	HA		1000	100	WGE	WGE	N07014268	7.028522	W073481981	-73.805503	W00400798	W006137 0106	00424					U	SKEJ	I	200204
EJK	5	US	1	13	GREENSBORO	KZ	0409	397000K	T		MH		U	U	WGE	WGE	N33354162	33.594894	W083082660	-83.140722		W004593 0106	00662					U		I	199809
EK	5	US	1	25	GOZZR	KZ	0310	417000K	T		MH		U	U	WGE	WGE	N42153346	42.259294	W071441012	-71.736144		W014594 0106	U					U	KORH	I	200206
EKI	4	TU	1		TEKIRDAG	LT	0323	116300M	B	110X	HA		U	U	WGE	WGE	N40570700	40.951944	E027253600	27.426667	E00200798	E004038 0106	01047					U		I	200405
EKN	2	US	1	54	ELKINS	KZ	0358	114200M	L	089X	L		U	U	WGE	WGE	N38545197	38.914436	W080055738	-80.099272	W00700192	W008296 0106	02160					U	KEKN	O	200204
EKN	5	UK	1		ENNISKILLEN	EG	0172	357500K	B		MH		U	15	WGE	WGE	N54233927	54.394242	W007383612	-7.643367		W005571 0106	U					U	EGAB	I	200204
EKN	9	UK	1		ENNISKILLEN	EG	0172		T	114Y	T		U	20	WGE	WGE	N54235513	54.398647	W007391299	-7.653608		W005574 0106	00176					U		I	200203
EKQ	5	US	1	21	ELK SPRING	KZ	0358	290000K	L		MH		25	U	WGE	WGE	N36512236	36.856211	W084511061	-84.852947		W004205 0106	00950					U		O	200409
EKR	4	US	1	08	MEEKER	KZ	0306	115200M	B	099X	HA		U	U	WGE	WGE	N40040290	40.067473	W107552957	-107.924880	E01500165	E011046 0106	07620					U	EEO	I	200204
EKS	5	US	1	30	ENNIS	KZ	0268	286000K	L		MH		U	U	WGE	WGE	N45155700	45.265833	W111390500	-111.651389		E013395 0206	05326					U	KZ	I	200603
EL	5	BM	1		EL	VY	0677	390000K	B		MH		U	U	IND	WGE	N19372860	19.624611	E096115090	96.197473		W000453 0306	00302					U	VYEL	I	200605
EL	5	IC	1		ELLIDAVATN	BI	0087	335000K	B		HH		U	100	WGE	WGE	N64045200	64.081111	W021461500	-21.770833		W017002 0106	U					U		I	200007
EL	5	KZ	1		SHALKAR	UA	0246	440000K	B		H		U	U	U	WGE	N47500100	47.833611	E059311100	59.519722		E008269 0106	U					U		I	200308
EL	5	RS	1		YEKATERINBURG	US	0156	786000K	T		H		U	80	U	WGE	N56444200	56.745000	E060430600	60.718333		E013555 0106	U					U	USSS	I	200610
EL	5	US	1	48	VALTR	KZ	0470	242000K	T		H		400	U	WGE	WGE	N31513702	31.860283	W106190426	-106.317850		E009208 0106	U					U	KELP	I	200507
EL	5	US	2	36	HALOS	KZ	0309	269000K	T		MH		U	15	WGE	WGE	N42063637	42.110103	W077545449	-77.915136		W011040 0106	02110					U	ELZ	I	200204
ELA	4	US	1	48	EAGLE LAKE	KZ	0469	116400M	L	111X	HA		U	U	WGE	WGE	N29394483	29.662453	W096190179	-96.317164	E00801292	E004266 0106	00190					U	66R	I	200204
ELB	2	IT	1		ELBA	LI	0320	114700M	B	094X	HA	200/60	U	U	WGE	WGE	N42435047	42.730686	E010234461	10.395725	E00000798	E001214 0106	01388					U		I	200602
ELB	4	CO	1		EL BANCO	SK	0770	114300M	B	090X	HA		1000	100	WGE	WGE	N09024300	9.045278	W073580200	-73.967222	W00500798	W006278 0106	00118					U	SKBC	I	200602
ELB	4	US	1	06	EL TORO	KZ	0404	117200M	T	119X	L		U	U	WGE	WGE	N33403371	33.676031	W117435190	-117.731083	E01400180	E012561 0106	00336					U		I	200306
ELB	5	IT	1		ELBA	LI	0320	360000K	L		MH		U	100	WGE	WGE	N42435700	42.732500	E010233800	10.393889		E001213 0106	U					U		O	200307
ELD	2	US	1	05	EL DORADO	KZ	0408	115500M	B	102X	HA		U	U	WGE	WGE	N33152215	33.256153	W092443821	-92.743947	E00700165	E002019 0106	00230					U	CDH	O	200408
ELD	4	KE	1		ELDORET	HK	0909	114700M	B	094X	HA		U	200	WGE	WGE	N00242396	0.406656	E035135183	35.231064		E000369 0706	06807					U	HKEL	I	200609
ELF	3	GR	1		ELEFSIS	LG	0343		B	019X	T	100/25	U	U	EUR	WGE	N38035441	38.065115	E023333174	23.558817		E003164 0106	00143					U	LGEL	I	200313
ELF	5	GR	1		ELEFSIS	LG	0343	418000K	T		MH		U	25	EUR	WGE	N38035600	38.065556	E023333600	23.560000		E003164 0106	00143					U	LGEL	I	200205
ELI	5	FG	1		ST ELIE	SO	0825	283000K	L		H		U	15	SAN	WGE	N04491860	4.821833	W053170330	-53.284250		W017420 0106	U					U		I	200007
ELI	5	KE	1		ELDORET	HK	0909	373000K	B		HH		U	200	WGE	WGE	N00235751	0.399308	E035124578	35.212717		E000360 0106	U					U	HKEL	I	200609
ELN	2	US	1	53	ELLENSBURG	KZ	0269	117900M	B	126X	HA		U	U	WGE	WGE	N47012766	47.024350	W120273023	-120.458397	E02100165	E017046 0106	01766					U	ELN	I	200402
ELO	4	AG	1		EL OUED	DA	0422	117600M	B	123X	HA	200/40	U	200	WGE	WGE	N33303800	33.510556	E006465000	6.780556	W00200798	E000280 0106	00236					U	DAUO	I	200304
ELO	4	US	1	27	ELY	KZ	0265	109600M	L	033X	L		U	U	WGE	WGE	N47491867	47.821852	W091494853	-91.830147	E00000397	W000352 0106	01490					U	KELO	I	200204
ELO	5	AG	1		EL OUED	DA	0422	358000K	B		MH		25	25	WGE	WGE	N33302260	33.506278	E006471598	6.787772		E000281 0106	U					U	DAUO	I	200204
ELO	5	VE	1		EL DORADO	SV	0826	325000K	L		H		U	U	WGE	WGE	N06435900	6.733056	W061350120	-61.583667		W013567 0306	00318					U	SVED	I	200605
ELP	2	US	1	48	EL PASO	KZ	0470	115200M	B	099X	HA		U	U	WGE	WGE	N31485728	31.815911	W106165478	-106.281883	E01201288	E009196 0106	04020					U	KELP	I	200204
ELQ	5	US	1	51	EMPORIA	KZ	0357	261000K	T		MH		U	U	WGE	WGE	N36370463	36.617953	W077253168	-77.425467		W009474 0106	00061					U	EMV	I	200204
ELU	5	LU	1		LUXEMBOURG	EB	0230	368500K	B		MH		15	25	WGE	WGE	N49404700	49.679722	E006211900	6.355278		E000073 0106	U					U	ELLX	I	200205
ELV	2	SF	1		EAST LONDON	FA	1421	114500M	B	092X	HA		50	100	WGE	WGE	S33021321	-33.037003	E027492290	27.823028	W02200798	W026300 0106	00435					U	FAEL	I	200511
ELW	1	AS	1		EILDON WEIR	YM	1470	112300M	B		HA		U	U	WGE	WGE	S37122280	-37.206333	E145500621	145.835058	E01201104	E011477 0106	U					U		I	200413
ELW	2	US	1	45	ELECTRIC CITY	KZ	0409	108600M	L	023X	L		U	U	WGE	WGE	N34250908	34.419189	W082470482	-82.784672	E00000175	W005265 0506	00740					U	KAND	I	200606
ELX	4	US	1	26	KEELER	KZ	0308	116600M	L	113X	L		U	U	WGE	WGE	N42083985	42.144403	W086072146	-86.122628	E00000188	W004282 0106	00795					U	C91	I	200306
ELY	4	US	1	32	ELY	KZ	0363	110600M	B	043X	HA		U	U	WGE	WGE	N39175325	39.298125	W114505389	-114.848303	E01400165	E013296 0106	06254					U	ELY	I	200306
ELZ	2	US	1	36	WELLSVILLE	KZ	0309	111400M	B	051X	L		U	40	WGE	WGE	N42052273	42.089647	W077595838	-77.999550	W00900488	W011000 0106	02296					U	ELZ	I	200204
EM	5	GL	1		EGEDESMINDE	BG	0057	215000K	B		MH		U	U	WGE	WGE	N68423600	68.710000	W052503600	-52.843333		W036538 0106	U					U		I	200205
EM	5	UG	1		ENTEBBE	HU	0909	355000K	B		HH		U	150	WGE	WGE	N00081894	0.138594	E032252886	32.424683		E000388 0106	U					U	HUEN	I	200204
EMB	5	BR	1		EMBUGUACU	SB	1262	525000K	L		H		U	U	WGE	WGE	S23510240	-23.850667	W046485880	-46.816333		W019438 0106	U					U		I	200212
EMD	5	GM	1		EMDEN	ED	0170	345000K	T		MH		U	25	WGE	WGE	N53233809	53.393914	E007143008	7.241689		E000095 0106	U					U	EDWE	I	200304
EMG	2	US	1	22	ELM GROVE	KZ	0408	111200M	B	049X	L		U	U	WGE	WGE	N32240056	32.400154	W093354253	-93.595148	E00700165	E002395 0106	00160					U	KBAD	I	200204
EMI	2	US	1	24	WESTMINSTER	KZ	0357	117900M	B	126X	HA		U	U	WGE	WGE	N39294203	39.495008	W076584286	-76.978572	W00800188	W010539 0106	00820					U	DMW	I	200307
EML	5	AS	1		EMERALD	YB	1235	324000K	B		H		U	60	WGE	WGE	S23340300	-23.567500	E148101600	148.171111		E008545 0106	00624					U	YEML	I	200204
EMP	2	US	1	20	EMPORIA	KZ	0360	112800M	L	075X	L		U	U	WGE	WGE	N38172812	38.291144	W096081722	-96.138117	E00800165	E004059 0106	01220					U	EMP	I	200204
EMR	5	US	1	13	EMORY	KZ	0409	385000K	T		H		U	U	WGE	WGE	N33274615	33.462819	W081594872	-81.996867		W005480 0106	U					U	KAGS	I	200601
EMT	5	US	1	06	EL MONTE	KZ	0404	359000K	T		MH		U	U	WGE	WGE	N34051793	34.088314	W118015234	-118.031206		E013052 0106	00305					U	EMT	I	200204
EN	5	AS	1		ESSENDON	YM	1469	356000K	B		H		U	60	WGE	WGE	S37433600	-37.726667	E144544100	144.911389		E011344 0106	U					U	YMEN	I	200208
EN	5	KZ	1		SHYMKENT	UT	0328	360000K	B		H		U	U	WGE	WGE	N42223946	42.377628	E069250073	69.416869		E005173 0106	U					U	UAII	I	200208
EN	5	NI	1		ENUGU	DN	0815	394000K	T		MH		U	U	WGE	WGE	N06284362	6.478783	E007351968	7.588800		W002298 0106	U					U	DNEN	I	200510
EN	5	SW	1		OREBRO	ES	0152	400000K	B		HH		U	30	WGE	WGE	N59172770	59.291028	E015035440	15.065111		E003023 0106	U					U	ESOE	I	200204
EN	5	TU	1		MENDERES	LT	0342	315000K	L		MH		U	U	WGE	WGE	N38160000	38.266667	E027094200	27.161667		E003437 0106	U					U	LTBJ	I	200410
EN	5	US	1	31	RIKKY	KZ	0307	426000K	T		MH		U	U	WGE	WGE	N41131058	41.219606	W095490443	-95.817897		E003437 0106	00983					U	KOMA	I	200204
ENA	4	US	1	02	KENAI	PA	0118	117600M	B	123X	HA		U	U	WGE	WGE	N60365293	60.614703	W151114287	-151.195242	E02500192	E019372 0106	00114					U	PAEN	I	200204
END	2	US	1	40	VANCE	KE	0360	115400M	T	101X	HA		U	U	WGE	WGE	N36204188	36.344967	W097550602	-97.918339	E00900165	E005197 0106	01304					U	KEND	I	200204
END	9	GM	1		EGGENFELDEN	ED	0231		T	101X	T		U	25	WGE	WGE	N48233969	48.394358	E012433137	12.725381		E001561 0106	01381					U	EDME	I	200401
ENE	2	US	1	23	KENNEBUNK	KZ	0310	117100M	B	118X	HA		U	U	WGE	WGE	N43253250	43.425694	W070364870	-70.613528	W01700188	W015588 0106	00190					U	B19	I	200204
ENG	4	NI	1		ENUGU	DN	0815	115700M	B	104X	HA		U	U	WGE	WGE	N06280679	6.468553	E007360440	7.601222		W002297 0106	00455					U	DNEN	I	200512
ENH	4	CH	1		ENSHI	ZH	0494	114700M	B	094X	HA		U	U	WGE	WGE	N30173000	30.291667	E109355400	109.598333		W002484 0306	03450					U		I	200605
ENI	2	US	1	06	MENDOCINO	KZ	0364	112300M	B	070X	HA		U	U	WGE	WGE	N39031148	39.053189	W123162700	-123.274167	E01600190	E015134 0106	02980					U	KUKI	I	200204
ENL	2	US	1	17	CENTRALIA	KZ	0359	115000M	B	097X	HA		U	U	WGE	WGE	N38251208	38.420022	W089093246	-89.159017	E00400165	W001126 0106	00550					U	ENL	I	200204
ENM	4	US	1	02	EMMONAK	PA	0119	117800M	B	125X	HA		U	U	WGE	WGE	N62470450	62.784583	W164291521	-164.487558	E01400185	E013521 0106	00005					U	PAEM	I	200605
ENN	2	US	1	02	NENANA	PA	0077	115800M	B	105X	HA		U	U	WGE	WGE	N64352404	64.590011	W149042234	-149.072872	E02700180	E021522 0106	01600					U	PANN	I	200204
ENO	2	US	1	10	SMYRNA	KZ	0357	111400M	B	051X	L		U	U	WGE	WGE	N39135400	39.231668	W075305732	-75.515924	W00900188	W011473 0106	00010					U	KDOV	I	200204
ENO	4	AR	1		MARIANO MORENO	SA	1434	112900M	B	076X	HA		U	185	WGE	WGE	S34334600	-34.562778	W058472600	-58.790556	W00500798	W006449 0106	00105					U	SADJ	I	200205
ENO	4	FI	1		ENODAK	EF	0052	117100M	R	118X	HA		U	U	WGE	WGE	N68225256	68.381267	E023274233	23.461758	E00700100	E008349 0106	01127					U	EFET	I	200406
ENS	4	RS	1		YENISEYSK	UN	0159	112300M	B	070X	HA		U	U	U	WGE	N58280000	58.466667	E092070600	92.118333		E005509 0106	00253					U		I	200310
ENS	5	EI	1		ENNIS	EI	0172	352000K	B		MH		U	U	WGE	WGE	N52541855	52.905153	W008553998	-8.927772		W006080 0106	U					U	EINN	I	200408
ENS	5	MX	1		ENSENADA	MM	0472	400000K	L		H		1000	U	WGE	WGE	N31474528	31.795911	W116362499	-116.606942		E012182 0106	00066					U	MMES	I	200503
ENW	4	US	1	55	KENOSHA	KE	0308	109200M	T	029X	T		U	U	WGE	WGE	N42355670	42.599083	W087555400	-87.931667	W00200392	W003006 0106	00735					U	KENW	I	200204
ENW	9	GM	1		EMDEN	ED	0170		T	099Y	L		U	25	WGE	WGE	N53232089	53.389136	E007134490	7.229139		E000093 0106	00050					U	EDWE	I	200304
ENY	5	US	1	55	KENNEDY	KZ	0265	254000K	T		MH		25	U	WGE	WGE	N46331060	46.552944	W090545227	-90.914519		W001108 0106	00826					U	ASX	I	200204
ENZ	5	US	1	04	NOGALES	KO	0471	394000K	T		H		100	50	WGE	WGE	N31251695	31.421374	W110504721	-110.846447		E010494 0106	03915					U	KOLS	I	200204
EOE	5	US	1	45	ENOREE	KZ	0409	278000K	T		MH		25	U	WGE	WGE	N34184155	34.311542	W081380943	-81.635953		W006145 0106	00558					U	27J	I	200204
EOG	5	US	1	01	GREENSBORO	KZ	0408	417000K	T		MH		25	U	WGE	WGE	N32360848	32.602355	W087394703	-87.663063		W001295 0106	00160					U	7A0	O	200505
EOK	5	US	1	19	KEOKUK	KZ	0308	366000K	L		MH		25	U	WGE	WGE	N40275290	40.464694	W091260090	-91.433583		E000198 0106	00670					U	EOK	I	200604
EON	2	US	1	17	PEOTONE	KZ	0308	113200M	L	079X	L		U	U	WGE	WGE	N41161070	41.269639	W087472779	-87.791053	E00200188	W002508 0106	00690					U	KIKK	I	200204
EON	4	SP	1		LEON	LE	0318	112000M	B	057X	T		U	U	WGE	WGE	N42353757	42.593769	W005384612	-5.646144		W003052 0106	03013	N42353742	42.593728	W005384548	-5.645967	03013	LELN	I	200204
EOP	5	US	1	39	WAVERLY	KZ	0358	385000K	T		MH		49	25	WGE	WGE	N39100087	39.166908	W082555591	-82.932197		W006224 0106	00660					U	EOP	I	200602
EOS	4	US	1	29	NEOSHO	KZ	0360	117300M	B	120X	HA		U	U	WGE	WGE	N36503281	36.842447	W094260852	-94.435700	E00700165	E002580 0106	01200					U	KJLN	I	200204
EPH	2	US	1	53	EPHRATA	KZ	0269	112600M	B	073X	HA		U	U	WGE	WGE	N47224051	47.377919	W119252641	-119.424004	E02100175	E016561 0106	01250					U	MWH	I	200204
EPL	1	FR	3		EPINAL	LF	0230	113000M	B		HA	060/50	25	50	WGE	WGE	N48190420	48.317833	E006033390	6.059417	W00100798	E000071 0106	01154					U	LFSG	I	200606
EPL	5	VE	1		EL PINAL	SV	0828	237000K	L		H		100	U	WGE	WGE	N07310700	7.518611	W071574930	-71.963694		W007342 0306	00059					U	SVSO	I	200605
EPM	5	UK	1		EPSOM	EG	0230	316000K	L		MH		25	25	WGE	WGE	N51191000	51.319444	W000221900	-0.371944		W002207 0106	U					U		I	200410
EPM	5	US	1	23	EASTPORT	KZ	0262	260000K	L		MH		U	U	WGE	WGE	N44544506	44.912517	W067004404	-67.012233		W018022 0106	00046					U	EPM	I	200204
EPO	5	AR	1		COMANDANTE ESPORA	SA	1491	370000K	B		HH		U	216	WGE	WGE	S38440200	-38.733889	W062094600	-62.162778		W001179 0106	00246					U	SAZB	I	200205
EPO	5	CO	1		EL PASO	SK	0829	225000K	L		H		1000	200	WGE	WGE	N04282200	4.472778	W075332400	-75.556667		W004351 0106	10803					U	SKPE	O	200602
EPP	5	AS	1		EPPING	YM	1470	377000K	B		H		U	40	WGE	WGE	S37401800	-37.671667	E145013500	145.026389		E011364 0106	U					U	YMML	I	200206
EPR	4	FR	1		EPERNON	LF	0230	115650M	B	103Y	HA	060/50	U	U	WGE	WGE	N48373250	48.625694	E001392360	1.656556		W001171 0106	00518					U		I	200606
EQA	5	US	1	20	EL DORADO	KZ	0360	383000K	T		MH		25	U	WGE	WGE	N37464606	37.779461	W096485910	-96.816417		E004350 0106	01370					U	EQA	I	200507
EQQ	5	US	1	13	COWETA COUNTY	KZ	0409	234000K	T		MH		25	U	WGE	WGE	N33152443	33.256786	W084424575	-84.712709		W003458 0106	U					U	CCO	I	200601
EQU	4	PE	1		AREQUIPA	SP	1194	113700M	B	084X	HA		50	150	WGE	WGE	S16202000	-16.338889	W071355100	-71.597500	W00100798	W002536 0106	08405					U	SPQU	I	200211
EQZ	5	US	1	18	CAPTAIN	KZ	0358	308000K	T		MH		25	U	WGE	WGE	N38520286	38.867461	W085582290	-85.973028		W003517 0106	00592					U	SER	I	200204
ER	5	AM	1		YEREVAN	UD	0325	496000K	T		MH		25	25	U	WGE	N40084533	40.145925	E044285682	44.482450		E005179 0106	U					U	UGEE	I	200313
ER	5	RS	1		YEGORLYKSKAYA	UR	0249	435000K	B		HH		U	80	U	WGE	N46350000	46.583333	E040400000	40.666667		E006511 0106	U					U		I	199904
ER	5	SF	1		ELLISRAS	FA	1275	345000K	B		H		100	U	WGE	WGE	S23445500	-23.748611	E027372400	27.623333		W014295 0106	U					U	FAER	I	200511
ER	5	TU	2		ERZURUM	LT	0340	434000K	T		MH		U	40	WGE	WGE	N39573600	39.960000	E041174100	41.294722		E005087 0106	U					U	LTCE	I	200204
ER	5	US	2	48	SHEIN	KZ	0469	263000K	T		MH		U	U	WGE	WGE	N29545396	29.914989	W099003389	-99.009414		E005544 0106	01592					U	ERV	I	200601
ER	5	US	3	42	ESMER	KZ	0309	349000K	T		MH		U	U	WGE	WGE	N42021910	42.038639	W080151933	-80.255369		W009174 0106	U					U	KERI	I	200205
ERA	4	MO	1		ERRACHIDIA	GM	0453	117100M	B	118X	HA		U	U	WGE	WGE	N31552700	31.924167	W004213800	-4.360556	W00300798	W002163 0106	03432					U	GMFK	I	200312
ERD	3	GM	1		ERDING	ED	0231		B	083X	L	040/25	25	40	WGE	WGE	N48192940	48.324833	E011571020	11.952833	E00101100	E001443 0106	01545					U	ETSE	I	200303
ERD	5	TU	1		ERDEMIR	LT	0323	401000K	L		MH		U	U	WGE	WGE	N41151600	41.254444	E031250600	31.418333		E004353 0106	00014					U		I	200410
ERE	4	AR	1		CERES	SA	1382	115500M	B	102X	HA		U	185	WGE	WGE	S29515200	-29.864444	W061522000	-61.872222	W00500798	W006203 0106	00287					U		I	200205
ERE	4	CH	1		EREN	ZB	0288	114900M	B	096X	HA		U	U	WGE	WGE	N43381800	43.638333	E111571200	111.953333		W005372 0306	03203					U		I	200605
ERF	4	GM	1		ERFURT	ED	0231	113850M	R	085Y	T	040/25	U	U	WGE	WGE	N50570313	50.950869	E011141207	11.236686	E00100702	E001321 0106	01325					U	EDDE	I	200406
ERH	1	TU	1		MALATYA	LT	0341	112000M	B		HA		U	U	WGE	WGE	N38274800	38.463333	E038064400	38.112222	E00400798	E004416 0106	02723					U	LTAT	I	200512
ERH	3	TU	1		ERHAC	LT	0341		B	082X	T		U	U	WGE	WGE	N38262993	38.441647	E038051024	38.086178		E004413 0106	02858					U	LTAT	I	200313
ERH	5	TU	2		ERHAC	LT	0341	421000K	B		HH		U	U	WGE	WGE	N38274800	38.463333	E038064400	38.112222		E004417 0106	U					U	LTAT	I	200405
ERI	2	US	1	42	ERIE	KZ	0309	109400M	L	031X	L		U	U	WGE	WGE	N42010270	42.017417	W080173373	-80.292703	W00600288	W009152 0106	00800					U	KERI	I	200204
ERK	5	SW	1		ERKEN	ES	0152	383000K	T		MH		U	25	WGE	WGE	N59534640	59.896222	E018201280	18.336889		E004259 0106	U					U		I	200007
ERL	4	GM	1		ERLANGEN	ED	0231	114900M	L	096X	HA	060/50	U	U	WGE	WGE	N49391949	49.655414	E011090292	11.150811	E00101002	E001313 0106	01841					U		I	200605
ERN	4	TU	1		ERZINCAN	LT	0340	112700M	B	074X	HA		U	80	WGE	WGE	N39423000	39.708333	E039314500	39.529167	E00400798	E005002 0106	03757					U	LTCD	I	200503
ERN	5	TU	1		ERZINCAN	LT	0340	430000K	T		MH		U	U	WGE	WGE	N39423000	39.708333	E039314500	39.529167		E005002 0106	03793					U	LTCD	I	200503
ERO	5	CI	1		QUINTERO	SC	1436	384000K	L		H		1000	85	WGE	WGE	S32442000	-32.738889	W071294800	-71.496667		E003518 0106	00046					U	SCER	I	200205
ERP	5	BR	1		EIRUNEPE	SB	1013	265000K	L		H		U	75	WGE	WGE	S06393960	-6.661000	W069522100	-69.872500		W006408 0106	00412					U	SWEI	I	200408
ERT	5	GM	1		ERFURT	ED	0231	425000K	B		MH		U	35	WGE	WGE	N50585737	50.982603	E010552268	10.922967		E001265 0106	01036					U	EDDE	I	200303
ERV	4	SF	1		ELLISRAS	FA	1275	116300M	B	110X	HA		50	100	WGE	WGE	S23373079	-23.625219	E027575170	27.964361		W014244 0106	03790	S23373200	-23.625556	E027572000	27.955556	03790	FAER	I	200511
ERY	4	US	1	26	NEWBERRY	KZ	0265	108200M	L	019X	T		U	U	WGE	WGE	N46184600	46.312778	W085275139	-85.464275	W00600594	W006148 0106	00871					U	ERY	I	200204
