ARPT_IDENT	TYPE	RMK_SEQ	ICAO	REMARKS	CYCLE_DATE
GM30895	MISC	1	ETAR	Fst 1818' Rwy 08 and fst 1836' Rwy 26 is conc, middle 6844' is porous friction asphalt; 180  turns perms only on conc rwy ends exc C160 acft and smaller.  Wx obsn avbl H24. Vis determined at 51' AGL. Vis determination fr offl obsn pt is obs	200605
GM30895	MISC	2	ETAR	cured fr S thru SW. See AP/2, Chap 3, Germany FLIGHT PLANNING for addn info.  Aircrews are encouraged to file outbd FPL the day prior to ETD, deviations to ETD and rte of flt may result in flow ctl dlys. No COMSEC avbl with AIRFIELD MANAGEM	200605
GM30895	MISC	3	ETAR	ENT. Do not ctc twr on 133.2, 386.75 outside of 25NM and abv 4000'.	200605
GM30895	NS ABTMT	1	ETAR	Mand quiet hr 2100-0500Z++ Sun-Sat, 2100Z++ Sat-1200Z++ Sun and GM hol; see AP/2for current listing of Rheinland-Pfalz hol. Eng start not auth prior to 0500Z++wo quiet hr waiver. Sun-GM hol eng start approved 30 min prior to end of quiet	200402
GM30895	NS ABTMT	2	ETAR	hr but cannot dep til 1200Z++. Quiet hr waiver granted thru Wg COMD POST DSN 480-2121/2122 for msn essential tfc only.	200402
GM30895	OIL	1	ETAR	O-133	199908
GM30895	RSTD	1	ETAR	OFFL BUS ONLY. PPR exc Ramstein AB acft or acft on TACC ctl msn. All PPR req areto be submitted to AIRFIELD MANAGEMENT via fone DSN 480-2367/2446, C49-6371-47-2367/2446, via fax DSN 480-5084, C49-6371-47-5084 or via Email: airfield.managem	200605
GM30895	RSTD	2	ETAR	ent@ramstein.af.mil. Send PPR req no earlier than 15 days prior and not later than 24 hr prior to arr. Requestor must provide lcl POC for confirmation of Offl Bus Only.  Exp taxi delay due to const work. Due to ltd prk, all PPRs are slotted	200605
GM30895	RSTD	3	ETAR	, any acft arr 30 min prior or 30 min aft apv arr time must re-coord PPR or acftcould be diverted. Trans acft must min gnd time as slotted, due to ltd prk. Requestor is responsible for checking PPR status with AIRFIELD MANAGEMENT as applic	200605
GM30895	RSTD	4	ETAR	able 24 hr prior to arr. All aircrews on TACC ctl msn must rpt to 723 AMSS/AMCC for briefing upon arr.  All acft carrying haz cargo in or out of Ramstein must coord with 723 AMSS/TRO not later than 72 hr prior to ETA DSN 479-4418/4419 /4420	200605
GM30895	RSTD	5	ETAR	. All acft with VIP code 6 and abv must ctc 86 AW COMD POST on 372.675 (or via fone patch DSN 480-2121) not later than 1 hr prior to arr and forward block-time,any deviations outside of these parameters must be coord with 86 AW COMD POST.	200605
GM30895	RSTD	6	ETAR	No practice apch on Sat, Sun and GM hol. Afld is apv for practice apch for 3rd/16th AF acft only. Acft taxiing into/out of ramp 1/2/3/4/5/7/8 must use min pwr. Tran acft equipped with drag chutes retain chutes til prk. Afld and apch lgt int	200605
GM30895	RSTD	7	ETAR	mt out dur NVG trng SS+30 thru 2100Z++ Mon-Fri. Tran acft not auth VFR pat. Note: USAFE ftr acft may recover via overhead pat.	200605
GM30895	TRAN ALERT	1	ETAR	Full svc 0500-2100Z++ Mon-Fri; ltd svc 0500-2100Z++ Sat, Sun and GE hol. Min ftrsvc avbl. Lcl sorties not authorized. Tran aircrews are not authorized to driveon Ramstein AB flightline until a TDY briefing is rcv and a pass issued from AI	200508
GM30895	TRAN ALERT	2	ETAR	RFIELD MANAGEMENT.  For flightline transportation req, ctc Veh OPS at DSN 480-5961, C+49-6371-5961.	200508
GM31029	A-GEAR	1	ETNU	HOOK 44B-2D(B) O/R 15 min.	200411
GM31029	CAUTION	1	ETNU	Numerous clsd twy. Lgt twr 369', 3002' SW(194 ) of rwy cntr. Lgt twr 357', 1503 ' SW(179 ) of rwy cntr. Lgt twr 343', 6190' N(029 )  of rwy cntr. Lgt twr 449', 9186' N(35  ) of rwy cntr. Lgt twr 343', 487' SW(20  ) of rwy cntr. 2 lgtd floo	200604
GM31029	CAUTION	2	ETNU	dlgt masts 279', 3380' to 4000' NW(293 ) from rwy ctr.	200604
GM31029	CSTMS/IMG	1	ETNU	CSTMS and IMG O/R 2 hr prior to ETD/ETA.	200304
GM31029	FLUID	1	ETNU	LHOX	200011
GM31029	FUEL	1	ETNU	J8.  Hot reful avbl O/R in FPL. (NC-100LL, A1)	200210
GM31029	JASU	1	ETNU	1(AEG 30 KVA) 1(RST 180)(LECH 90 KVA)	200606
GM31029	MISC	1	ETNU	Fone C(0395) 463-0 extn 2321. Class D Airspace, OT Class E.	200402
GM31029	NS ABTMT	1	ETNU	Avoid ovft of Neubrandedburg, Neverin, Trollenhagen and Podewall.	200211
GM31029	OIL	1	ETNU	O-148	199911
GM31029	OPR HOURS	1	ETNU	Opr 0700-1600Z++ Mon-Thu, 0700-1100Z++ Fri, clsd hol. PPR F/W acft. (Civ 0700-1700Z, 0600-1800Z DT, OT PPR).	200211
GM31029	RSTD	1	ETNU	PPR for mil F/W acft and mil copter with pressure reful sys.	200210
GM34101	CSTMS/IMG	1	EDAU	CSTMS In non-coml tfc and in non-sked tfc for the transportation of passengers, PPR O/R H24.	200304
GM34101	FUEL	1	EDAU	(NC-100LL, A1)	200110
GM34101	OPR HOURS	1	EDAU	Opr 0700Z-SS, O/T PPR, (0600-1800Z, O/T PPR DT).	200602
GM34171	CAUTION	1	EDDK	Lgt pole aprx 55' AGL on S end of mil ramp. 278' crane 475' prior to Rwy 06 918'NW of extn rwy cntrln.	200605
GM34171	FLUID	1	EDDK	LHOX	199908
GM34171	FUEL	1	EDDK	Avbl 0400-2400Z++, OT O/R (NC- 100LL, A1) fone C(02203)-4001/4002.	200405
GM34171	JASU	1	EDDK	9(G-40) 3(GSU-160) 1(RST-180)	199908
GM34171	LGT	1	EDDK	PAPI Rwy 14L MEHT 63', Rwy 32R MEHT  63', Rwy 24 MEHT  57', Rwy 32L MEHT 42'.	200602
GM34171	OIL	1	EDDK	O-123-133-148-156	199908
GM34171	RSTD	1	EDDK	Strictly 24 hr PPR Mon-Fri; 48 hr PPR Sat, Sun and hol. PPR also for ISAF/Enduring Freedom flts. PPR only via AFTN (ETNKZPZX) or fax C02203 9086737. PPR-Nr mustbe incl in Item 18 of FPL. For flt to the mil part of Koln/Bonn, address FPL to	200602
GM34171	RSTD	2	EDDK	ETCCZQZX. Acft using Koln/Bonn mil site have to ctc Koln/Bonn mil addn on 312.1or 136.25 15 min prior to ldg and pass ETA and POB on same freq. Gnd svc by GAFavbl 0600-1900Z++ Mon-Fri, OT O/R via fone C02203-908-3267. Ldg with armed  acf	200602
GM34171	RSTD	3	EDDK	t proh. Use of Rwy 24 for tkof and Rwy 06 for tkof and ldg by combat acft is only permitted if Rwy 14L-32R not avbl due to const or acft malfunction. Rwy 32L TODA 5226' due WIP.	200602
GM34171	TRAN ALERT	1	EDDK	Mil tran acft prk area S of thld Rwy 06.	200602
GM34188	A-GEAR	1	ETSB	Apch end engagement O/R 10 min PN.	200113
GM34188	CAUTION	1	ETSB	Gldr act Sat, Sun and hol 0900Z++-SS up to 6000' 7 NM rad of arpt.	200407
GM34188	FLUID	1	ETSB	LHOX LOX	199908
GM34188	FUEL	1	ETSB	J8	200112
GM34188	JASU	1	ETSB	1(GPE-160)	200111
GM34188	MISC	1	ETSB	Rwy sfc has anti-skid layer. Emerg ldg strip is main twy. Fone C02678-940-0, extn 2328; fax C02678-9402329.	200203
GM34188	OIL	1	ETSB	O-133-147-148-149-156	200010
GM34188	OPR HOURS	1	ETSB	Opr 0700-1600Z++ Mon-Thu, 0700-1100Z++ Fri, clsd hol.	200111
GM34188	RSTD	1	ETSB	Practice apch proh fr 1130-1300Z++.	200301
GM34271	CSTMS/IMG	1	EDTL	Avbl O/R 2 hr PN.	200509
GM34271	FUEL	1	EDTL	(NC-100LL, A1)	199907
GM34271	MISC	1	EDTL	Class D Airspace eff 0700-1900Z++ Mon-Fri, 0800-1700Z++ Sat, Sun, hol.	200607
GM34271	NS ABTMT	1	EDTL	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri. Before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200301
GM34271	OPR HOURS	1	EDTL	Opr 0700-1900Z++ Mon-Fri; 0800-1700Z++ Sat, Sun and hol. PPR btn 0500-0700Z++ and 1900-2300Z++ Mon-Fri; PPR btn 0500-0800Z++ and 1700-2300Z++ Sat, Sun and hol.	200206
GM34271	RSTD	1	EDTL	Rwy 21 thld displ 4921'.  TORA/TODA/LDA Rwy 03-21 4921' til 03 Sep 04.  Full lenPPR via C(7821)994-200.   PPR for IFR trng and VFR ngt flt. Fone C(07821)994-0.	200407
GM35258	OPR HOURS	1	EDUS	Opr PPR.	200312
GM36245	CAUTION	1	ETSA	Copter use ctn when apch Rwy 07, W twy frequently occupied by Transall acft.	200404
GM36245	FLUID	1	ETSA	De-Ice LHOX	200307
GM36245	FUEL	1	ETSA	No hot reful. J8	200112
GM36245	LGT	1	ETSA	ABn flg W/green.	200113
GM36245	MISC	1	ETSA	No cross svcg avbl. Rwy shoulders unuse. Prk N of main twy. PPR prk. All acft ctc Wg OPS on freq 142.85 MHz 20 min prior to ldg.	200308
GM36245	OIL	1	ETSA	O-133-147-149-156	200307
GM36245	OPR HOURS	1	ETSA	Opr 0700-1600Z++ Mon-Thu, 0700-1100Z++ Fri, clsd hol. Fone C08191-9152 extn 2368, 2367, 2366.	200113
GM36245	RSTD	1	ETSA	PPR. Trng flt of tran acft are proh fr 1100-1300Z++. Avoid ovft of town of Landsberg. Ocnl copter tfc when CTLZ not active. PPR for practice apch. No pracitce apch for HIRTA sensitive acft.	200502
GM36340	CAUTION	1	EDHL	Windshear posssible on short final Rwy 25 with NW wind. PJE and gldr act vcnty arpt.  Bird haz, hvy act .5NM W of apch end Rwy07.	200605
GM36340	CSTMS/IMG	1	EDHL	Avbl O/R 2 hrs PN.	200313
GM36340	FUEL	1	EDHL	(NC-100LL, A1)	199907
GM36340	MISC	1	EDHL	Class D Airspace eff 0830-1730Z Mon-Fri (0730-1730Z Mon-Fri  DT); clsd hol; OT Class E.	200402
GM36340	NS ABTMT	1	EDHL	Tfc pat circuits proh 1200-1400Z++, Sun and hol.	200313
GM36340	OPR HOURS	1	EDHL	Opr 0630-2200Z++ Mon-Fri and Sun; 0630-2100Z++ Sat. OT PPR.	200604
GM36340	RSTD	1	EDHL	Ovft of built-up areas incl the wildlife reserve Schaalsee shall be avoided blw 2000'.	200311
GM36635	CAUTION	1	EDNL	Gldr act, prcht jumping and ascents of free balloons.	200210
GM36635	CSTMS/AG/IMG	1	EDNL	O/R 2 hr.	199907
GM36635	FUEL	1	EDNL	(NC-100LL, A1)	199907
GM36635	LGT	1	EDNL	PAPI Rwy 24 GS 4 .	200210
GM36635	NS ABTMT	1	EDNL	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri; before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200302
GM36635	OPR HOURS	1	EDNL	Opr 0700-1800Z++ or SS+30 Mon-Sat, 0830-1800Z++ or SS+30 Sun and hol, OT PPR. PPR 1 Nov til 14 Mar.	200302
GM37961	CAUTION	1	EDAM	PJE, gldr and unmanned acft act.	200210
GM37961	RSTD	1	EDAM	PPR.	200110
GM38012	CSTMS/AG/IMG	1	EDLP	Avbl.	200113
GM38012	FUEL	1	EDLP	(NC-100LL, A1)	200113
GM38012	OPR HOURS	1	EDLP	Opr 0500-2100Z++, OT PPR.	200210
GM38555	A-GEAR	1	ETSN	Rwy 09 HOOK 44B-2D (1503') O/R 10 min. Rwy 27 HOOK 44B-2D (1300') O/R 10 min.	200009
GM38555	CAUTION	1	ETSN	Gldr act 0900Z++-SS Sat, SR-SS Sun and hol to 3000' 3 NM rad of arpt in VMC only. Exp apch dly.	200413
GM38555	FLUID	1	ETSN	LOX	199908
GM38555	FUEL	1	ETSN	J8	199908
GM38555	JASU	1	ETSN	A(GPE-160/180) 1(RST-180)	200402
GM38555	MISC	1	ETSN	Cross svcg ltd Mon-Thu aft 1600Z++ and Fri aft 1100Z++. Touch and go ldg or lo apch allowed only once aft 1600Z++. Rwy ldg sfc has anti-skid layer. Fone C08431-643-0 extn 2722. R/W reful only at R/W ldg area SE of rwy cntr.	200202
GM38555	OIL	1	ETSN	O-133-148-156	200402
GM38555	OPR HOURS	1	ETSN	Opr 0700-1600Z++ Mon-Thu, 0700-1100Z++ Fri, clsd hol.	200504
GM38555	RSTD	1	ETSN	PPR 48 hr PN. No practice apch btn 1130-1300Z++.	200504
GM38712	CAUTION	1	ETIN	Gldr act wkend and GM hol.	200202
GM38712	MISC	1	ETIN	All acft shall avoid ovft of town of Grosslangheim 1 NM E of afld on extn Rwy 25cntrline. Armor and infantry trng area 600M N of apch end Rwy 25; Trap-skeet rng, midfield, 350M S of apch end Rwy 07, active ev Thu, 1500-2000Z++, Sat 0800-16	200202
GM38712	MISC	2	ETIN	00Z++, Sun 0900-1600Z++. Base OPS ctc Giebelstadt Base OPS for flt planning and PPR  DSN 352-7323/7454 or C09334-87-7454,  Fax DSN 352-7623 or C09334-87-7623. All acft ctc Giebelstadt Twr prior to ldg/tkof.	200202
GM38712	NS ABTMT	1	ETIN	SEE VFR ARR/DEP RTE EUR.	200003
GM38712	OPR HOURS	1	ETIN	Unattended, Opr SR-SS.	199907
GM38712	RSTD	1	ETIN	PPR thru Giebelstadt Base OPS.	200202
GM38712	TFC PAT	1	ETIN	R/W N and S 1200', F/W N 1700'.	199907
GM38792	CAUTION	1	EDDG	Bird haz. Crane 98' AGL 1870' S of Rwy 25 thld.	200609
GM38792	CSTMS/IMG	1	EDDG	Avbl.	200311
GM38792	FUEL	1	EDDG	Avbl 0400-2200Z++ Sat, Sun. OT 30 min PN.  (NC-100LL, A1)	200402
GM38792	LGT	1	EDDG	PAPI Rwy 07 MEHT 50', PAPI Rwy 25 MEHT 51'.	200111
GM38792	MISC	1	EDDG	Gldr act N of arpt. Arpt fone C02571-91333.	200205
GM38792	RSTD	1	EDDG	Avoid ovft of towns Ladbergen and Greven. IAP unavbl 2200-0500Z++.	200311
GM40032	FUEL	1	ETHF	J8 Refueling only on ramp A.	200501
GM40032	LGT	1	ETHF	PAPI Rwy 12 GS 4.4 , PAPI Rwy 30 GS 3.3 .	200405
GM40032	MISC	1	ETHF	Emerg ldg strips S of and parl to rwy: Lane A 1460' x 167' and Lane B 1262' x 303'. Fone C05622-99-0-2350/2353, fax 05622-99-2351.	200303
GM40032	OIL	1	ETHF	O-133-135-138-156	200211
GM40032	OPR HOURS	1	ETHF	Opr 0700-1600Z++ Mon-Thu, 0700-1100Z++ Fri, clsd hol. PPR via AFTN only.	200112
GM40032	RSTD	1	ETHF	Practice apch by jet acft proh 1100-1300Z++ and aft 1700Z++ Mon-Thu and aft 1100Z++ Fri; OT PPR. Avoid ovft the town of Fritzlar (1 NM NW) blw 2000' AGL.  PPR and RON via AFTN only.	200413
GM43413	CAUTION	1	EDRY	Three cranes 640 ft MSL, 2,460 ft in front of thr and 492 ft E of rcl for rwy 17until 31Mar07.  Gldr act Sat, Sun and hol.	200606
GM43413	CSTMS/IMG	1	EDRY	Avbl O/R 1 hr PN.	200209
GM43413	FUEL	1	EDRY	(NC-100LL, A)	200210
GM43413	LGT	1	EDRY	PAPI Rwy 17-35 GS 5.5 .	200409
GM43413	NS ABTMT	1	EDRY	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri. Before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200301
GM43413	OPR HOURS	1	EDRY	Opr 0600-1900Z Mon-Fri; 0800Z-SS+30 Sat, Sun and hol; OT PPR 2 hr before 1900Z. (0500-1800Z Mon-Fri;  0700-1800Z Sat, Sun and hol; OT PPR before 1800Z DT).	200210
GM43413	RSTD	1	EDRY	Rdo rqr to opr on twy G.  Ultralgts and VFR ngt flts PPR. Fone C06232-76603.	200604
GM43413	RWY	1	EDRY	Rwy 17 TORA 3570, Rwy 35 TORA 2916.	200509
GM43621	CAUTION	1	ETOU	3' hi unmrk obst incl raised PSP and bird dispersal devices in all sod areas. 7'hi fence 400' fr rwy ends.	200206
GM43621	FUEL	1	ETOU	Avbl dur opr hr, OT PPR. J8	200305
GM43621	LGT	1	ETOU	Nstd step 2 rwy lgt ctl by pilot when twr clsd. Key mike 5 times for med, 3 times wi 5 sec for lo - 122.1	200309
GM43621	MISC	1	ETOU	Wx obsn avbl dur afld opr hr. Vis determination fr offl obsn pt is obscured fr ESE thru SW. Wx briefing avbl 1 hr prior to tkof dur sched afld opr hr. Wx briefings avbl for flt with PPR outside nml sched afld opr hr by arng. Fone DSN 337-41	200602
GM43621	MISC	2	ETOU	18/4109. OT ctc USAFE OWS, DSN 496-6145/6 or C+49-(0)6302-676145/6.	200602
GM43621	NS ABTMT	1	ETOU	See VFR ARR/DEP RTE EUR. All pilots rqr lcl area NS ABTMT briefing prior to tfc pat and/or any trng wi CTLZ or Sub Copter Trng Area. Quiet hr 1200-1400Z++ msn essential flt only.	200303
GM43621	OPR HOURS	1	ETOU	Opr 0600-1900Z++ Mon-Fri, unattended US hol, clsd GM hol and weekends. Exp freq short ntc chg to opr hr announced by NOTAM. Fone DSN 337-5662/5115 C0611-705-5662/5115; fax  DSN 337-5411.	200503
GM43621	RSTD	1	ETOU	OFFL GOVT BUS ONLY. 2 working days PPR for all flt outside nml wkd opr hr and anytime wkend, US and GM hol. Do not opr wx radar wi 500' of C ramp. PPR for all civ flt (exc CTLZ trns), tran IFR arr, and Code 6 and abv. 10 working days PPR fo	200503
GM43621	RSTD	2	ETOU	r civ acft ldg permit. Ctc 421st Med Evac Bn SDO/SDNCO, DSN 337-7382 if afld OPSunattended. PPR for acft flt/gnd ops dur quiet hr.  Ctc gnd prior to eng start.	200503
GM45171	CAUTION	1	EDAV	Gldr act.	200205
GM45171	CSTMS/IMG	1	EDAV	CSTMS avbl O/R 4 hr, C03334-34418.	200304
GM45171	FUEL	1	EDAV	(NC 100LL, A1)	200011
GM45171	OPR HOURS	1	EDAV	Opr 0800Z-SS+30 Mon-Fri, OT PPR 2 hr before SR and 2 hr aft SS, OT PPR , (0600Z-SS+30/1800 Mon-Fri, OT PPR 2 hr before SR and 2 hr aft SS, OT PPR DT).	200304
GM46072	CSTMS/IMG	1	EDLA	Avbl.	200304
GM46072	FUEL	1	EDLA	(NC-100LL, A1)	200407
GM46072	OPR HOURS	1	EDLA	Opr 0700-SS/1900Z++ Mon-Fri; 0900-SS/1900Z++ Sat, Sun, hol; OT PPR.	200308
GM46072	RSTD	1	EDLA	Arr/dep S rqr INFO apvl.	200303
GM46270	CAUTION	1	EDBT	Extv copter, gldr and unmanned acft ops.	200112
GM46270	FUEL	1	EDBT	(NC-100LL)	200010
GM46270	OPR HOURS	1	EDBT	Opr 0700Z-SS+30/1900Z, OT PPR.	200303
GM46270	RSTD	1	EDBT	PPR for acft AUW 12.5 to AUW 30.8.	200010
GM48230	CSTMS/AG/IMG	1	EDWI	Avbl O/R fone C04421-202333.	200304
GM48230	FUEL	1	EDWI	(NC-100LL A1)	200601
GM48230	MISC	1	EDWI	Fone C04421-201085.	200304
GM48230	NS ABTMT	1	EDWI	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri. Before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200301
GM48230	OPR HOURS	1	EDWI	Opr 0700Z-SS+30, (0600Z-SS+30/1900 DT), OT PPR.	200210
GM51777	CAUTION	1	EDDR	Possible wake turb.	200209
GM51777	FUEL	1	EDDR	(NC-100LL, A1)	200202
GM51777	LGT	1	EDDR	PAPI Rwy 09 GS 3.2  MEHT 52', Rwy 27 MEHT 52'.	200303
GM51777	OPR HOURS	1	EDDR	Opr 0500-2130Z++.	200203
GM51956	CAUTION	1	EDDL	Frangible mast 52' AGL 787' NW thld Rwy 23L. ABn displ 1800' E abv twr bldg, 305' AGL. Multi cranes SE of apch end Rwy 05R to 287' AGL.	200602
GM51956	FUEL	1	EDDL	(NC- A1)	200511
GM51956	LGT	1	EDDL	PAPI Rwy 05L MEHT 61', PAPI Rwy 23R MEHT 60', PAPI Rwy 05R MEHT 64', PAPI Rwy 23L MEHT 63',	200411
GM51956	RSTD	1	EDDL	No jet tkof/ldg 1800-0700Z++. Reverse thrust should not be used abv idle btn 2100-0500Z++. IFR trng, test and check flt PPR by ATC, fone C0211-4154239. PPR for acft req GAT handling btn 2100-0330Z, req before 2100Z, fone 0049-211-4217062 or	200606
GM51956	RSTD	2	EDDL	fax 4217063.	200606
GM55218	CAUTION	1	EDOV	Twys A and E clsd. PJE, ultralgts and balloons.	200306
GM55218	FUEL	1	EDOV	(NC-100LL, A1)	200110
GM55218	OPR HOURS	1	EDOV	Opr 0800Z-SS+30 (0700-1700Z DT), OT PPR.	200306
GM55218	RWY	1	EDOV	Up to AUW31 PPR.	200111
GM57312	CSTMS/IMG	1	EDVK	Avbl 2 hr O/R 0700Z++-SS+30. PPR 12 hr 0500-0700Z++.	200304
GM57312	FUEL	1	EDVK	(NC-100LL, A1)	199907
GM57312	MISC	1	EDVK	Fone C05674-9977-0. Class D Airspace eff 0700-1930Z++ Mon-Fri, exc hol; OT ClassE.	200402
GM57312	NS ABTMT	1	EDVK	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri. Before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200301
GM57312	OPR HOURS	1	EDVK	Opr 0630-1930Z++ Mon-Fri; 0800-1730Z++ Sat, Sun and hol; OT PPR.	200113
GM57501	CAUTION	1	EDPA	Extv gldr act.	200111
GM57501	CSTMS/IMG	1	EDPA	O/R 1 hr PN by fone if nothing to declare.	200410
GM57501	FUEL	1	EDPA	(NC-100LL, A1)	200304
GM57501	MISC	1	EDPA	Estab ctc by 5 min out. OPS fone C07367-7122/7292/7683, C07361/35255.	200211
GM57501	OPR HOURS	1	EDPA	Opr SR-SS PPR (1 Nov-14Mar), (SR/0600Z-SS/1900Z PPR DT). Fone C(07367) 7122.	200303
GM57849	CAUTION	1	EDQE	Gldr act.	200206
GM57849	FUEL	1	EDQE	(NC-100LL)	199907
GM57849	NS ABTMT	1	EDQE	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri. Before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200301
GM57849	OPR HOURS	1	EDQE	Opr  0800-1600Z++ -SS, O/T PPR.	200309
GM58179	CAUTION	1	EDAX	PJE; gldr act using winch launchers.	200302
GM58179	FUEL	1	EDAX	(NC-100LL)	200402
GM58179	MISC	1	EDAX	Ldg fees.	200402
GM58179	OPR HOURS	1	EDAX	Opr 0800-SS/1700Z; 0900-SS/1700Z Sat, Sun, hol. OT PPR. (0700-SS/1700Z Mon-Fri; 0800-SS/1700Z Sat, Sun, hol.  OT PPR DT).	200312
GM58179	RSTD	1	EDAX	Avoid ovft Larz.	200209
GM58399	CAUTION	1	EDAK	Gldr act.	200201
GM58399	FUEL	1	EDAK	(NC-100LL, A1)	200005
GM58399	OPR HOURS	1	EDAK	Opr 0800-1500Z; (0700-1600Z Mon-Thu, 0700-1800Z Fri-Sun DT), OT PPR.	200212
GM58399	RSTD	1	EDAK	PPR over AUW 12.5 to AUW 31.	200008
GM58712	CAUTION	1	EDKV	PJE, Gldr and ultralgt act.	200511
GM58712	FUEL	1	EDKV	(NC-100LL, A1)	200307
GM58712	NS ABTMT	1	EDKV	Before 0600Z++, btn 1200-1400Z++, aft SS Mon-Fri. Before 0800Z++ and aft 1200Z++Sat, Sun, hol.	200301
GM58712	OPR HOURS	1	EDKV	Opr 0800Z-SS, PPR; O/R 0600-0800Z, SS-SS+30 (0700-1830Z/SS; O/R 0500-0700Z, 1830Z-SS+30 sum) .	200604
GM58712	RSTD	1	EDKV	Night VFR SS-1930Z++ PPR.	200604
GM59875	OPR HOURS	1	EDUW	Opr 0900-1400Z (0700-1600Z DT) O/T PPR.	200502
GM60209	CAUTION	1	ETHB	Gldr act SR-SS wkends and hol, up to 3500'.	200201
GM60209	FUEL	1	ETHB	J8	200112
GM60209	JASU	1	ETHB	1(G-10)	200011
GM60209	LGT	1	ETHB	PAPI  Rwy 08 GS 3.4 , PAPI Rwy 26 GS 3.2 .	200113
GM60209	MISC	1	ETHB	Fone C05722-9680, extn 3543.	200303
GM60209	OIL	1	ETHB	O-133-156	199908
GM60209	OPR HOURS	1	ETHB	Opr 0700-1600Z++ Mon-Thu, 0700-1100Z++ Fri, clsd hol.	200113
GM60209	RSTD	1	ETHB	PPR 24 hr for RON. Practice apch proh Mon-Thu fr 1100-1300Z++ and aft 1900Z++.	200511
GM61211	CAUTION	1	EDDC	Bird haz. Multiple cranes to 190' AGL pent obst clnc surface vcnty Rwy 04/22 .	200608
GM61211	CSTMS/IMG	1	EDDC	CSTMS avbl 0400-2300Z++.	200304
GM61211	FUEL	1	EDDC	(NC-100LL, A1)	199907
GM61211	MISC	1	EDDC	Ldg fees.	200109
GM61211	RSTD	1	EDDC	All tfc exc sked: PPR 2300-0400Z++.	200113
GM61269	CAUTION	1	EDDM	For apch and dep to/fr helipad ctc ATC for ldg and ovft instr.  Do not deviate frm twy cntrln unless advised by control.	200604
GM61269	FLUID	1	EDDM	OX PRESAIR	199908
GM61269	FUEL	1	EDDM	A1 (Total Munchen Fueling Services) avbl 0400-2300Z++ fone C49-8997590911, OT C49-8997590910. (NC-100LL).	200602
GM61269	LGT	1	EDDM	ABn flg W.  PAPI Rwy 08L MEHT 55', PAPI Rwy 26L MEHT 53', PAPI Rwy 08R MEHT 53',PAPI Rwy 26R MEHT 55'.	200207
GM61269	MISC	1	EDDM	Call De-Ice coord at least 15 min prior to off-block. Rwy 08R/26L grooved.	200610
GM61269	NS ABTMT	1	EDDM	On ldg use reverse thrust only to extent of safety.	200113
GM61269	RSTD	1	EDDM	F/W acft under 4410 lb and F/W VFR acft PPR. No multi apch and dep 1100Z++ Sat-0500Z++ Mon and hol, OT PPR. 2100-0500Z++ dly sked and PPR OPS only. Max wgspan Twy D6, Ramp 10, Ramp 11 98'.	200302
GM61279	CAUTION	1	EDDS	Freq seasonal bird concentration on/near rwy. Twy stopbars avbl on Twy A, B, C, D, E, F, G, H, dur Cat 1 lo vis opr.	200610
GM61279	FLUID	1	EDDS	De-Ice	200307
GM61279	FUEL	1	EDDS	J8, A1 (Air BP/SFS) avbl 0330-2200Z++ Fone C49-7119484040. Aft hrs 8 hr prior ntc, $334.63/occurrence, fone C49-7142200144. (NC-100LL).	200602
GM61279	JASU	1	EDDS	2(A/M 32A-86) 1(MA-1A)	199908
GM61279	LGT	1	EDDS	PAPI Rwy 07 MEHT 56', PAPI Rwy 25 MEHT 60'.	200303
GM61279	MISC	1	EDDS	Arr acft ctc Base OPS 30 min prior to ldg with intentions.	200603
GM61279	NS ABTMT	1	EDDS	Strict compliance with VFR Arr/Dep Rte rqr.	200003
GM61279	OPR HOURS	1	EDDS	Mil afld opr hr 0500-2100Z++ Mon-Fri; 0600-1400Z++ Sat, Sun.  Opr hrs will be strictly adhered to.	200603
GM61279	RSTD	1	EDDS	OFFL BUS ONLY. Mil side PPR due to limited prking, excld home based acft. All PPR req 48 hr PN to Base OPS and Arfld Management via DSN 421-4273 or fax 421-4109or AFTN EDDSYXYX. PPR should be req no earlier than 7 days. PPR only valid for	200608
GM61279	RSTD	2	EDDS	60 min after ETA. Once invalid acft will not be permitted to use Mil Ramp. All acft entering the mil ramp or req startup, hover, taxi instr must ctc Base Ops PTD.	200608
GM61499	CSTMS/IMG	1	EDJA	CSTMS avbl PPR 24 hr.	200604
GM61499	FUEL	1	EDJA	(NC 100LL, A1)	200413
