ARPT_IDENT	ICAO	ALT_NAME	CITY_CROSS_REF	ISL_GROUP	NOTAM	OPR_HRS	CLEAR_STATUS	UTM_GRID	TIME	DAYLIGHT_SAVE	FLIP_PUB	CYCLE_DATE
FI10152	EFME					N		34VFQ2779782149	UTC+2(+3DT)	MC	L-1D	200011
FI14951	EFKA					I		34VFR0344601400	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI16670	EFHM					N		34VFP0970741356	UTC+2(+3DT)	MC	L-1D	200011
FI16781	EFKI					I		35WNM3352129008	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI26318	EFPI					N		34VEN6404290724	UTC+2(+3DT)	MC	L-1D	200011
FI30138	EFKJ					I		34VEQ7185226480	UTC+2(+3DT)	MC	L-1D	200011
FI30635	EFRO						AOE	35WMP4809583355	UTC+2(+3DT)		H-1D, L-1D	200609
FI31288	EFMI					I		35VNJ1067839284	UTC+2(+3DT)	MC	H-2H, L-1D	200011
FI31413	EFSE					O		35VMH8914369753	UTC+2(+3DT)	MC	L-1D	200303
FI34593	EFTU						AOE	34VEN6933809337	UTC+2(+3DT)		H-2H, L-1D	199907
FI36416	EFKE					I	AOE	35WLN9012397699	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI36644	EFPO					I	AOE	34VEP4263814475	UTC+2(+3DT)	MC	H-2H, L-1D	200011
FI39169	EFHA					I		35VLJ8353860128	UTC+2(+3DT)	MC	H-2H, L-1D	200011
FI39253	EFIK					N		34VFN4585405859	UTC+2(+3DT)	MC	L-1D	200011
FI39267	EFLA					N		35VMH2966179547	UTC+2(+3DT)	MC	L-1D	200011
FI42914	EFVA					I	AOE	34VEQ3853991461	UTC+2(+3DT)	MC	H-1D-2H, L-1D	200011
FI47964	EFKT					I		35WMR0884311117	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI49760	EFJO					I		35VPK3357350733	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI51672	EFPY					N		35VML4698367587	UTC+2(+3DT)	MC	L-1D	200011
FI52005	EFRH					N		35WLM9009775688	UTC+2(+3DT)	MC	L-1D	200011
FI52865	EFJY						AOE	35VMK3168219379	UTC+2(+3DT)		H-1D-2H, L-1D	200609
FI54404	EFKU							35VNK4039886636	UTC+2(+3DT)		H-1D, L-1D	200012
FI55041	EFHF	MALMI					AOE	35VLG9168481368	UTC+2(+3DT)	MC	L-1D	200609
FI57158	EFSI					I		34VEQ9377952619	UTC+2(+3DT)	MC	H-2H, L-1D	200011
FI58570	EFSA					I		35VPJ0206069366	UTC+2(+3DT)	MC	H-1D-2H, L-1D	200011
FI58618	EFPU					N		35WMN9753653284	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI61156	EFKM					N		35WNP0691799382	UTC+2(+3DT)	MC	L-1D	200011
FI61706	EFNU					N		35VLG5074991657	UTC+2(+3DT)	MC	L-1D	200011
FI62991	EFTP						AOE	34VFP3899711693	UTC+2(+3DT)		H-2H, L-1D	199907
FI67139	EFHN					N		34VFM1673436415	UTC+2(+3DT)	MC	H-2H, L-2G	200011
FI70784	EFET					I		34WEA9973985252	UTC+2(+3DT)	MC	H-1C, L-1D	200011
FI73360	EFKO							34WFS3708025535	UTC+2(+3DT)		L-1D	199907
FI73855	EFTS					N		35VLJ4316652518	UTC+2(+3DT)	MC	L-1D	200011
FI74404	EFEU					N		34VEN6473876315	UTC+2(+3DT)	MC	L-1D	200011
FI76763	EFHK					I	AOE	35VLG8750188478	UTC+2(+3DT)	MC	H-2H, L-1D	200012
FI78156	EFUT					I		35VMH9665551249	UTC+2(+3DT)	MC	H-2H, L-1D	200011
FI78331	EFRY					N		35VLH4235337826	UTC+2(+3DT)	MC	L-1D	200011
FI79570	EFIM					N		35VPH0214692030	UTC+2(+3DT)	MC	L-1D	200011
FI84784	EFIV					I	AOE	35WNS1649910626	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI86993	EFHV					N		35VLH8416926166	UTC+2(+3DT)	MC	L-1D	200011
FI88603	EFOU					I	AOE	35WMN2221101672	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI90014	EFKS					I		35WPP0167020340	UTC+2(+3DT)	MC	H-1D, L-1D	200011
FI90282	EFMA	ALAND ISLAND		Aland I		I	AOE	34VDM3877065531	UTC+2(+3DT)	MC	H-2H, L-2G	200011
FI94630	EFLP					I		35VNH6180768290	UTC+2(+3DT)	MC	H-2H, L-1D	200011
FI98219	EFIT					N		36VUP4759696128	UTC+2(+3DT)	MC	L-1D	200011
FI98279	EFRN					O		35VNJ7089382216	UTC+2(+3DT)	MC	L-1D	200303
FI98319	EFLN					O		35VPL3080945318	UTC+2(+3DT)	MC	L-1D	200303
FJ23403	NFNA		Suva	Viti Levu I		O		60KXF6504004332	UTC+12(+13DT)		11B, D	200202
FJ44035	NFFN			Viti Levu I		H	AOE	60KWF4700236821	UTC+12(+13DT)		11B, D	200602
FJ51781	NFNL			Vanua Levu I		O		60KYG4981577988	UTC+12(+13DT)		11D	200602
FK00001	SFAL					O		21FVC4624273635	UTC-4(-3DT)		H-6G, L-18G	199907
FK00004	EGYP	MARCH RIDGE						21FVC0025857682	UTC-4(-3DT)		H-6G, L-18G	199907
FM13386	PTSA			Kosrae I		O		58NBL7375892500	UTC+11		1C	200603
FM34101	PTPN		Ponape	Pohnpei I		O	AOE	57NVH1262772175	UTC+11		1C	200012
FM75079	PTKK			Weno I		O	AOE	56NLP7233024975	UTC+10		1C	200012
FM84082	PTYA			Yap I		O	AOE	54PSR7964551358	UTC+10		1B	200012
FM84084	PT							54PUS6738407892				199907
FO63425	EKVG					O		29VNJ9003982464	UTC 0(+1DT)	MC	L-1A	200303
FP00002	NTHE					O		06LWK8009404803	UTC-10		11C	200602
FP00003	NTKF			Tuamotu I		S		06KXG7816054354	UTC-10		11C	200605
FP00006	NTAV			Austral I		S		06KVU3261358321	UTC-10		11C	200602
FP00008	NTGU			Tuamotu I		S		06LWJ4115914176	UTC-10		11C	200602
FP08982	NTMN		Atuona	Oa I		S		07LGK1815119508	UTC-10		11C	200601
FP13720	NTAA			Society I		H	AOE	06KTF2322757285	UTC-10		SKETCH, 11C	200602
FP17182	NTGJ			Gambiers Archipelago		O		08KNV1123247635	UTC-10		11C	200412
FP21035	NTGI			Tuamotu I		O		06LXK0023703766	UTC-10		11C	200412
FP23741	NTTO			Tuamotu I		O		07KEA0572601536	UTC-10		11C	199907
FP27026	NTGK			Tuamotu I		S		06LWH1234968301	UTC-10		11C	200412
FP37409	NTGA			Tuamotu I		S		06KXF5832080823	UTC-10		11C	200412
FP44889	NTAR			Austral I		O		05KPR6871518205	UTC-10		11C	200412
FP53086	NTTH		Fare	Society I		O		05KQB1096253997	UTC-10		11C	200412
FP62031	NTGM			Tuamotu I		S		07KBB1633264594	UTC-10		11C	200601
FP66699	NTTG			Tuamotu I		O		06LVJ2894346625	UTC-10		11C	200009
FP67494	NTAT		Matarua	Austral I		O		06KTV4197313780	UTC-10		11C	200602
FP70598	NTTR		Uturoa	Society I		O		05KPB6355450473	UTC-10		11C	200501
FP73653	NTGC			Tuamotu I		S		06LUJ6775628073	UTC-10		11C	200412
FP74129	NTGV			Tuamotu I		S		06LUJ1524955557	UTC-11		11C	200412
FP75436	NTMD			Marquesas I		O		07LEL8481627658	UTC-10		11C	200412
FP83733	NTKR			Tuamotu I		S		06LYK1294100949	UTC-11		11C	200412
FP94137	NTTB		Moto Mute	Society I		O		05KPB3331281498	UTC-10		SKETCH, 11C	200502
FP99472	NTTM		Temae	Society I		O		06KTF0669964115	UTC-10		SKETCH, 11C	200602
FP99475	NTGT			Tuamotu I		S		06LXJ8886673065	UTC-10		11C	200412
FP99480	NTGB			Tuamotu I		S		07LEC1208550980	UTC-10		11C	200602
FP99481	NTGP			Tuamotu I		S		07LGD3539661600	UTC-10		11C	200602
FP99484	NTGE			Tuamotu I		S		08KLE4798157667	UTC-10		11C	200602
FP99489	NTGF			Tuamotu I		S		06KXH4366324609	UTC-10		11C	200412
FP99490	NTTP			Society I		S		05KNB8074983737	UTC-10		11C	200111
FR00001	LFJR		Angers			O		30TYT0218770930	UTC+1(+2DT)	MC	H-7A, L-7B	200502
FR00004	LFJB					H		30TXS7534296933	UTC+1(+2DT)	MC	L-7B-8F	200411
FR00007	LFJU		Lurcy			S		31TDM9586573337	UTC+1(+2DT)	MC	L-8G	200504
FR00101	LFCG		Saint Girons			S		31TCH4540863423	UTC+1(+2DT)	MC	L-11C	200206
FR01216	LFMU		Beziers			O		31TEH2869496803	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200012
FR02912	LFSF		Metz			O		32UKV9051639386	UTC+1(+2DT)	MC	H-6G, L-6G	200412
FR03054	LFGJ		Dole			N		31TFN8439512359	UTC+1(+2DT)	MC	H-7B, L-8H-9A	199910
FR03125	LFHS		Bourg			O		31TFM7683218922	UTC+1(+2DT)	MC	L-8H-9A	199908
FR03835	LFBE		Bergerac			O		31TCK0383566537	UTC+1(+2DT)	MC	H-7A, L-8F-11C	200411
FR04033	LFEY					O		30TWS4653474075	UTC+1(+2DT)	MC	L-7B-8E	200313
FR04557	LFKT					H		32TNM1591582394	UTC+1(+2DT)	MC	L-12E	199908
FR05287	LFLW					O		31TDK5435471048	UTC+1(+2DT)	MC	H-7B, L-8G-11C	200411
FR05405	LFPN					O	AOE	31UDQ3430100264	UTC+1(+2DT)	MC	H-6F, L-7C	200513
FR05510	LFHY		Moulins			S		31TEM3249353533	UTC+1(+2DT)	MC	L-8G	200513
FR06324	LFCU		Ussel			S		31TDL5501842515	UTC+1(+2DT)	MC	L-8G	200003
FR06343	LFFN					N		31UFP0964465130	UTC+1(+2DT)	MC	H-6G, L-6F-7D	199908
FR08376	LFRC		Cherbourg			O	AOE	30UXA1042200853	UTC+1(+2DT)	MC	H-6F, L-4F-7B	200412
FR09246	LFMS		Ales			O		31TEJ9146280243	UTC+1(+2DT)	MC	L-11D	199908
FR09606	LFRF					N		30UXV0526515450	UTC+1(+2DT)	MC	L-7B	200004
FR09671	LFSH					S		32UMV1316205267	UTC+1(+2DT)	MC	L-6G	200004
FR10495	LFBH		La Rochelle			O	AOE	30TXS3929115537	UTC+1(+2DT)	MC	H-7A, L-8E	200412
FR11436	LFLT		Montlucon			S		31TDM6695433306	UTC+1(+2DT)	MC	L-8G	200403
FR11523	LFCY		Royan			O		30TXR5804254723	UTC+1(+2DT)	MC	L-8E	200401
FR11674	LFAO					O		30UXU9281280266	UTC+1(+2DT)	MC	L-7C	200211
FR11800	LFTZ					S		32TKN9544386705	UTC+1(+2DT)	MC	L-11D	199908
FR12055	LFPC					O		31UDQ6500855753	UTC+1(+2DT)	MC	H-6G, L-7D	200308
FR12671	LFMN		Nice			H	AOE	32TLP5614035481	UTC+1(+2DT)	MC	H-7C-15B, L-11D	200012
FR13055	LFAC					O		31UDS2659746130	UTC+1(+2DT)	MC	H-6G, L-4H	200105
FR13434	LFNB		Mende			O		31TEK4235627781	UTC+1(+2DT)	MC	L-8G-11C	200004
FR13803	LFCI		Albi			O		31TDJ2878762691	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200401
FR13806	LFMI		Istres			O		31TFJ5547520664	UTC+1(+2DT)	MC	H-7B-15A, L-11D	200513
FR14238	LFGA		Colmar			O		32ULU7785129812	UTC+1(+2DT)	MC	L-6G	200412
FR14683	LFCR		Rodez			O		31TDK5880917306	UTC+1(+2DT)	MC	H-7B, L-8G-11C	200504
FR16063	LFOP		Rouen			O		31UCQ6753371766	UTC+1(+2DT)	MC	H-6F, L-7C	200412
FR16363	LFMT		Montpellier			H	AOE	31TEJ7775625254	UTC+1(+2DT)	MC	H-7B-15A, L-11C	199910
FR16697	LFBG		Cognac			S		30TYR0898559587	UTC+1(+2DT)	MC	H-7A, L-8F	200209
FR17398	LFOD		Saumur			O		30TYT1826337743	UTC+1(+2DT)	MC	L-7C	200410
FR17437	LFRZ		Saint Nazaire			O	AOE	30TWT6430640208	UTC+1(+2DT)	MC	H-3B-7A, L-7B	200502
FR17485	LFSD		Dijon			O		31TFN5809237164	UTC+1(+2DT)	MC	H-7B, L-6F-8H-9A	200012
FR17586	LFOB		Beauvais			O	AOE	31UDQ3569978354	UTC+1(+2DT)	MC	H-6F, L-7D	200412
FR17689	LFDJ		Pamiers			O		31TCH9385571696	UTC+1(+2DT)	MC	L-11C	200413
FR17816	LFRH		Lorient			O		30TVT6702689781	UTC+1(+2DT)	MC	H-3B, L-7A	200313
FR18006	LFOZ		Orleans			O		31TDP3746405185	UTC+1(+2DT)	MC	L-7C	200409
FR18421	LFLL		Lyon			H	AOE	31TFL6269365774	UTC+1(+2DT)	MC	H-7B, L-8H	200012
FR19005	LFOQ		Blois			O		31TCN6556282121	UTC+1(+2DT)	MC	L-7C	200405
FR19171	LFLX		Chateauroux			O	AOE	31TDM0325190633	UTC+1(+2DT)	MC	H-7B, L-8G	200407
FR19404	LFBV		Brive			H		31TCL7966400846	UTC+1(+2DT)	MC	L-8F	200004
FR19974	LFGF		Beaune			N		31TFN4393107558	UTC+1(+2DT)	MC	L-8H	199908
FR22118	LFMK		Carcassonne			O		31TDH4365785033	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200413
FR22639	LFSG		Epinal			O		32UKU8282156569	UTC+1(+2DT)	MC	H-6G, L-6F	200513
FR23015	LFOI					O		31UDR1653655238	UTC+1(+2DT)	MC	H-6F, L-4H-7C,D	200412
FR23418	LFQQ		Lille			H	AOE	31UES0633501117	UTC+1(+2DT)	MC	H-6G, L-4H	200308
FR23828	LFNH					N		31TFJ6652477287	UTC+1(+2DT)	MC	L-11D	199908
FR24348	LFKB		Bastia			H	AOE	32TNN3971311254	UTC+1(+2DT)	MC	H-7C-15B, L-12E	199910
FR24473	LFHP		Le Puy			O		31TEK6004392197	UTC+1(+2DT)	MC	L-8G	199908
FR24863	LFLY		Lyon			H	AOE	31TFL5128765573	UTC+1(+2DT)	MC	H-7B, L-8H	200005
FR24892	LFTH		Hyeres			O		32TKN6773875579	UTC+1(+2DT)	MC	H-7C-15B, L-11D	200012
FR24893	LFST		Strasbourg			H		32ULU9874377043	UTC+1(+2DT)	MC	H-6H, L-6G	200504
FR25806	LFED					H		30UWU0586822615	UTC+1(+2DT)	MC	L-7B	199908
FR25840	LFSX		Luxeuil			O		32TLT0255495561	UTC+1(+2DT)	MC	H-6H-7B, L-6G	199908
FR28167	LFRB		Brest			H	AOE	30UUU9510467057	UTC+1(+2DT)	MC	H-3C, L-7A	200012
FR28369	LFRV		Vannes			O		30TWT2110685586	UTC+1(+2DT)	MC	H-3B-7A, L-7B	200411
FR28842	LFGW		Verdun			N		31UFQ8014243996	UTC+1(+2DT)	MC	L-6F	199908
FR30831	LFLI					H		32TKS8922119005	UTC+1(+2DT)	MC	L-8H-9A	199908
FR30897	LFLA		Auxerre			O		31TEN3718999770	UTC+1(+2DT)	MC	H-6G-7B, L-7D	200412
FR31236	LFKO					O		32TMM9082112095	UTC+1(+2DT)	MC	L-11D-12E	199908
FR31568	LFHO		Aubenas			N		31TFK0900433239	UTC+1(+2DT)	MC	L-8G-11D	199908
FR31622	LFPB		Paris			H		31UDQ5911724209	UTC+1(+2DT)	MC	H-6G, L-7D	200308
FR32567	LFDI		Libourne			S		30TYQ2589785001	UTC+1(+2DT)	MC	L-8F	200005
FR32678	LFHV		Villefranche			N		31TFL2681784453	UTC+1(+2DT)	MC	L-8H	199908
FR33152	LFQC					N		32ULU1887185157	UTC+1(+2DT)	MC	L-6G	199908
FR33999	LFRK		Caen			O	AOE	30UXV8585749855	UTC+1(+2DT)	MC	H-6F, L-7C	200012
FR34927	LFBI		Poitiers			O	AOE	31TBM9367262877	UTC+1(+2DT)	MC	H-7A, L-8F	200313
FR35226	LFMD		Cannes			O		32TLP3466323046	UTC+1(+2DT)	MC	H-7C-15B, L-11D	199910
FR35409	LFDN		Rochefort			O		30TXR5649183557	UTC+1(+2DT)	MC	H-7A, L-8E	200405
FR36025	LFBA		Agen			O		31TCJ0739194102	UTC+1(+2DT)	MC	H-7A-15A, L-8F-11C	200507
FR36385	LFQP		Phalsbourg			O		32ULV6776903033	UTC+1(+2DT)	MC	H-6H, L-6G	200013
FR36767	LFRJ					O		30UVU1497775879	UTC+1(+2DT)	MC	H-3C, L-7A	200012
FR36875	LFLV		Vichy			O		31TEM3116712981	UTC+1(+2DT)	MC	H-7B, L-8G	199910
FR37586	LFOC					O		31UCP7904124037	UTC+1(+2DT)	MC	H-6F-7A, L-7C	200412
FR38226	LFRQ		Quimper			O		30TVU1284714179	UTC+1(+2DT)	MC	H-3B, L-7A	200313
FR38777	LFCK		Castres			O		31TDJ4258822834	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200506
FR38979	LFBD		Bordeaux			H	AOE	30TXQ8058666420	UTC+1(+2DT)	MC	H-7A, L-8E	200012
FR39144	LFQG		Nevers			O		31TEN0861605462	UTC+1(+2DT)	MC	H-7B, L-8G	200513
FR39152	LFBX		Perigueux			O		31TCL2842707273	UTC+1(+2DT)	MC	H-7A, L-8F	200313
FR39156	LFBT		Tarbes			H	AOE	30TYN4329985008	UTC+1(+2DT)	MC	H-7A-15A, L-11C	200012
FR39656	LFBR		Muret			O		31TCJ5948112130	UTC+1(+2DT)	MC	L-11C	200513
FR41194	LFAG					N		31UER0212624016	UTC+1(+2DT)	MC	L-7D	200212
FR41454	LFQV					N		31UFR1856715910	UTC+1(+2DT)	MC	L-6F	199908
FR42706	LFBO		Toulouse			H	AOE	31TCJ6800531977	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200004
FR43013	LFBF		Toulouse			O	AOE	31TCJ6812022695	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200412
FR43191	LFLM		Macon			O		31TFM3830828403	UTC+1(+2DT)	MC	L-8H	200513
FR44549	LFMQ					O		31TGH2609092623	UTC+1(+2DT)	MC	H-7C-15B, L-11D	200513
FR45300	LFSI		Saint Dizier			O		31UFP3993488735	UTC+1(+2DT)	MC	H-6G, L-6F	200412
FR46799	LFCM		Millau			O		31TEJ1467470705	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200513
FR47588	LFBZ		Biarritz/Bayonne			O	AOE	30TXP1944413893	UTC+1(+2DT)	MC	H-7A-15A, L-11B	200503
FR48233	LFKF		Figari			O		32TNL0816194331	UTC+1(+2DT)	MC	H-7C-15B, L-12E	199908
FR49061	LFDB					S		31TCJ7001676005	UTC+1(+2DT)	MC	L-11C	200003
FR49168	LFRS					H	AOE	30TXT0531723124	UTC+1(+2DT)	MC	H-7A, L-7B	199913
FR49348	LFPG		Paris			H	AOE	31UDQ6709428974	UTC+1(+2DT)	MC	H-6G, L-7D	200311
FR50013	LFQE		Etain			O		31UFQ9455356118	UTC+1(+2DT)	MC	H-6G, L-6F	200412
FR50037	LFLP		Annecy			S		32TKR7506790278	UTC+1(+2DT)	MC	H-7B, L-8H-9A	199908
FR50761	LFMP		Perpignan			O	AOE	31TDH8941432000	UTC+1(+2DT)	MC	H-7B-15A, L-11C	200505
FR51618	LFLD					H		31TDN5217711808	UTC+1(+2DT)	MC	H-7B, L-7C-8G	200412
FR54723	LFDH		Auch			O		31TCJ0670839991	UTC+1(+2DT)	MC	L-11C	200409
FR54879	LFBC					O	AOE	30TXQ4897432822	UTC+1(+2DT)	MC	H-7A, L-8E-11B	200412
FR55359	LFYD					O		31UFP9838729328	UTC+1(+2DT)	MC	H-6G-7B, L-6F	200412
FR55736	LFKS					O		32TNM3366441464	UTC+1(+2DT)	MC	H-7C-15B, L-12E	200012
FR55742	LFLB		Chambery			O	AOE	31TGL2447057869	UTC+1(+2DT)	MC	H-7B, L-8H-9A	199910
FR56453	LFRE		La Baule			S		30TWT4942237537	UTC+1(+2DT)	MC	L-7B	200003
FR57320	LFQA		Reims			N		31UEQ8424051299	UTC+1(+2DT)	MC	L-6F-7D	199908
FR57776	LFMZ					S		31TDH7839480376	UTC+1(+2DT)	MC	L-11C	200108
FR58081	LFRG		Deauville			O	AOE	31UBQ9339871965	UTC+1(+2DT)	MC	H-6F, L-7C	199910
FR58334	LFCC		Cahors			O		31TCK7848012032	UTC+1(+2DT)	MC	L-8F-11C	200410
FR58957	LFMA					O		31TFJ9140719682	UTC+1(+2DT)	MC	H-7B-15B, L-11D	200513
FR59145	LFMC		Le Luc			O		32TKP8835906849	UTC+1(+2DT)	MC	L-11D	199908
FR59322	LFTW		Nimes			O		31TFJ1401645908	UTC+1(+2DT)	MC	H-7B-15A, L-11D	200513
FR59842	LFQF		Autun			O		31TEN9589402300	UTC+1(+2DT)	MC	L-8H	199908
FR61998	LFSO		Nancy			O		31UGP1792385324	UTC+1(+2DT)	MC	H-6G, L-6F	200412
FR64216	LF					N		30TXT9458772910	UTC+1(+2DT)	MC	L-7B	200412
FR64363	LFRD		Saint Malo			O	AOE	30UWU6784882031	UTC+1(+2DT)	MC	H-3C-7A, L-7C	200412
FR64510	LFPV		Villacoublay			O	AOE	31UDQ4133502685	UTC+1(+2DT)	MC	H-6F, L-7D	200513
FR64647	LFRI		La Roche-Sur-Yon			O		30TXS2394973320	UTC+1(+2DT)	MC	H-7A, L-7B-8E	200506
FR65526	LFPK		Coulommiers			N		31UEQ0118309409	UTC+1(+2DT)	MC	L-7D	200308
FR65659	LFSR		Reims			O		31UEQ7632162448	UTC+1(+2DT)	MC	H-6G, L-6F-7D	200209
FR65871	LFGB		Mulhouse			O		32TLT8246888743	UTC+1(+2DT)	MC	L-6G	199908
FR66146	LF	ORANGE	Orange			N		31TFJ5338093656	UTC+1(+2DT)	MC	H-7B, L-11D	199908
FR66165	LFBP					H	AOE	30TYP0910806251	UTC+1(+2DT)	MC	H-7A-15A, L-11C	199910
FR66731	LFCL		Toulouse			O		31TCJ7883826999	UTC+1(+2DT)	MC	L-11C	199908
FR66779	LFLS		Grenoble			O	AOE	31TFL8242725910	UTC+1(+2DT)	MC	H-7B, L-8H-9A	200513
FR66850	LFPT		Pontoise			O		31UDQ2998038643	UTC+1(+2DT)	MC	H-6F, L-7C	200412
FR67116	LFIG					S		31TDJ6123291733	UTC+1(+2DT)	MC	L-8G-11C	199908
FR69159	LFMH		Saint Etienne			O	AOE	31TFL0121043819	UTC+1(+2DT)	MC	H-7B, L-8H	199910
FR70014	LFHQ		Saint Flour			O		31TDK9949791436	UTC+1(+2DT)	MC	L-8G	200513
FR70035	LFOJ		Orleans			O		31TDP0752215685	UTC+1(+2DT)	MC	H-6F-7A, L-7C	200412
FR70418	LFMV		Avignon			O		31TFJ5271663335	UTC+1(+2DT)	MC	H-7B, L-11D	200513
FR71199	LFBN		Niort			O		30TYS0007331918	UTC+1(+2DT)	MC	H-7A, L-8F	200313
FR72450	LFSP					N		32TKS9645397959	UTC+1(+2DT)	MC	L-8H-9A	199908
FR73736	LFKC		Calvi			O	AOE	32TMN8301508729	UTC+1(+2DT)	MC	H-7C-15B, L-11D-12E	199910
FR74303	LFDM		Marmande			S		31TBK7744131102	UTC+1(+2DT)	MC	L-8F-11C	199908
FR74922	LFLU		Valence			O		31TFK5547076128	UTC+1(+2DT)	MC	H-7B, L-8H-11D	200013
FR76326	LFQW					N		32TKT8997679812	UTC+1(+2DT)	MC	L-6F-8H	200014
FR76590	LFML		Marseille			H	AOE	31TFJ7915111564	UTC+1(+2DT)	MC	H-7B-15B, L-11D	200012
FR76794	LFQB		Troyes			O		31UEP7536852605	UTC+1(+2DT)	MC	H-6G, L-6F-7D	200504
FR76872	LFMY					O		31TFJ7022330321	UTC+1(+2DT)	MC	H-7B-15B, L-11D	200010
FR77044	LFLN					O		31TEM7787440384	UTC+1(+2DT)	MC	H-7B, L-8G	199908
FR77270	LFSB	EUROAIRPORT	Basel Mulhouse SZ			H	AOE	32TLT8947271733	UTC+1(+2DT)	MC	H-7C, L-6G	200005
FR77343	LFOE		Evreux			O		31UCQ6987432169	UTC+1(+2DT)	MC	H-6F, L-7C	200513
FR77628	LFRU		Morlaix			O		30UVU3985983671	UTC+1(+2DT)	MC	H-3C, L-7A	200504
FR77866	LFSN		Nancy			O		32UKU9619396927	UTC+1(+2DT)	MC	L-6G	200208
FR79211	LFCZ					H		30TXP4600389722	UTC+1(+2DT)	MC	L-8E-11B	200403
FR79539	LFBU		Angouleme			O		31TBL8380667721	UTC+1(+2DT)	MC	H-7A, L-8F	200513
FR79591	LFCW					S		31TCK2152218405	UTC+1(+2DT)	MC	L-8F-11C	200003
FR80032	LFQT		Merville			O		31UDS7469107451	UTC+1(+2DT)	MC	H-6F, L-4H	200412
FR80314	LFBM					O	AOE	30TYP0013365082	UTC+1(+2DT)	MC	H-7A-15A, L-8E-11C	200412
FR80381	LFRL		Lanveoc			O		30UUU9279848620	UTC+1(+2DT)	MC	L-7A	200513
FR81741	LFQI		Cambrai			O		31UER1100363305	UTC+1(+2DT)	MC	H-6G, L-4H-6F-7D	200412
FR82940	LFAI					N		31UEP0050082571	UTC+1(+2DT)	MC	L-7D	200308
FR83438	LFOA					O		31TDN7208811156	UTC+1(+2DT)	MC	H-7B, L-8G	200012
FR83656	LFBK					O		31TDM5094818982	UTC+1(+2DT)	MC	H-7B, L-8G	200503
FR84271	LFQJ		Maubeuge			N		31UER7356273661	UTC+1(+2DT)	MC	L-4H-5A-7D	200411
FR84515	LFRT		Saint Brieuc			O		30UWU1074476085	UTC+1(+2DT)	MC	H-3C, L-7B	200206
FR84734	LFDA					S		30TYP2193643290	UTC+1(+2DT)	MC	L-11C	199908
FR85255	LFPM		Melun			O		31UDP7575583569	UTC+1(+2DT)	MC	H-6G, L-7D	200308
FR85509	LFSM		Montbeliard			O		32TLT3356061651	UTC+1(+2DT)	MC	H-7C, L-6G-9A	199908
FR85977	LFOV		Laval			O		30UXU6825622250	UTC+1(+2DT)	MC	H-7A, L-7B	200211
FR86197	LFLH		Chalon			S		31TFM3863387444	UTC+1(+2DT)	MC	L-8H	199912
FR86211	LFGK					N		31TEP2926215510	UTC+1(+2DT)	MC	L-7D	200513
FR87329	LFTF		Cuers			O		32TKN6673992343	UTC+1(+2DT)	MC	H-7C-15B, L-11D	200005
FR87541	LFLE		Chambery			N		31TGL3223349587	UTC+1(+2DT)	MC	L-8H-9A	199908
FR87690	LFOT		Tours			O		31TCN2864255700	UTC+1(+2DT)	MC	H-7A, L-7C	200103
FR87854	LFRN		Rennes			H	AOE	30UWU9425124800	UTC+1(+2DT)	MC	H-7A, L-7B	199910
FR88200	LFOH		Le Havre			O	AOE	31UBQ8931390883	UTC+1(+2DT)	MC	H-6F, L-7C	200513
FR88320	LFMO		Orange			O		31TFJ4931089170	UTC+1(+2DT)	MC	H-7B-15A, L-11D	199908
FR89503	LFOK		Chalons			O		31UEQ8702403240	UTC+1(+2DT)	MC	H-6G, L-6F-7D	200412
FR90543	LFRO					O		30UVV6533300259	UTC+1(+2DT)	MC	H-3C, L-7A	200207
FR90749	LFAV		Valenciennes			O		31UER3283374958	UTC+1(+2DT)	MC	H-6G, L-4H-5A-7D	200513
FR91406	LFXA					O		31TFL8033695276	UTC+1(+2DT)	MC	H-7B, L-8H-9A	199908
FR91972	LFCH		Arcachon			O		30TXQ4993739852	UTC+1(+2DT)	MC	L-8E-11B	200506
FR94265	LFQM		Besancon			O		32TKT7914832246	UTC+1(+2DT)	MC	L-8H-9A	200513
FR94761	LFKJ		Ajaccio			H	AOE	32TMM8365941317	UTC+1(+2DT)	MC	H-7C-15B, L-11D-12E	200003
FR94858	LFBL		Limoges			O	AOE	31TCL5868380413	UTC+1(+2DT)	MC	H-7A, L-8F	200411
FR95817	LFRM		Le Mans			O		31TBP9105814379	UTC+1(+2DT)	MC	L-7C	200506
FR96068	LFJL					H		32UKV9889329112	UTC+1(+2DT)	MC	H-6G, L-6G	200412
