PJA_IDENT	NAME	ICAO_REGION	STATE_PROV	OPR_TIME	HOURS	ALT	CYCLE_DATE
IT00425	MONDOVI - E CUNEO	LI		1		FL120	200512
IT00430	MONTAGNANA	LI		5		FL120	200512
IT00435	MONTALTO UFFUGO	LI		5		FL100	200606
IT00440	MONTE GIORGIO- N ASCOLI PICENO	LI		5		FL140	200606
IT00455	NETTUNO-W LATINA	LI		5		FL150	200606
IT00460	ORISTANO ARPT	LI		1		FL120	200012
IT00465	ORTISEI - NE BOLZANO	LI		5		FL135	200405
IT00480	PADULE E MARINELLA	LI		1		FL100	200103
IT00490	PALERMO BOCCA DI FALCO ARPT	LI		1		FL120	200606
IT00510	PANICAROLA - WSW PERUGIA	LI		1		FL080	200512
IT00513	PANTANO DI PIGNOLA	LI		5		FL100	200606
IT00515	PAOLA-W COSENZA	LI		1		FL140	200606
IT00520	PARMA ARPT	LI		1		FL075	200603
IT00530	PAVULLO ARPT	LI		1		FL100	200601
IT00540	PERUGIA ARPT	LI		1		FL080	200512
IT00550	PESINA DI CAPRINO	LI		1		FL155	200509
IT00558	PISCINA REY - E CAGLIARI	LI		1		FL155	200601
IT00565	PONTECAGNANO-E SALERNO	LI		5		FL100	200403
IT00575	PRAIA A MARE - NW COSENZA	LI		5		FL140	200606
IT00580	PRATONI DEL VIVARO	LI		1		FL080	200512
IT00585	RAGUSA	LI		5		03000AGL	200409
IT00590	RAVENNA ARPT	LI		1		FL150	200410
IT00600	REGGIO CALABRIA ARPT	LI		1		FL120	200512
IT00610	REGGIO EMILIA ARPT	LI		5		FL150	200512
IT00620	RIETI ARPT	LI		1		10000AMSL	200103
IT00623	ROMA - OUTSKIRTS	LI		1		FL100	200403
IT00626	S CRISTOPHE AOSTA	LI		5		13500AMSL	200512
IT00627	S LUCIDO-W COSENZA	LI		5		10000AMSL	200403
IT00628	S TEODORO LANDSTRIP	LI		1		FL100	200501
IT00629	SALERNO	LI		5		FL100	200509
IT00630	SALERNO ARPT	LI		5		FL140	200403
IT00650	SALERNO TOWN	LI		5		FL095	200606
IT00660	SALGAREDA	LI		1		FL150	200109
IT00661	SAN CASSIANO FABBRIANO	LI		5		FL080	200601
IT00663	SAN MAURO LANDSTRIP	LI		5		FL095	200409
IT00664	SAN VINCENZO - SSE LIVORNO	LI		1		FL150	200403
IT00665	SANSEPOLCRO	LI		1		08000AMSL	200601
IT00666	SANT APOLLONIA	LI		1		FL080	200512
IT00667	SARNO-NW SALERNO	LI		5		06000AMSL	200403
IT00668	SARZANA ARPT	LI		1		FL100	200512
IT00670	SCALEA - NW COSENZA	LI		5		FL140	200606
IT00674	SE RAGUSA	LI		5		03000AGL	200403
IT00676	SERDIANA - NE CAGLIARI	LI		1		FL155	200509
IT00680	SETTIMO S PIETRO	LI		1		FL080	200012
IT00685	SIBARI	LI		5		FL140	200606
IT00690	SIENA ARPT	LI		4		FL130	200509
IT00700	SIGONELLA ARPT-W SIGONELLA	LI		5		FL195	200509
IT00720	SQUARTABUE LANDSTRIP	LI		5		03000AMSL	200601
IT00730	TARANTO	LI		5		FL095	200512
IT00732	TEGGIANO - SE SALERNO	LI		5		FL155	200606
IT00750	THIENE ARPT	LI		5		FL145	200512
IT00760	TORINO NNE	LI		1		FL120	200402
IT00768	TORRACIA LANDSTRIP	LI		1		FL140	200606
IT00770	TORTOLI ARPT	LI		1		10000AMSL	200402
IT00780	TRENTO MATTARELLO ARPT	LI		1		FL120	200103
IT00785	VALLO DELLA LUCANIA	LI		5		FL155	200606
IT00790	VENARIA REALE	LI		1		FL080	200012
IT00810	VENEZIA LIDO	LI		1		FL090	200601
IT00820	VERCELLI ARPT	LI		1		FL120	200303
IT00840	VERONA ARPT	LI		1		FL095	200012
IT00870	VICENZA ARPT	LI		5		05000AMSL	200512
IT00890	VITERBO ARPT	LI		1		FL120	200012
IT00900	ZERFALIU - NE ORISTANO	LI		1		FL080	200403
KS00001	RIGGER DZ (RK)A1	RK		3		02500AGL	200105
KS00002	KAKDONG	RK		3		03000AMSL	200105
KS00003	KUMSUNG	RK		3		06000AMSL	200105
KS00004	ANGANG	RK		3		03000AMSL	200105
KS00005	NAMJI	RK		3		02000AGL	200105
KS00006	SOONCHANG	RK		3		03000AMSL	200105
KS00007	CORY	RK		3		02000AGL	200105
NC00001	QUAI MANTO (102)	NW		1	H24	13800AMSL	200412
NC00002	ILE NOU-KUENDU BEACH (103)	NW		1		13800AMSL	200412
NC00003	KOUMAC (104)	NW		1		FL135	200412
NC00004	LA FOA (105)	NW		1		13800AMSL	200412
NL00001	AMELAND AD	EH		2		FL125	200206
NL00002	ETTEN-LEUR	EH		3		FL100	200504
NL00003	BAARN	EH		1679		03500AMSL	200012
NL00004	ECHTEN	EH		1		FL125	200012
NL00005	EELDE AD	EH		16		FL125	200206
NL00006	OOSSTELIJK FLEVOLAND	EH		1		FL060	200206
NL00007	HILVERSUM AD	EH		169		FL090	200206
NL00009	HOOGEVEEN AD	EH		2		FL150	200012
NL00010	HOOGVLIET	EH		1		FL120	200012
NL00011	OOSTWOLD	EH		679		FL125	200012
NL00013	REGTE HEIDE	EH		9		FL120	200012
NL00014	RHOON	EH		1		FL120	200012
NL00015	SPIER	EH		1		FL125	200012
NL00016	TEUGE AD	EH		679		FL125	200413
NL00017	TEXEL AD	EH		1679		FL150	200012
NL00018	WESTBROEK	EH		69		FL090	200413
NL00019	WINDE	EH		2		FL125	200413
NL00020	LEUSDERHEIDE	EH		5		FL130	200504
NL00021	WIJK BIJ DUURSTEDE	EH		67		FL090	200207
NL00022	RIJSBERGEN	EH		3		FL100	200504
NL00023	WERNHOUT	EH		3		FL100	200504
NL00024	OUD GASTEL	EH		3		FL100	200504
NL00025	SCHIJF	EH		3		FL100	200504
NO00002	ANDOYA	EN		1	DAY/VMC	12500AGL	200012
NO00003	BARDUFOSS	EN		1	DAY/VMC	12500AGL	200012
NO00004	BERGEN	EN		1	DAY/VMC	12500AGL	200012
NO00005	BJORLI	EN		1	DAY/VMC	12500AGL	200012
NO00006	BODO	EN		1	DAY/VMC	12500AGL	200012
NO00007	BOMOEN	EN		1	DAY/VMC	12500AGL	200012
NO00008	EGGEMOEN	EN		1	DAY/VMC	12500AGL	200012
NO00009	ELVERUM-STARMOEN	EN		1	DAY/VMC	12500AGL	200012
NO00010	FAGERHAUG	EN		1	DAY/VMC	12500AGL	200012
NO00011	FAGERNES	EN		1	DAY/VMC	12500AGL	200012
NO00012	FOLLDAL	EN		1	DAY/VMC	12500AGL	200012
NO00013	FRYA	EN		1	DAY/VMC	12500AGL	200012
NO00014	FYRESDAL	EN		1	DAY/VMC	12500AGL	200012
NO00015	FORDE	EN		1	DAY/VMC	12500AGL	200012
NO00016	GEILO	EN		1	DAY/VMC	12500AGL	200012
NO00017	HAMAR	EN		1	DAY/VMC	12500AGL	200012
NO00018	HARSTAD/NARVIK	EN		1	DAY/VMC	12500AGL	200012
NO00019	JARLSBERG	EN		1	DAY/VMC	12500AGL	200012
NO00020	KRISTIANSAND	EN		1	DAY/VMC	12500AGL	200012
NO00021	FARSUND/LISTA	EN		1	DAY/VMC	12500AGL	200312
NO00022	MOLDE	EN		1	DAY/VMC	12500AGL	200012
NO00023	RAKKESTAD	EN		1	DAY/VMC	12500AGL	200012
NO00024	REINSVOLL	EN		1	DAY/VMC	12500AGL	200012
NO00025	ROGNAN	EN		1	DAY/VMC	12500AGL	200012
NO00026	RYGGE	EN		1	DAY/VMC	12500AGL	200012
NO00027	ROROS	EN		1	DAY/VMC	12500AGL	200012
NO00028	MO I RANA	EN		1	DAY/VMC	12500AGL	200012
NO00029	SKI	EN		1	DAY/VMC	12500AGL	200012
NO00030	SKIEN	EN		1	DAY/VMC	10000AGL	200012
NO00031	STAVANGER	EN		1	DAY/VMC	12500AGL	200012
NO00032	TROMSO	EN		1	DAY/VMC	12500AGL	200012
NO00033	TRONDHEIM	EN		1	DAY/VMC	12500AGL	200012
NO00034	ORSTA/VOLDA	EN		1	DAY/VMC	12500AGL	200012
NO00035	OSTRE AERA	EN		1	DAY/VMC	FL165	200012
NO00036	ALESUND	EN		1	DAY/VMC	12500AGL	200012
RP00001	PLARIDEL (RP-T6)	RP		1		03000AMSL	200014
RQ00002	ARECIBO ARPT	TJ		67		12500AMSL	200014
RQ00004	HUMACAO ARPT	TJ		167		15000AMSL	200011
SA00001	JUBAIL	OB		3		UNK	200014
SA00002	DHAHRAN	OB		3		03000AMSL	200014
SA00003	DHAHRAN	OB		3		03000AMSL	200014
SP00001	MASPALOMAS	GC		3		FL120	200210
SP00005	ABLITAS	LE		9	0800-2000	FL070	200107
SP00010	ALCANTARILLA	LE		1		11000AGL	200012
SP00015	ALPEDRETE DE LA SIERRA	LE		10		08500AMSL	200210
SP00020	CASAS DE UCEDA	LE		10		05000AMSL	200112
SP00025	CASTELLON	LE		61		09850AGL	200012
SP00035	ESTEPONA S	LE		4		01000AMSL	200012
SP00040	GALAPAGOS	LE		9		01500AGL	200112
SP00045	MURCIA	LE		39		FL260	200112
SP00050	SABADELL	LE		10		02500AMSL	200113
SP00055	SANCHIDRIAN	LE		1		11500AMSL	200012
SP00060	SANTORCAZ	LE		10		FL120	200112
SP00065	ZAOREJAS	LE		3		05000AMSL	200012
TH00001	CAMP PAWAI	VT		2		12500AMSL	200014
UK00001	ABINGDON (OXON)	EG		1		FL085	200113
UK00004	BALLYKELLY	EG		1		FL150	200012
UK00005	BALLYROGAN	EG		1		FL150	200012
UK00007	BOSCOMBE DOWN	EG		1		FL150	200012
UK00008	BRIDLINGTON	EG		1		FL150	200113
UK00009	BRIZE NORTON	EG		1		FL150	200012
UK00011	CARK	EG		1		FL145	200113
UK00012	CARLISLE	EG		1		FL095	200308
UK00013	CHALGROVE	EG		1		05500AMSL	200012
UK00014	CHATTERIS	EG		1		FL150	200012
UK00015	COCKERHAM	EG		1		FL095	200113
UK00017	DUNKESWELL	EG		1		FL150	200012
UK00018	ERROL	EG		1		05500AMSL	200209
UK00022	HENLOW	EG		1		03500AMSL	200113
UK00023	HIBALDSTOW	EG		1		FL150	200307
UK00024	HINTON IN THE HEDGES	EG		1		FL065	200113
UK00025	KEEVIL	EG		3		FL150	200113
UK00026	KINGSMUIR	EG		167		FL150	200211
UK00027	LANGAR	EG		1		FL150	200113
UK00028	LASHENDEN/HEADCORN	EG		1		03500AMSL	200113
UK00029	LEWKNOR	EG		1		05000AMSL	200113
UK00030	KILLYKERGAN	EG		1		FL150	200204
UK00031	MIDDLE WALLOP	EG		1		FL120	200113
UK00032	MOVENIS	EG		1		FL150	200012
UK00033	NETHERAVON	EG		1		FL150	200012
UK00035	OLD BUCKENHAM	EG		1		FL150	200113
UK00036	PEMBREY	EG		16		FL140	200308
UK00040	PETERBOROUGH/SIBSON	EG		1		FL150	200113
UK00041	PETERLEE	EG		1		FL150	200113
UK00043	REDLANDS	EG		1		FL065	200113
UK00045	RENDCOMB	EG		1		FL150	200113
UK00047	ST MERRYN	EG		1		FL150	200113
UK00049	SOUTH CERNEY	EG		1		FL150	200113
UK00050	STRATHALLAN	EG		1		05000AMSL	200113
UK00055	TILSTOCK	EG		1		FL085	200401
UK00060	WESTON ON THE GREEN	EG		1		FL150	200113
UK00061	CORNWALL CIRCLE	EG		1		FL150	200510
US00001	JACKSONVILLE, GANDER DROP ZONE	KZ	37	567		02000AMSL	200505
US00002	ELLINGTON	KZ	09	3		15000AMSL	200505
US00003	HARWINTON	KZ	09	569		07200AMSL	200505
US00004	DANIELSON	KZ	09	56		12500AMSL	200505
US00006	LAUREL	KZ	10	1280		12000AMSL	200505
US00007	SHELBYVILLE, WARRINGTON FLD	KZ	10	1		15000AMSL	200505
US00008	GEORGETOWN, SUSSEX CO	KZ	10	67		12500AMSL	200505
US00010	LEBANON	KZ	23	6		14000AMSL	200505
US00011	MILLINOCKET MUNI	KZ	23	167		14000AGL	200505
US00012	COTTONWOOD	KZ	04	4		14000AMSL	200505
US00014	BLACKFOOT, ANDERSON-PLUMMER	KZ	16	15		12500AMSL	200505
US00015	BOISE, SNAKE RIVER SKYDIVING	KZ	16	1679		16000AMSL	200505
US00016	BURLEY	KZ	16	1679		15000AMSL	200505
US00017	CALDWELL INDUSTRIAL	KZ	16	1		12500AGL	200505
US00018	WASECA MUNI	KZ	27	4		15000AMSL	200505
US00019	JACKSONVILLE, OWL DROP ZONE	KZ	37	56		02000AMSL	200505
US00020	GREENE, RICONN	KZ	44	2690		12500AMSL	200505
US00021	NEWPORT STATE	KZ	44	15		10000AMSL	200505
US00022	PAWTUCKET, NORTH CENTRAL STATE	KZ	44	169		13000AMSL	200505
US00023	ANCHORAGE	PA	02	61		12500AMSL	200505
US00024	ANCHORAGE, CAMPBELL AIRSTRIP	PA	02	15		02000AMSL	200505
US00025	ANCHORAGE, MALEMUTE	PA	02	140		05000AMSL	200505
US00026	BIG DELTA, BUFFALO CORRAL DROP ZONE	PA	02	150		04000AMSL	200505
US00027	ANCHORAGE, ANCHORAGE CLAXTON	PA	02	0		12500AMSL	200505
US00028	FAIRBANKS, RIVER ROAD DROP ZONE	PA	02	15		06000AMSL	200607
US00029	CALVERTON EXEC AIRPARK	KZ	36	1280		13500AMSL	200510
US00030	FAIRBANKS, BIRCH HILL	PA	02	15		06000AMSL	200607
US00031	FAIRBANKS, CHENA LAKE	PA	02	15		06000AMSL	200607
US00032	FAIRBANKS, CREAMERS FLD	PA	02	15		13000AMSL	200505
US00033	FAIRBANKS, FARMER BROWN	PA	02	15		06000AMSL	200607
US00034	WASILLE/ADVENTURE DROP ZONE	PA	02	1		14000AMSL	200505
US00035	FAIRBANKS, HUSKY DROP ZONE	PA	02	150		03500AMSL	200505
US00036	FAIRBANKS, PEDE ROAD SITE	PA	02	4		02500AMSL	200505
US00037	ANCHORAGE GIRDWOOD, GIRDWOOD ARPT	PA	02	6		12500AMSL	200505
US00038	KASILOF	PA	02	15		13000AMSL	200505
US00039	MCGRATH	PA	02	5		05000AMSL	200505
US00040	PALMER FAIRGROUNDS	PA	02	15		12500AMSL	200505
US00041	ALBERTVILLE MUNI-THOMAS J BRUMLIK FLD	KZ	01	56		10000AMSL	200505
US00042	ALLEN AHP	KZ	01	2		12500AMSL	200505
US00043	BAYOU LA BATRE, ROY E RAY	KZ	01	130		12500AMSL	200505
US00044	BESSEMER, OLD BESSEMER	KZ	01	167		10000AMSL	200505
US00045	DOTHAN, HATCH AHP DROP ZONE	KZ	01	67		12500AGL	200505
US00046	ELBERTA, HORAK	KZ	01	16		14000AMSL	200505
US00047	ELLIS DROP ZONE	KZ	01	2		01500AMSL	200505
US00048	EUTAW MUNI	KZ	01	560		13000AGL	200505
US00049	FORT RUCKER, CAIRNS AAF	KZ	01	10		14500AMSL	200505
US00050	GADSDEN MUNI	KZ	01	1280		14000AMSL	200505
US00051	GRAHAM DROP ZONE	KZ	01	2		01500AMSL	200505
US00052	HARVEST, EPPS AIRPARK	KZ	01	50		13500AMSL	200505
US00053	HAZEL GREEN	KZ	01	10		14000AMSL	200505
US00054	HEADLAND MUNI	KZ	01	50		15000AMSL	200505
US00055	CULLMAN, FOLSOM FLD	KZ	01	5		14500AMSL	200505
US00057	JONES DROP ZONE	KZ	01	167		01500AMSL	200505
US00058	KILBY DROP ZONE	KZ	01	50		01500AMSL	200505
US00059	LONGSTREET DROP ZONE	KZ	01	2		03500AGL	200505
US00060	MOUNDVILLE	KZ	01	50		12000AGL	200505
US00061	PINSON, CENTRAL COAST DROP ZONE	KZ	01	50		10500AMSL	200505
US00062	REDSTONE DROP ZONE	KZ	01	50		01500AMSL	200505
US00063	RENDA DROP ZONE	KZ	01	2		01500AMSL	200505
US00064	PELL CITY, ST CLAIR CO	KZ	01	50		15500AMSL	200505
US00065	ST ELMO	KZ	01	50		12500AMSL	200505
US00066	BULLHEAD CITY, EAGLE AIRPARK	KZ	04	14		15000AMSL	200505
US00067	TAC RUNKLE DROP ZONE	KZ	01	2		03500AGL	200505
US00068	TOMMY DROP ZONE	KZ	01	2		01500AMSL	200505
US00069	TUSKEGEE, MOTON FLD MUNI	KZ	01	10		12500AMSL	200505
US00070	VINCENT	KZ	01	167		10000AMSL	200505
US00071	WARRIOR	KZ	01	2		12500AMSL	200505
US00072	WEAVER, MCMINN	KZ	01	2		12500AMSL	200505
US00073	MONTGOMERY, WETUMPKA MUNI	KZ	01	50		10000AMSL	200505
US00074	BELMAR-FARMINGDALE, MONMOUTH EXEC	KZ	34	670		13500AMSL	200505
US00075	BUCKEYE MUNI	KZ	04	3		14000AMSL	200505
US00076	COOLIDGE MUNI	KZ	04	15		17999AMSL	200505
US00077	ELOY MUNI	KZ	04	15		17500AMSL	200505
US00078	MARIPOSA, ESTRELLA SAILPORT	KZ	04	36		14000AMSL	200505
US00079	LAGUNA AAF (YUMA PROVING GROUND)	KZ	04	10		25000AMSL	200505
US00080	HEMET/DIAMOND VALLEY	KZ	06	4		14000AMSL	200505
US00081	MARANA, PINAL AIRPARK	KZ	04	4		25000AMSL	200505
US00082	PHOENIX, US PARACHUTE SVC	KZ	04	4		14000AMSL	200505
US00083	SIERRA VISTA/FORT HUACHUCA	KZ	04	190		08000AMSL	200505
US00084	YUMA PROVING GROUND	KZ	04	1		FL400	200505
US00085	CAMP CHAFFEE, ARROWHEAD DROP ZONE	KZ	05	670		03000AMSL	200505
US00086	HAZEN MUNI	KZ	05	5679		15000AMSL	200505
US00087	LITTLE ROCK, BLACKJACK DROP ZONE	KZ	05	6789		03000AMSL	200505
US00088	CAMP ROBINSON, ALL AMERICAN	KZ	05	69		03000AMSL	200505
US00089	LITTLE ROCK, CONWAY DROP ZONE	KZ	05	69		12500AGL	200505
US00090	SILOAM SPRINGS, SMITH FLD	KZ	05	596		15000AMSL	200505
US00091	TEXARKANA	KZ	05	15		13000AGL	200505
US00092	APPLE VALLEY	KZ	06	1679		15000AMSL	200505
US00093	SKYDIVE SANTA ROSA	KZ	06	1280		14000AMSL	200505
US00094	BYRON	KZ	06	4		15000AMSL	200505
US00095	CALIFORNIA CITY MUNI	KZ	06	90		17500AMSL	200505
US00096	CAMP PARK	KZ	06	6709		10000AMSL	200505
US00097	SALINAS, DAVIS ROAD DROP ZONE	KZ	06	10		18000AMSL	200505
US00098	FORT ERWIN	KZ	06	50		10000AMSL	200505
US00099	CLOVERDALE MUNI	KZ	06	50		12500AMSL	200505
US00100	JACKSONVILLE, EAGLE DROP ZONE	KZ	37	16		02000AMSL	200505
US00101	LAKE ELSINORE, SKYLARK FLD	KZ	06	60		14000AMSL	200505
US00102	HINTON MUNI	KZ	40	1		16000AMSL	200505
US00103	BRUSH MUNI	KZ	08	60		17700AMSL	200505
US00104	LODI	KZ	06	15		15000AMSL	200505
US00105	LOS ALAMITOS AAF	KZ	06	10		01500AGL	200505
US00106	MADERA MUNI	KZ	06	50		15000AMSL	200505
US00107	MARINA MUNI	KZ	06	50		12500AMSL	200505
US00109	MURRIETA	KZ	06	10		11500AMSL	200505
US00110	OTTAWA	KZ	17	4		17900AGL	200505
US00111	ORO LOMA, EAGLE FLD (ABANDONED ARPT)	KZ	06	10		12500AMSL	200505
US00112	PALM SPRINGS, BERMUDA DUNES	KZ	06	50		14000AMSL	200505
US00113	PARADISE SKYPARK	KZ	06	50		14500AMSL	200505
US00114	CROSSVILLE MEM-WHITSON FLD	KZ	47	1280		14500AMSL	200505
US00115	PERRIS VALLEY	KZ	06	50		14500AMSL	200505
US00116	REDDING, ASHPAN FLAT	KZ	06	50		08700AMSL	200505
US00117	REDDING, BRICKLANDS RANCH	KZ	06	50		03900AMSL	200505
US00118	REDDING, SLATE CREEK	KZ	06	10		05500AMSL	200505
US00119	OCEANSIDE MUNI	KZ	06	5		10500AMSL	200505
US00120	SAN DIEGO, LEON DROP ZONE	KZ	06	50		02800AMSL	200505
US00121	SAN DIEGO, OTAY RESERVOIR	KZ	06	50		05800AMSL	200505
US00122	SAN DIEGO, SOUTH BAY	KZ	06	10		02800AMSL	200505
US00123	SAN DIEGO, TRIDENT	KZ	06	4		15000AMSL	200505
US00124	SANTA MARIA	KZ	06	3		12500AGL	200505
US00125	CANON CITY, FREMONT CO	KZ	08	1280		17500AMSL	200505
US00126	SANTA ROSA, SONOMA CO	KZ	06	1280		12500AMSL	200505
US00127	TAFT	KZ	06	1		13000AMSL	200505
US00128	TRES PINOS	KZ	06	50		12500AMSL	200505
US00129	TWENTYNINE PALMS	KZ	06	150		12500AGL	200505
US00130	WILTON DROP ZONE	KZ	06	50		01500AGL	200505
US00131	YOLO CO-DAVIS WOODLAND WINTERS	KZ	06	50		13500AMSL	200505
US00132	CALHAN	KZ	08	41		17500AMSL	200505
US00133	COLORADO SPRINGS, USAF ACADEMY AFLD	KZ	08	150		17500AMSL	200606
US00134	COLORADO SPRINGS, YODER DROP ZONE	KZ	08	670		09000AGL	200505
US00135	FORT CARSON, AFLD WEST DROP ZONE	KZ	08	69		17000AMSL	200505
US00136	TUNKHANNOCK, SKYHAVEN	KZ	42	10		13500AGL	200505
US00137	GREELEY-WELD CO, SKYDIVE THE FARM	KZ	08	15		14500AMSL	200505
US00138	LONGMONT, VANCE BRAND, MILE HI SKYDIVE	KZ	08	1		17900AMSL	200505
US00139	JONESBORO, SWAN CREEK	KZ	37	4		15000AMSL	200505
US00140	JACKSONVILLE, HERLONG	KZ	12	2		15000AMSL	200505
US00141	PALM BEACH CO GLADES	KZ	12	1		17500AMSL	200505
US00142	ARCADIA MUNI	KZ	12	2		15000AMSL	200505
US00143	AVON PARK DROP ZONE	KZ	12	1820		04000AMSL	200505
US00144	AVON PARK EXECUTIVE	KZ	12	56		04000AMSL	200505
US00145	BRANDON SOD FARM	KZ	12	1		15000AMSL	200505
US00146	TAFT-KERN CO	KZ	06	1		13000AMSL	200505
US00147	BUNNELL, FLAGLER CO	KZ	12	1		14000AMSL	200505
US00148	CHASSAHOWITZKA DROP ZONE	KZ	12	2		04000AMSL	200505
US00149	CLEWISTON, AIRGLADES	KZ	12	56		13500AMSL	200505
US00150	DELAND MUNI-SIDNEY H TAYLOR FLD	KZ	12	2		15000AMSL	200505
US00151	ENGLEWOOD, BUCHAN	KZ	12	4		15000AGL	200505
US00152	COLEMAN, FREEFLIGHT INTL	KZ	12	6709		15000AMSL	200505
US00153	HOMESTEAD ARB NR 1	KZ	12	2		03000AMSL	200505
US00154	MOUNT PLEASANT MUNI	KZ	26	10		14000AMSL	200505
US00155	HOMESTEAD GENERAL AVIATION	KZ	12	1		15000AMSL	200505
US00156	SAN DIEGO, BROWN FLD MUNI	KZ	06	10		14000AMSL	200505
US00157	KEY WEST	KZ	12	4		07000AMSL	200505
US00158	LA BELLE, SUNDANCE FARMS	KZ	12	4		12500AMSL	200505
US00159	LAKE WALES MUNI	KZ	12	1690		18000AMSL	200505
US00160	LEWELLEN DROP ZONE	KZ	12	2		04000AMSL	200505
US00161	MACDILL AFB NR 1	KZ	12	5		10000AMSL	200505
US00162	MACDILL AFB NR 2	KZ	12	1		07500AMSL	200505
US00164	MERRILL DROP ZONE	KZ	12	1280		03000AMSL	200505
US00165	MYAKKA CITY	KZ	12	16		12500AMSL	200505
US00166	NEW SMYRNA BEACH, MASSEY RANCH AIRPARK	KZ	12	5		15000AMSL	200505
US00167	OKEECHOBEE CO	KZ	12	3		10500AMSL	200505
US00168	PALATKA, KAY LARKIN	KZ	12	1679		12500AMSL	200505
US00170	PENSACOLA	KZ	12	50		15000AGL	200505
US00171	QUINCY MUNI	KZ	12	50		15000AMSL	200505
US00172	RANGE 75 DROP ZONE	KZ	12	2		03000AMSL	200505
US00173	ST AUGUSTINE	KZ	12	1		12500AMSL	200505
US00174	SEBASTIAN MUNI	KZ	12	1690		22000AMSL	200505
US00175	PUNTA GORDA, SHELL CREEK AIRPARK	KZ	12	1		13000AMSL	200505
US00176	KEY WEST, SUGAR LOAF SHORES	KZ	12	1		14000AMSL	200505
US00177	SUN CITY	KZ	12	56		12500AMSL	200505
US00178	TITUSVILLE, ARTHUR DUNN AIR PARK	KZ	12	1280		13500AMSL	200505
US00179	TYNDALL AFB	KZ	12	1		02000AMSL	200505
US00180	UMATILLA MUNI	KZ	12	1560		13000AGL	200505
US00181	WILLISTON MUNI	KZ	12	5		11000AMSL	200505
US00182	WILMA DROP ZONE	KZ	12	1		02000AMSL	200505
US00183	ZEPHYRHILLS MUNI	KZ	12	169		20000AMSL	200505
US00184	PANACEA, WAKULLA CO	KZ	12	1		13500AMSL	200505
US00185	BUNKER HILL DROP ZONE	KZ	13	2		08000AMSL	200505
US00186	CLAXTON-EVANS CO	KZ	13	15		07500AMSL	200505
US00187	DAHLONEGA, LUMPKIN CO, WIMPYS DZ	KZ	13	2		15000AMSL	200505
US00188	DAHLONEGA, HWY 76 DROP ZONE	KZ	13	1		03000AMSL	200505
US00189	ANGOLA	KZ	18	2		14500AMSL	200505
US00190	FORT BENNING, ARKMAN DROP ZONE	KZ	13	5		03000AMSL	200505
US00191	FORT BENNING, BOX SPRINGS DROP ZONE	KZ	13	2		03000AMSL	200505
US00192	FORT BENNING, EELBECK DROP ZONE	KZ	13	5		03000AMSL	200505
US00193	FORT BENNING, GARDNER DROP ZONE	KZ	13	2		12500AMSL	200505
US00194	FORT BENNING, FRYAR FLD DROP ZONE	KA	13	4		13000AMSL	200505
US00195	FORT BENNING, LAE DROP ZONE	KZ	13	4		03000AMSL	200505
US00196	FORT BENNING, LAWSON AAF	KZ	13	2		12500AMSL	200505
US00197	FORT BENNING, LEDO DROP ZONE	KZ	13	4		03000AMSL	200505
US00198	FORT BENNING, LEE FLD DROP ZONE	KZ	13	5		13000AMSL	200505
US00199	FORT BENNING, LEE NORTH (COMBS)	KZ	13	2		03000AMSL	200505
US00200	FORT BENNING, MCKENNA DROP ZONE	KZ	13	49		03000AMSL	200505
US00201	FORT STEWART, CANOOCHEE DROP ZONE	KZ	13	567		01500AMSL	200505
US00202	FORT STEWART, JAECK DROP ZONE	KZ	13	2		01500AMSL	200505
US00203	FORT STEWART, METZ DROP ZONE	KZ	13	2		01500AMSL	200505
US00204	FORT STEWART, REMAGEN DROP ZONE	KZ	13	2		01500AMSL	200505
US00205	FORT STEWART, ST LO DROP ZONE	KZ	13	2		01500AMSL	200505
US00206	FORT STEWART, TAC-X DROP ZONE	KZ	13	2		01500AMSL	200505
US00207	FORT STEWART, TARO DROP ZONE	KZ	13	2		01500AMSL	200505
US00208	FORT STEWART, TAYLOR CREEK DROP ZONE	KZ	13	1678		01500AMSL	200505
US00209	FORT STEWART, VICTORY DROP ZONE	KZ	13	2		01500AMSL	200505
US00210	FORT VALLEY, MIAMI VALLEY FARM	KZ	13	2		14000AMSL	200505
US00211	FORT BENNING, YORK DROP ZONE	KZ	13	2		12500AMSL	200505
US00212	TIFTON, HENRY TIFT MYERS	KZ	13	5		15000AMSL	200505
US00213	HINESVILLE, LIBERTY CO	KZ	13	2		12500AMSL	200505
US00214	LOCUST GROVE, MALLARDS LANDING	KZ	13	5		13500AMSL	200505
US00215	MONROE-WALTON CO	KZ	13	16		13500AMSL	200505
US00216	PLANTATION AIRPARK, MOORE DROP ZONE	KZ	13	569		01500AGL	200505
US00217	ROME, RICHARD B RUSSELL	KZ	13	5		15000AMSL	200505
US00218	ST MARYS	KZ	13	2		12000AMSL	200505
US00219	MARANA RGNL	KZ	04	36		17999AMSL	200505
US00220	WAYCROSS-WARE CO	KZ	13	15		12500AMSL	200505
US00221	WILSCOTT DROP ZONE	KZ	13	15		08000AMSL	200505
US00223	CARMI MUNI	KZ	17	1		09500AGL	200505
US00224	DEER GROVE	KZ	17	567		12000AGL	200505
US00225	GREENVILLE	KZ	17	596		13500AMSL	200505
US00226	HINCKLEY	KZ	17	15		14500AMSL	200505
