ARPT_IDENT	PROC	TRM_IDENT	APP_TYPE	ICAO	CAT_A_DH	CAT_A_RV	CAT_A_HA	CAT_A_WX_CL	CAT_A_WX_PV	CAT_B_DH	CAT_B_RV	CAT_B_HA	CAT_B_WX_CL	CAT_B_WX_PV	CAT_C_DH	CAT_C_RV	CAT_C_HA	CAT_C_WX_CL	CAT_C_WX_PV	CAT_D_DH	CAT_D_RV	CAT_D_HA	CAT_D_WX_CL	CAT_D_WX_PV	CAT_E_DH	CAT_E_RV	CAT_E_HA	CAT_E_WX_CL	CAT_E_WX_PV	MIN_RMK	CYCLE_DATE
NO47102	3	I19    ILS/DME RW19	CIRCLING***	ENTC	00860	-4000M	829	0900	4000M	01160	-4800M	1129	1200	4800M	02780	-4800M	2749	2800	4800M	02960	-4800M	2929	3000	4800M	NA			    	     	***Circling not authorized W of Rwy 01/19.	200409
NO47102	3	I19    ILS/DME RW19	S-ILS 19*	ENTC	00370	-1200M	347	0400	1200M	00370	-1200M	347	0400	1200M	00370	-1200M	347	0400	1200M	01064	-4000M	1041	1100	4000M	NA			    	     	*When ALS inop, increase vis CAT ABC to1600m, CAT D to 4400m.	200510
NO47102	3	I19    ILS/DME RW19	S-LOC 19**	ENTC	00860	-3200M	837	0900	3200M	00860	-3200M	837	0900	3200M	00860	-3600M	837	0900	3600M	01060	-4400M	1037	1100	4400M	NA			    	     	**When ALS inop, increase vis CAT AB to3600m, CAT C to 4000mm, CAT D to 4800m.	200410
NO47398	3	T12    HI TACAN RW12	CIRCLING	ENRY	NA			    	     	NA			    	     	00680	-3200M	506	0600	3200M	00740	-3600M	566	0600	3600M	00740	-4000M	566	0600	4000M		200312
NO47398	3	T12    HI TACAN RW12	S-TAC 12*	ENRY	NA			    	     	NA			    	     	00520	-1600M	346	0400	1600M	00520	-1600M	346	0400	1600M	00520	-1600M	346	0400	1600M	*WHEN ALS INOP, INCREASE VIS TO 2400M.	200312
NO47398	3	T30    HI TACAN RW30	CIRCLING	ENRY	NA			    	     	NA			    	     	00680	-3200M	506	0600	3200M	00740	-3600M	566	0600	3600M	00740	-4000M	566	0600	4000M		200312
NO47398	3	T30    HI TACAN RW30	S-30*	ENRY	NA			    	     	NA			    	     	00660	-1600M	491	0500	1600M	00660	-2400M	491	0500	2400M	00660	-2400M	491	0500	2400M	*WHEN ALS INOP, INCREASE CAT C VIS TO 2000M, CAT E VIS TO 2800M.	200312
NO61036	3	I36    ILS/DME RW36	CIRCLING***	ENZV	00660	-1600M	631	0700	1600M	00780	-2000M	751	0800	2000M	01220	-4800M	1191	1200	4800M	01560	-4800M	1531	1600	4800M	NA			    	     	***CIRCLING E OF RWY 18-36 NOT AUTHORIZED.	200402
NO61036	3	I36    ILS/DME RW36	S-ILS 36*	ENZV	00238	-1200M	209	0300	1200M	00238	-1200M	209	0300	1200M	00238	-1200M	209	0300	1200M	00238	-1200M	209	0300	1200M	NA			    	     	**WHEN ALS INOP, INCREASE CAT CD VIS  TO1600M.	200113
NO61036	3	I36    ILS/DME RW36	S-LOC 36**	ENZV	00460	-1200M	431	0500	1200M	00460	-1200M	431	0500	1200M	00460	-1600M	431	0500	1600M	00460	-2000M	431	0500	2000M	NA			    	     	***WHEN ALS INOP, INCREASE CAT AB VIS TO1600M, CAT C TO 2000M, CAT D TO 2400M.	200113
NO61036	3	T36-H  HI TACAN RW36	CIRCLING**	ENZV	NA			    	     	NA			    	     	00640	-2800M	611	0700	2800M	00680	-3200M	651	0700	3200M	00680	-3600M	651	0700	3600M	**CIRCLING E OF RWY 18-36 NOT AUTHORIZED.	200407
NO61036	3	T36-H  HI TACAN RW36	S-36*	ENZV	NA			    	     	NA			    	     	00600	-2000M	571	0600	2000M	00600	-2400M	571	0600	2400M	00600	-2800M	571	0600	2800M	*WHEN ALS INOP, INCR CAT C VIS 2400M, CAT D VIS TO 2800M, CAT E VIS TO 3200M.	200407
NO65655	3	I28    ILS/VOR RW28	CIRCLING***	ENDU	01680	-4200M	1428	1500	4200M	01760	-4200M	1508	1600	4200M	02580	-4800M	2328	2400	4800M	03940	-4800M	3688	3700	4800M	NA			    	     	***Circling N of FLD Not Auth.	200604
NO65655	3	I28    ILS/VOR RW28	S-ILS 28*	ENDU	00829	-2200M	610	0600	2200M	00829	-2200M	610	0600	2200M	00829	-2200M	610	0600	2200M	00829	-2200M	610	0600	2200M	NA			    	     	*When ALS inop, increase vis to 3000m.	200604
NO65655	3	I28    ILS/VOR RW28	S-LOC 28**	ENDU	00840	-800M	621	0600	800M 	00840	-800M	621	0600	800M 	00840	-2000M	621	0600	2000M	00840	-2400M	621	0600	2400M	NA			    	     	**When ALS inop incr CAT AB vis to 1600m, CAT C vis to 2800m, CAT D vis to 3200M	200604
NO65655	3	L10    LOC/DME RW10	CIRCLING**	ENDU	01680	-4200M	1428	1500	4200M	01760	-4200M	1508	1600	4200M	02580	-4800M	2328	2400	4800M	03940	-4800M	3688	3700	4800M	NA			    	     	**Circling North of field Not Authorized.	200604
NO65655	3	L10    LOC/DME RW10	S-LOC 10*	ENDU	01240	-3800M	988	1000	3800M	01240	-3800M	988	1000	3800M	01240	-4400M	988	1000	4400M	01240	-4400M	988	1000	4400M	NA			    	     	*When ALS inop, increase vis 400m.	200604
NO74165	3	L14-H  HI LOC/DME RW14	CIRCLING***	ENAN	NA			    	     	NA			    	     	00500	-2400M	457	0500	2400M	00600	-3200M	557	0600	3200M	00600	-3200M	557	0600	3200M	***CIRCLING NOT AUTHORIZED SW OF Rwy 14-32.	200512
NO74165	3	L14-H  HI LOC/DME RW14	S-LOC 14*	ENAN	NA			    	     	NA			    	     	00320	-1200M	294	0300	1200M	00320	-1200M	294	0300	1200M	00320	-1200M	294	0300	1200M	*WHEN ALS INOP, INCREASE CAT CDE VIS TO1600M.	200512
NO74165	3	T14-H  HI TACAN RW14	CIRCLING***	ENAN	NA			    	     	NA			    	     	00500	-2400M	457	0500	2400M	00600	-3200M	557	0600	3200M	00600	-3200M	557	0600	3200M	***CIRCLING NOT AUTHORIZED SW of Rwy 14-32.	200512
NO74165	3	T14-H  HI TACAN RW14	S-TAC 14**	ENAN	NA			    	     	NA			    	     	00480	-1200M	454	0500	1200M	00480	-2000M	454	0500	2000M	00480	-2000M	454	0500	2000M	**WHEN ALS INOP, INCREASE CAT C vis to 2000m CAT DE vis to 2400m.	200512
NO74165	3	T32-H  HI TACAN RW32	CIRCLING**	ENAN	NA			    	     	NA			    	     	00500	-2400M	457	0500	2400M	00600	-3200M	557	0600	3200M	00600	-3200M	557	0600	3200M	**CIRCLING NOT AUTHORIZED SW OF RWY 14-32.	200512
NO74165	3	T32-H  HI TACAN RW32	S-32*	ENAN	NA			    	     	NA			    	     	00380	-1600M	360	0400	1600M	00380	-1600M	360	0400	1600M	00380	-1600M	360	0400	1600M	*WHEN ALS INOP, INCR VIS CAT C TO 1600M,CAT DE 2000M	200512
NO80653	3	I17-H  HI ILS RW17	CIRCLING**	ENBR	NA			    	     	NA			    	     	00840	-3200M	675	0700	3200M	00860	-3600M	695	0700	3600M	01580	-4800M	1415	1500	4800M	**CAT E CIRCLING NOT AUTHORIZED E OF RWY.	200411
NO80653	3	I17-H  HI ILS RW17	S-ILS 17	ENBR	NA			    	     	NA			    	     	00365	-1400M	200	0200	1400M	00365	-1400M	200	0200	1400M	00365	-1400M	200	0200	1400M		200411
NO80653	3	I17-H  HI ILS RW17	S-LOC 17*	ENBR	NA			    	     	NA			    	     	00660	-1600M	495	0500	1600M	00660	-2000M	495	0500	2000M	00660	-2000M	495	0500	2000M	SEE MAIN REMARKS.	200411
NO80653	3	I35-H  HI ILS RW35	CIRCLING**	ENBR	NA			    	     	NA			    	     	00840	-3200M	675	0700	3200M	00860	-3600M	695	0700	3600M	01600	-4800M	1435	1500	4800M	**CAT E CIRCLING NOT AUTHORIZED E OF RWY.	200411
NO80653	3	I35-H  HI ILS RW35	S-ILS 35	ENBR	NA			    	     	NA			    	     	00354	-1200M	200	0200	1200M	00354	-1200M	200	0200	1200M	00354	-1200M	200	0200	1200M		200501
NO80653	3	I35-H  HI ILS RW35	S-LOC 35*	ENBR	NA			    	     	NA			    	     	00460	-1200M	307	0400	1200M	00460	-1200M	307	0400	1200M	00460	-1200M	307	0400	1200M	*WHEN ALS INOP, INCREASE VIS TO 1600M.	200501
NS34142	3	D11    VORDME RW11	CIRCLING	SMJP	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	NA			    	     		200406
NS34142	3	D11    VORDME RW11	S-11	SMJP	00560	-2400M	504	0600	2400M	00560	-2400M	504	0600	2400M	00560	-2400M	504	0600	2400M	00560	-2400M	504	0600	2400M	NA			    	     		200406
NS34142	3	D29    VORDME RW29	CIRCLING*	SMJP	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	NA			    	     	*Circling Rwy 11 not authorized at night.	200406
NS34142	3	D29    VORDME RW29	S-29	SMJP	00560	-2400M	501	0600	2400M	00560	-2400M	501	0600	2400M	00560	-2400M	501	0600	2400M	00560	-2400M	501	0600	2400M	NA			    	     		200404
NS34142	3	I11    ILS RW 11	CIRCLING	SMJP	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	01060	-5000M	1001	1100	5000M	NA			    	     		200301
NS34142	3	I11    ILS RW 11	S-ILS 11	SMJP	00365	-2000M	309	0400	2000M	00365	-2000M	309	0400	2000M	00365	-2000M	309	0400	2000M	00365	-2000M	309	0400	2000M	NA			    	     		200301
NS34142	3	I11    ILS RW 11	S-LOC 11	SMJP	00500	-2000M	444	0500	2000M	00500	-2000M	444	0500	2000M	00500	-2000M	444	0500	2000M	00500	-2400M	444	0500	2400M	NA			    	     		200301
NT00001	3	D09    VORDME RW09	CIRCLING	TNCM	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NOT AUTHORIZED.	200412
NT00001	3	D09    VORDME RW09	S-09	TNCM	00600	-4500M	586	0600	4500M	00600	-4500M	586	0600	4500M	00600	-4500M	586	0600	4500M	00600	-4500M	586	0600	4500M	NA			    	     		200412
NT00005	3	D11    VORDME RW11	CIRCLING**	TNCC	00780	-3600M	751	0800	3600M	00780	-3600M	751	0800	3600M	00920	-5100M	891	0900	5100M	00920	-5600M	891	0900	5600M	NA			    	     	**Circling not authorized S of Rwy 11-29.	200606
NT00005	3	D11    VORDME RW11	S-11*	TNCC	00680	-1600M	654	0700	1600M	00680	-1600M	654	0700	1600M	00680	-2400M	654	0700	2400M	00680	-2800M	654	0700	2800M	NA			    	     	*WHEN ALS INOP, INCREASE VIS 400M.	200606
NT00005	3	D29    VORDME RW29	CIRCLING*	TNCC	00780	-3600M	750	0800	3600M	00780	-3600M	750	0800	3600M	00920	-5100M	890	0900	5100M	00920	-5600M	890	0900	5600M	NA			    	     	*CIRCLING NOT AUTHORIZED S OF RWY 11-29.	200301
NT00005	3	D29    VORDME RW29	S-29	TNCC	00740	-1600M	710	0800	1600M	00740	-1600M	710	0800	1600M	00740	-3200M	710	0800	3200M	00740	-3600M	710	0800	3600M	NA			    	     		200301
NT00005	3	I11    ILS/DME RW11	CIRCLING***	TNCC	00780	-3600M	751	0800	3600M	00780	-3600M	751	0800	3600M	00920	-5100M	891	0900	5100M	00920	-5600M	891	0900	5600M	NA			    	     	***Circling not authorized S of Rwy 11-29.	200606
NT00005	3	I11    ILS/DME RW11	S-ILS 11*	TNCC	00226	-800M	200	0200	800M 	00226	-800M	200	0200	800M 	00226	-1200M	200	0200	1200M	00226	-1200M	200	0200	1200M	NA			    	     	*When ALS inop, increase vis CAT AB 400m.	200606
NT00005	3	I11    ILS/DME RW11	S-LOC 11**	TNCC	00660	-1200M	634	0700	1200M	00660	-1200M	634	0700	1200M	00660	-2400M	634	0700	2400M	00660	-2800M	634	0700	2800M	NA			    	     	**When ALS inop, increase vis 400m.	200606
NT00005	3	T11    TACAN RW11	CIRCLING**	TNCC	00780	-3600M	750	0800	3600M	00780	-3600M	750	0800	3600M	00920	-5100M	890	0900	5100M	00920	-5600M	890	0900	5600M	NA			    	     	**Circling not authorized S of Rwy 11-29. CAT E not authorized.	200606
NT00005	3	T11    TACAN RW11	S-11*	TNCC	00640	-1200M	614	0700	1200M	00640	-1200M	614	0700	1200M	00640	-2400M	614	0700	2400M	00640	-2800M	614	0700	2800M	00640	-3200M	614	0700	3200M	*WHEN ALS INOP, INCREASE VIS 400M.	200604
NT00005	3	T11-H  HI TACAN RW11	CIRCLING**	TNCC	00780	-3600M	750	0800	3600M	00780	-3600M	750	0800	3600M	00920	-5100M	890	0900	5100M	00920	-5600M	890	0900	5600M	NA			    	     	**CIRCLING NOT AUTHORIZED S OF RWY 11-29. CAT E NOT AUTHORIZED.	200606
NT00005	3	T11-H  HI TACAN RW11	S-11*	TNCC	00640	-1200M	614	0700	1200M	00640	-1200M	614	0700	1200M	00640	-2400M	614	0700	2400M	00640	-2800M	614	0700	2800M	00640	-3200M	614	0700	3200M	*WHEN ALS INOP, INCREASE VIS 400M.	200604
NT00005	3	T29    TACAN RW29	CIRCLING*	TNCC	00780	-3600M	750	0800	3600M	00780	-3600M	750	0800	3600M	00920	-5100M	890	0900	5100M	00920	-5600M	890	0900	5600M	NA			    	     	*CIRCLING NOT AUTHORIZED S OF RWY 11-29.CAT E NOT AUTHORIZED.	200606
NT00005	3	T29    TACAN RW29	S-29	TNCC	00660	-1600M	630	0700	1600M	00660	-1600M	630	0700	1600M	00660	-2800M	630	0700	2800M	00660	-3200M	630	0700	3200M	00660	-3600M	630	0700	3600M		200604
NT00005	3	T29-H  HI TACAN RW29	CIRCLING*	TNCC	00780	-3600M	750	0800	3600M	00780	-3600M	750	0800	3600M	00920	-5100M	890	0900	5100M	00920	-5600M	890	0900	5600M	NA			    	     	*CIRCLING NOT AUTHORIZED S OF RWY 11-29.CAT E NOT AUTHORIZED.	200606
NT00005	3	T29-H  HI TACAN RW29	S-29	TNCC	00660	-1600M	630	0700	1600M	00660	-1600M	630	0700	1600M	00660	-2800M	630	0700	2800M	00660	-3200M	630	0700	3200M	00660	-3600M	630	0700	3600M		200604
NU18141	3	D09-AB VORDME RW09(CATAB)	CIRCLING	MNMG	00900	-1600M	706	0800	1600M	00900	-1600M	706	0800	1600M	NA			    	     	NA			    	     	NA			    	     		200604
NU18141	3	D09-AB VORDME RW09(CATAB)	S-VOR 09	MNMG	00800	-1600M	606	0700	1600M	00800	-1600M	606	0700	1600M	NA			    	     	NA			    	     	NA			    	     		200604
NU18141	3	D09-CD VORDME RW09(CATCD)	CIRCLING	MNMG	NA			    	     	NA			    	     	01240	-4800M	1046	1100	4800M	01440	-4800M	1246	1300	4800M	NA			    	     		200604
NU18141	3	D09-CD VORDME RW09(CATCD)	S-09	MNMG	NA			    	     	NA			    	     	00880	-3200M	686	0700	3200M	00880	-3600M	686	0700	3600M	NA			    	     		200604
NU18141	3	D27-AB VORDME RW27(CATAB)	CIRCLING	MNMG	00900	-1600M	706	0800	1600M	00900	-1600M	706	0800	1600M	NA			    	     	NA			    	     	NA			    	     		200604
NU18141	3	D27-AB VORDME RW27(CATAB)	S-27	MNMG	00780	-1600M	588	0600	1600M	00780	-1600M	588	0600	1600M	NA			    	     	NA			    	     	NA			    	     		200604
NU18141	3	D27-CD VORDME RW27(CAT CD)	CIRCLING	MNMG	NA			    	     	NA			    	     	01240	-4800M	1046	1100	4800M	01440	-4800M	1246	1300	4800M	NA			    	     		200604
NU18141	3	D27-CD VORDME RW27(CAT CD)	S-27	MNMG	NA			    	     	NA			    	     	00780	-2800M	588	0600	2800M	00780	-3200M	588	0600	3200M	NA			    	     		200604
NZ31730	3	I03-HE ILS RW03(HENLEY DME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200604
NZ31730	3	I03-HE ILS RW03(HENLEY DME)	S-ILS 03**	NZDN	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	NA			    	     	**WHEN ALS INOP, INCREASE VIS 400M.	200604
NZ31730	3	I03-HE ILS RW03(HENLEY DME)	S-LOC 03	NZDN	00560	-2000M	556	0600	2000M	00560	-2000M	556	0600	2000M	00560	-2800M	556	0600	2800M	00560	-2800M	556	0600	2800M	NA			    	     		200604
NZ31730	3	I03-HE ILS RW03(HENLEY DME)	S-LOC/DME 03	NZDN	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	NA			    	     		200604
NZ31730	3	I03-SW ILS RW03 (SWAMPY DME)	CIRCLING(NW)***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	*** SEE MAIN REMARKS.	200604
NZ31730	3	I03-SW ILS RW03 (SWAMPY DME)	S-ILS 03**	NZDN	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	NA			    	     	**When ALS inop, increase vis 400m.	200604
NZ31730	3	I03-SW ILS RW03 (SWAMPY DME)	S-LOC NO DME 03	NZDN	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	NA			    	     		200604
NZ31730	3	I03-SW ILS RW03 (SWAMPY DME)	S-LOC W/DME 03	NZDN	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	NA			    	     		200604
NZ31730	3	I21-HE ILS  RW21(HENLEY DME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200604
NZ31730	3	I21-HE ILS  RW21(HENLEY DME)	S-ILS 21**	NZDN	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	NA			    	     	**WHEN ALS INOP, INCREASE VIS 400M.	200604
NZ31730	3	I21-HE ILS  RW21(HENLEY DME)	S-LOC/DME	NZDN	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	NA			    	     		200604
NZ31730	3	I21-SW ILS RW21(SWAMPY DME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	*** SEE MAIN REMARKS.	200604
NZ31730	3	I21-SW ILS RW21(SWAMPY DME)	S-ILS 21**	NZDN	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	00304	-1200M	300	0300	1200M	NA			    	     	*When ALS inop, increase vis 400m.	200604
NZ31730	3	I21-SW ILS RW21(SWAMPY DME)	S-LOC/DME 21	NZDN	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	NA			    	     		200604
NZ31730	3	L03-DH LLZ/DME RW03 (HLDME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200604
NZ31730	3	L03-DH LLZ/DME RW03 (HLDME)	S-LOC 03	NZDN	00560	-2000M	556	0600	2000M	00560	-2000M	556	0600	2000M	00560	-2800M	556	0600	2800M	00560	-2800M	556	0600	2800M	NA			    	     		200604
NZ31730	3	L03-DH LLZ/DME RW03 (HLDME)	S-LOC/DME 03	NZDN	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	NA			    	     		200604
NZ31730	3	L03-DS LLZ/DME RW03 (SWDME)	CIRCLING(NW)***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	*** SEE MAIN REMARKS.	200604
NZ31730	3	L03-DS LLZ/DME RW03 (SWDME)	S-LOC NO DME 03	NZDN	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	NA			    	     		200604
NZ31730	3	L03-DS LLZ/DME RW03 (SWDME)	S-LOC W/DME 03	NZDN	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	NA			    	     		200604
NZ31730	3	L03-HE LLZ RW03(HENLEY DME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200604
NZ31730	3	L03-HE LLZ RW03(HENLEY DME)	S-LOC 03	NZDN	00560	-2000M	556	0600	2000M	00560	-2000M	556	0600	2000M	00560	-2800M	556	0600	2800M	00560	-2800M	556	0600	2800M	NA			    	     		200604
NZ31730	3	L03-HE LLZ RW03(HENLEY DME)	S-LOC/DME 03	NZDN	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	NA			    	     		200604
NZ31730	3	L03-SW LLZ RW03 (SWAMPY DME)	CIRCLING(NW)***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	*** SEE MAIN REMARKS.	200604
NZ31730	3	L03-SW LLZ RW03 (SWAMPY DME)	S-LOC NO DME 03	NZDN	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	00560	-2000M	356	0600	2000M	NA			    	     		200604
NZ31730	3	L03-SW LLZ RW03 (SWAMPY DME)	S-LOC W/DME 03	NZDN	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	00360	-2000M	356	0400	2000M	NA			    	     		200604
NZ31730	3	L21-DH LLZ/DME RW21(HLDME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200604
NZ31730	3	L21-DH LLZ/DME RW21(HLDME)	S-LOC/DME	NZDN	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	NA			    	     		200604
NZ31730	3	L21-DS LLZ/DME RW21 (SWDME)	CIRCLING***	NZDN	00740	-2000M	736	0800	2000M	00740	-2800M	736	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	*** SEE MAIN REMARKS.	200604
NZ31730	3	L21-DS LLZ/DME RW21 (SWDME)	S-LOC/DME 21	NZDN	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	00420	-2000M	416	0500	2000M	NA			    	     		200604
NZ31730	3	N03    TWIN NDB RW03	CIRCLING***	NZDN	01660	/24	1656	1700	0.5  	01660	/2800	1656	1700	.7   	01660	/50	1656	1700	1    	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200502
NZ31730	3	N03    TWIN NDB RW03	S-TWIN NDB **	NZDN	01660	-2000M	1656	1700	2000M	01660	-2800M	1656	1700	2800M	01660	-4400M	1656	1700	4400M	01660	-4400M	1656	1700	4400M	NA			    	     	**WHEN ALS INOP, INCREASE VIS CAT CD 400M	200401
NZ31730	3	Q03    TWIN NDB/DME RW03	CIRCLING NDB***	NZDN	01660	-2400M	1656	1700	2400M	01660	-2800M	1656	1700	2800M	01660	-5000M	1656	1700	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200406
NZ31730	3	Q03    TWIN NDB/DME RW03	CIRCLING NDB/DME	NZDN	00780	-2400M	776	0800	2400M	00780	-2800M	776	0800	2800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200406
NZ31730	3	Q03    TWIN NDB/DME RW03	S-TWIN NDB **	NZDN	01660	-2000M	1656	1700	2000M	01660	-2800M	1656	1700	2800M	01660	-4400M	1656	1700	4400M	01660	-4400M	1656	1700	4400M	NA			    	     	**WHEN ALS INOP, INCREASE VIS CAT CD 400M	200401
NZ31730	3	Q03    TWIN NDB/DME RW03	S-TWIN NDB/DME *	NZDN	00780	-2000M	776	0800	2000M	00780	-2800M	776	0800	2800M	00780	-3600M	776	0800	3600M	00780	-3600M	776	0800	3600M	NA			    	     	*WHEN ALS INOP, INCREASE VIS CAT AD 400M	200401
NZ31730	3	Q21    TWIN NDBDME RW21	CIRCLING (NW)*	NZDN	01140	-4800M	1136	1200	4800M	01140	-4800M	1136	1200	4800M	01220	-5000M	1216	1300	5000M	NA			    	     	NA			    	     	SEE MAIN REMARKS.	200605
NZ31730	3	Q21    TWIN NDBDME RW21	S-21	NZDN	01140	-4800M	1136	1200	4800M	01140	-4800M	1136	1200	4800M	01140	-4800M	1136	1200	4800M	01140	-4800M	1136	1200	4800M	NA			    	     		200406
NZ46570	3	D34    VORDME RW34	CIRCLING***	NZWN	01000	-5000M	959	1000	5000M	01000	-5000M	959	1000	5000M	01500	-5000M	1459	1500	5000M	NA			    	     	NA			    	     	***CIR NOT AUTHORIZED W OF RWY 16/34; ALSO REMAIN W OF HARBOR EASTERN SHORELINE.	200005
NZ46570	3	D34    VORDME RW34	S-VOR/DME 34**	NZWN	00560	-3000M	528	0600	3000M	00560	-3000M	528	0600	3000M	00560	-3000M	528	0600	3000M	00560	-3000M	528	0600	3000M	NA			    	     	**NIGHT MINIMUMS VIS 5000M.	200005
NZ46570	3	EVOR-1 VOR/NDB	CIRCLING NDB*	NZWN	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	01500	-5000M	1459	1500	5000M	NA			    	     	NA			    	     	*CIRCLING NOT AUTHORIZED W OF RWY 16-34.REMAIN W OF HARBOR EASTERN SHORELINE.	200405
NZ46570	3	EVOR-1 VOR/NDB	CIRCLING VOR*	NZWN	01180	-5000M	1139	1200	5000M	01180	-5000M	1139	1200	5000M	01500	-5000M	1459	1500	5000M	NA			    	     	NA			    	     	*CIRCLING NOT AUTHORIZED W OF RWY 16-34.REMAIN W OF HARBOR EASTERN SHORELINE.	200405
NZ46570	3	EVOR-2 VOR/NDB/DME	CIRCLING NDB/DME	NZWN	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	NA			    	     	*CIRCLING RWY 34 NOT AUTHORIZED.	200405
NZ46570	3	EVOR-2 VOR/NDB/DME	CIRCLINGVOR/DME*	NZWN	01180	-5000M	1139	1200	5000M	01180	-5000M	1139	1200	5000M	01180	-5000M	1139	1200	5000M	01180	-5000M	1139	1200	5000M	NA			    	     	*CIRCLING  RWY 34 NOT AUTHORIZED.	200405
NZ46570	3	EVOR-2 VOR/NDB/DME	TWIN NDB/DME*	NZWN	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	01200	-5000M	1159	1200	5000M	NA			    	     	*CIRCLING RWY 34 NOT AUTHORIZED.	200405
