ARPT_IDENT	PROC	TRM_IDENT	ICAO	ES_ALT	JULIAN_DATE	AMDT_NO	OPR	HOST_CTRY_AUTH	CYCLE_DATE
JA02204	2	ASIBE1	RJEC		2005020		USAF	JCAB	200501
JA02204	2	KAGRA2	RJEC		2005020		USAF	JCAB	200501
JA02204	3	L34    VORDME/LLZ RW34	RJEC		2006271	1	USAF	JCAB	200610
JA03576	2	KZM2-1 KAZUMI 2 RW10	RJSM		2004330		USAF	JCAB	200412
JA03576	2	KZM2-2 KAZUMI 2 RW28	RJSM		2004330		USAF	JCAB	200412
JA03576	2	MIS21  MISAWA2(VORDME) RW10	RJSM		2005244		USAF		200509
JA03576	2	MIS22  MISAWA2(VORDME) RW28	RJSM		2005244		USAF		200509
JA03576	3	D10-H  HI VOR/DME RW10	RJSM	07700	2005356	1	USAF	JCAB	200513
JA03576	3	D28    VOR/DME RW28	RJSM	07700	2005356	1	USAF	JCAB	200513
JA03576	3	D28-H  HI VOR/DME RW28	RJSM	07700	2005356		USAF	JCAB	200513
JA03576	3	D28-Y  VOR/DME Y RW28	RJSM	07700	2005244		USAF		200513
JA03576	3	I10-H  HI ILS RW10	RJSM	07700	2005244		USAF	JCAB	200509
JA03576	3	I28-H  HI ILS RW28	RJSM	07700	2006159	1	USAF	JCAB	200606
JA03576	3	I28-Y  ILS Y RW28	RJSM	07700	2006215		USAF		200608
JA03576	3	I28-Z  ILS Z RW28	RJSM	07700	2006159	1	USAF	JCAB	200606
JA03576	3	L28-Y  LOC/DME Y RW28	RJSM	07700	2006215		USAF		200608
JA03576	3	T10    TACAN  RW10	RJSM	07700	2006271	2	USAF	JCAB	200610
JA03576	3	T10-H  HI TACAN RW10	RJSM	07700	2005356	1	USAF	JCAB	200513
JA03576	3	T28    TACAN RW28	RJSM	07700	2005356	1	USAF	JCAB	200513
JA03576	3	T28-H  HI TACAN RW28	RJSM	07700	2005356		USAF	JCAB	200513
JA09715	3	I26L-1 TACAN 1/ILS RW26L	RJFY	08400	2006271		USN	JMDF	200610
JA09715	3	I26L-3 TACAN 3/ILS RW26L	RJFY	08400	2006271		USN	JMDF	200610
JA09715	3	I26L-4 ADF/ILS RW26L	RJFY	08400	2006271		USN	JMDF	200610
JA09715	3	T08R   TACAN RW08R	RJFY	08400	2006271		USN	JMSD	200610
JA09715	3	T26L-1 TACAN1 RW26L	RJFY	08400	2006271		USN	JMSD	200610
JA09715	3	T26L-2 TACAN2 RW26L	RJFY	08400	2006271		USN	JMSD	200610
JA11578	2	EAST1	RJKA		2005020		USN	JCAB	200501
JA11578	2	NORTH2	RJKA		2000335		USN	JCAB	200211
JA11578	2	ORCHI1 ORCHIRD1	RJKA		2000335		USN	JCAB	200211
JA11578	2	POMAS2	RJKA		2000335		USN	JCAB	200211
JA11578	2	RVRSL2 REVERSAL2	RJKA		2005020		USN	JCAB	200501
JA11578	2	SOUTH1	RJKA		2005020		USN	JCAB	200501
JA11578	2	SOUTH3 SOUTHWEST3	RJKA		2005020		USN	JCAB	200501
JA11578	3	I03-A  ADF/ILS RW03	RJKA	04300	2003135		USN	JCAB	200604
JA11578	3	I03-V  VOR/ILS RW03	RJKA	04300	2005020		USN	JCAB	200604
JA13602	2	CHITE2 CHITOSE2	RJSA		2005020		USAF	JCAB	200507
JA13602	2	IWAKI4	RJSA		2005188	3	USAF	JCAB	200507
JA13602	3	I24    VOR/ILS RW24	RJSA		2006271	4	USAF		200610
JA23221	2	MASHU3 MASHU 3	RJCN		2003079	1	USAF	JCAB	200303
JA23221	2	REVER3 REVERSAL 3	RJCN		2003079	1	USAF	JCAB	200303
JA23221	3	I08    VOR/ILS RW08	RJCN		2005076	2	USAF	JCAB	200503
JA24322	2	BINGO3	RJOA		2004330		USAF	JCAB	200412
JA24322	2	KUGA2  KUGA 2	RJOA		2004330		USAF	JCAB	200412
JA24322	3	D28    VOR/DME 1 RW28	RJOA		2004218	1	USAF	JCAB	200408
JA30629	2	SASH2  SASHIMA 2	RJTL		2004162	1	USAF	JMSD	200406
JA30629	2	TSUGA2	RJTL		2004162	1	USAF	JMSD	200406
JA30629	3	T19-1  TACAN NR 1 RW19	RJTL	14400	2005020	2	USAF	JMSD	200501
JA30629	3	T19-2  TACAN NR 2 RW19	RJTL	14400	2005020	1	USAF	JMSD	200604
JA34283	2	BIZEN2	RJOT		2004162	4	USAF	JCAB	200406
JA34283	2	OHIRA4	RJOT		2004162	3	USAF	JCAB	200406
JA34283	3	I26    VOR/ILS RW26	RJOT		2006271	4	USAF	JCAB	200610
JA35528	2	EAST1	RJAH	14400	2004218		USN	JASD	200408
JA35528	2	HOK1   HOKOTA1	RJAH	14400	2004218		USN	JASD	200408
JA35528	2	NORT1  NORTH1	RJAH	14400	2004218		USN	JASD	200408
JA35528	2	REV1   REVERSAL1	RJAH	14400	2000167		USN	JASD	200211
JA35528	3	I03    ILS RW03	RJAH	14400	2004218		USN	JASD	200604
JA35528	3	I03-2  TACAN 2/ILS RW03	RJAH	14400	2004218		USN	JASD	200604
JA35528	3	I03-4  TACAN 4/ILS RW03	RJAH	14400	2004218		USN	JASD	200604
JA35528	3	T03-2  TACAN 2 RW03	RJAH	14400	2004218		USN	JASD	200604
JA35528	3	T03-4  TACAN 4 RW03	RJAH	14400	2004218		USN	JASD	200604
JA35528	3	T21    TACAN 5 RW21	RJAH	14400	2004218		USN	JASD	200604
JA35528	3	TTAC1  TACAN 1	RJAH	14400	2004218		USN	JASD	200408
JA35528	3	TTAC3  TACAN 3	RJAH	14400	2004218		USN	JASD	200408
JA36534	2	IBUKI1	RJNA		2005188	4	USAF	JCAB	200507
JA36534	2	MORIZ1	RJNA		2006271	3	USAF	JCAB	200610
JA36534	3	D34-1  VORDME 1 RW34	RJNA		2006271	1	USAF	JCAB	200610
JA36534	3	D34-2  VORDME 2 RW34	RJNA		2006271	4	USAF	JCAB	200610
JA38854	2	INABA1	RJOC		2005020		USN	JCAB	200501
JA38854	2	IZUMO1 IZUMO REVERSAL 1	RJOC		2005020		USN	JCAB	200501
JA38854	2	IZUMO3 IZUMO EAST 3	RJOC		2005020		USN	JCAB	200501
JA38854	2	NIMI1	RJOC		2005020		USN	JCAB	200501
JA38854	2	OKI2	RJOC		2005020		USN	JCAB	200501
JA38854	2	TOTTO4 TOTTORI4	RJOC		2005020		USN	JCAB	200501
JA39496	3	T25-1  TACAN 1 RW25	RJFZ	08500	2004162		USN	JASD	200604
JA39496	3	T25-2  TACAN 2 RW25	RJFZ	08500	2004162		USN	JASD	200604
JA39496	3	T25-3  TACAN 3 RW25	RJFZ	08500	2004162		USN	JASD	200604
JA39496	3	T25-4  TACAN 4 RW25	RJFZ	08500	2004162		USN	JASD	200604
JA44556	2	ECHIG5 ECHIGO REVERSAL 5	RJSN		2004330	2	USAF	JCAB	200412
JA44556	2	KADBO4	RJSN		2004330	1	USAF	JCAB	200604
JA44556	3	I28    VOR/ILS RW28	RJSN	12000	2006271		USAF	JCAB	200610
JA45214	2	BEPPU4	RJOI		2005076		USN		200503
JA45214	2	HAMAD9 HAMADA 9	RJOI		2005076		USN		200503
JA45214	2	KUMA9  KUMA 9 HI/LO	RJOI		2004162		USN		200411
JA45214	3	T02    TACAN RW02	RJOI	08500	2006271		USN		200610
JA45214	3	T02-HY HI TACAN Y RW02	RJOI	08500	2006271		USN		200610
JA45214	3	T02-HZ HI TACAN Z RW02	RJOI	08500	2006271		USN		200610
JA45720	3	T07    TACAN RW07	RJAW	04200	2003191		USN	JMSD	200307
JA45720	3	T07-H1 HI TACAN 1 RW07	RJAW	04200	2003191		USN	JMSD	200604
JA45720	3	T07-H2 HI TACAN 2 RW07	RJAW	04200	2003191		USN	JMSD	200604
JA45720	3	T25    TACAN RW25	RJAW	04200	2003191		USN	JMSD	200307
JA45720	3	T25-H1 HI TACAN 1 RW25	RJAW	04200	2003191		USN	JMSD	200604
JA45720	3	T25-H2 HI TACAN 2 RW25	RJAW	04200	2003191		USN	JMSD	200604
JA49357	2	TOHKU3 TOHOKU3	RJSI		2003247	3	USAF	JCAB	200309
JA49357	3	D02    VOR/DME RW02	RJSI		2005132	3	USAF	JCAB	200505
JA49357	3	I20    VOR/DME/ILS RW20	RJSI		2005188		USAF	JCAB	200507
JA51987	2	EDA1	RJTA		2005244		USN	JMSD	200509
JA51987	2	HATSU1	RJTA		2005244		USN	JMSD	200509
JA51987	2	YOKOS1 YOKOSUKA1	RJTA		2005244		USN	JMSD	200509
JA51987	2	YOKOT1 YOKOTA 1	RJTA		2005244		USN	JMSD	200509
JA51987	3	I01    TACAN/ILS RW01	RJTA	15000	2005244		USN	JMSD	200509
JA51987	3	T01    TACAN RW01	RJTA	15000	2005244		USN	JMSD	200604
JA51987	3	T01-H  HI TACAN RW01	RJTA	15000	2006271		USN	JCAB	200610
JA52645	2	ARITA1	RJOS		2002052		USAF	JCAB	200202
JA52645	2	TOSAR2	RJOS		2004162	1	USAF	JCAB	200406
JA52645	3	I29-T  TACAN/ILS NR 1 RW29	RJOS	08500	2005076	2	USAF	JCAB	200604
JA52645	3	I29-V  VOR/ILS RW29	RJOS		2005076	2	USAF	JCAB	200604
JA53413	2	NIPPO4	RJFN		2005020	2	USAF	JASD	200501
JA53413	2	TENSO1	RJFN		2006047	1	USAF	JASD	200602
JA53413	3	I28    TACAN 1 ILS RW28	RJFN	07900	2006271	1	USAF	JASD	200610
JA53413	3	T28-1  TACAN 1 RW28	RJFN	07900	2006271	2	USAF	JASD	200610
JA53413	3	T28-2  TACAN 2 RW28	RJFN	07900	2006271	1	USAF	JASD	200610
JA55175	2	HAPPO1	RJAF	14400	2005020		USAF	JCAB	200501
JA55175	2	HOTAK2 HOTAKA REVERSAL2 PROP	RJAF	14400	2006103		USAF	JCAB	200604
JA55175	2	MBE2   MATSUMOTO REVERSAL2	RJAF	14400	2006271		USAF	JCAB	200610
JA55175	3	D18-J  VOR/DME RW18(JET)	RJAF	14400	2006271	1	USAF	JCAB	200610
JA55175	3	D18-P  VOR/DME RW18(PROP)	RJAF	14400	2006271	1	USAF	JCAB	200610
JA55175	3	EVORA  VORDME-A	RJAF	14400	2006271	1	USAF	JCAB	200610
JA56501	2	HOKU3  HOKUTO3	RJCC		2002052		USAF	JCAB	200202
JA56501	2	TEKKO7	RJCC		2002052		USAF	JCAB	200202
JA56501	3	I01L   ILS NR 2 RW01L	RJCC		2006271	1	USAF	JCAB	200610
JA56501	3	I19R   ILS NR 5 RW19R	RJCC		2006271	1	USAF	JCAB	200610
JA56501	3	S01L   VOR RW01L	RJCC		2004162	1	USAF	JCAB	200406
JA56501	3	W01L   ADF RW01L	RJCC		2004162	1	USAF	JCAB	200406
JA56829	2	HAKO2  HAKODATE2	RJCJ		2002052		USAF	JASD	200301
JA56829	2	TOBY5	RJCJ		2002052		USAF	JASD	200202
JA56829	3	I36R   ILS RW36R	RJCJ	09600	2005076	3	USAF	JASD	200503
JA56829	3	T18L-2 TACAN NR 2 RW18L	RJCJ	09600	2005076	2	USAF	JASD	200503
JA56829	3	T18L-3 TACAN NR 3 RW18L	RJCJ	09600	2006271	1	USAF	JASD	200610
JA56829	3	T18L-4 TACAN NR 4 RW18L	RJCJ	09600	2006271	2	USAF	JASD	200610
JA56829	3	T36R-1 TACAN NR 1 RW36R	RJCJ	09600	2006271	2	USAF	JASD	200610
JA56829	3	T36R-5 TACAN NR 5 RW36R	RJCJ	09600	2005020	3	USAF	JASD	200501
JA59900	2	NORTH3	RJST		2002220	1	USAF		200208
JA59900	2	RIASU2	RJST		2002220	1	USAF	JASD	200208
JA59900	3	T25-1  TACAN1	RJST	09500	2005020	2	USAF	JASD	200604
JA59900	3	T25-2  TACAN2	RJST	09500	2005020	1	USAF	JASD	200604
JA60310	2	YTE3   YAMAGATA 3	RJSC		2004162	1	USAF	JGSD	200406
JA60310	3	I01    VOR/ILS RW01	RJSC	09300	2006271	2	USAF	JGSD	200610
JA60548	2	SATAH2	RJFO		2004162	1	USAF	JCAB	200406
JA60548	2	YANAI2	RJFO		2004162	1	USAF	JCAB	200406
JA60548	3	D01    VORDME RW01	RJFO		2004162	1	USAF	JCAB	200406
JA60548	3	I01    ILS NR 2 RW01	RJFO		2006271	1	USAF	JCAB	200610
JA61456	2	ASUKA1 ASUKA 1	RJOO		2006159		USAF	JCAB	200606
JA61456	3	I32L   ILS RW32L	RJOO		2004274	1	USAF	JCAB	200410
JA61790	2	SAPPO2 SAPPORO2	RJCO		2003079		USAF	JGSD	200303
JA61790	3	D14    VORDME RW14	RJCO	09600	2004162	1	USAF	JGSD	200406
JA61790	3	D32    VORDME RW32	RJCO	09600	2004162		USAF	JGSD	200406
JA64522	2	ALI1A  ALICE1A	RJCB		2005020		USA	JCAB	200501
JA64522	2	ALICE1	RJCB		2005020		USA	JCAB	200501
JA64522	2	KUS1A  KUSHIRO1A	RJCB		2005020		USA	JCAB	200501
JA64522	2	KUS2   KUSHIRO2	RJCB		2005020		USA	JCAB	200501
JA64522	2	MEM1A  MEMANBETSU1A	RJCB		2005020		USA	JACB	200501
JA64522	2	MEM2   MEMANBETSU2	RJCB		2005020		USA	JCAB	200501
JA64522	2	NOT2   NOTAK2	RJCB		2005020		USA	JCAB	200501
JA64522	2	NOT2A  NOTAK2A	RJCB		2005020		USA	JCAB	200501
JA64522	2	OBI5   OBIHIRO REV5	RJCB		2005020		USA	JCAB	200501
JA64522	2	OBI5A  OBIHIRO REV5A	RJCB		2005020		USA	JCAB	200501
JA64522	3	D17    VORDME RW17	RJCB	09600	2006271	3	USA	JCAB	200610
JA64522	3	D35    VORDME RW35	RJCB	09600	2006271	2	USA	JCAB	200610
JA64522	3	I35-A  ADF/ILS RW35	RJCB	09600	2006271	2	USA	JCAB	200610
JA64522	3	I35-V1 VORDME ILS NR 1 RW35	RJCB	09600	2006271	2	USA	JCAB	200610
JA64522	3	I35-V2 VORDME ILS NR 2 RW35	RJCB	09600	2006271	2	USA	JCAB	200610
JA64522	3	W35    ADF RW35	RJCB	09600	2006271		USA	JCAB	200610
JA65281	2	OMONO2	RJSK		2005020	1	USAF	JCAB	200501
JA65281	3	D10    VORDME NR.1 RW10	RJSK		2005020	4	USAF	JCAB	200501
JA65281	3	I28    VOR/ILS RW28	RJSK		2005020	5	USAF	JCAB	200501
JA66913	2	MONB5A MONBETSU5(MVE)	RJCW		2005020	1	USAF	JCAB	200501
JA66913	2	MONB5B MONBETSU5(TBE)	RJCW		2005020	1	USAF	JCAB	200501
JA66913	2	RUMOI4	RJCW		2005020	1	USAF	JCAB	200501
JA66913	3	D08    VORDME RW08	RJCW	07700	2005076	5	USAF	JCAB	200503
JA66913	3	I08    ILS RW08	RJCW	07700	2005076	2	USAF	JCAB	200503
JA72494	2	KOWA1	RJNH		2005076	1	USAF	JASD	200503
JA72494	2	OSHIM1 OSHIMA 1	RJNH		2005356		USAF	JASD	200513
JA72494	3	D09    VORDME RW09	RJNH	14400	2006159		USAF	JASD	200606
JA72494	3	D27    VORDME RW27	RJNH	14400	2005020		USAF	JASD	200501
JA72494	3	T09    TACAN NR 1 RW09	RJNH	14400	2002162	1	USAF	JASD	200406
JA72494	3	T27    TACAN NR 2 RW27	RJNH	14400	2005020		USAF	JASD	200501
JA73388	2	NOR51  NORTH5(NDB)	RJFU		2004274		USN	JCAB	200410
JA73388	2	NOR53  NORTH5(VORDME)	RJFU		2004218		USN	JCAB	200408
JA73388	2	REVER1 REVERSAL1	RJFU		2002164		USN	JCAB	200206
JA73388	2	SOUTH4 SOUTH-FOUR	RJFU		2004274		USN	JCAB	200410
JA73388	2	WEST3	RJFU		2004218		USN	JCAB	200408
JA73388	3	D14    VORDME RW14	RJFU	07900	2006271		USN	JCAB	200610
JA73388	3	EVORB  VORDME-B	RJFU	07900	2006271		USN	JCAB	200610
JA73388	3	I32    VORDME/ILS RW32	RJFU	07900	2006271		USN	JCAB	200610
JA73388	3	TTACA  TACANA	RJFU	07900	2006271		USN	JCAB	200610
JA75525	1	ASAHIN ASAHI NORTH	RJTT		2004274		USN	JCAB	200410
JA75525	1	ASAHIS ASAHI SOUTH	RJTT		2004274		USN	JCAB	200410
JA75525	1	DREAMN DREAM NORTH	RJTT		2004274		USN	JCAB	200410
JA75525	1	DREAMS DREAM SOUTH	RJTT		2004274		USN	JCAB	200410
JA75525	1	JONANN JONAN NORTH	RJTT		2004274		USN		200410
JA75525	1	JONANS JONAN SOUTH	RJTT		2004274		USN	JCAB	200410
JA75525	2	HAYAM2 HAYAMA2	RJTT	14400	2003023		USN	JCAB	200301
JA75525	2	HUMBD1 HUMMINGBIRD1 JET ONLY	RJTT	14400	2003023		USN	JCAB	200301
JA75525	2	ISOG5  ISOGO5 (PROP ONLY)	RJTT	14400	2003023	1	USN	JCAB	200301
JA75525	2	MARSH7	RJTT	14400	2003023		USN	JCAB	200301
JA75525	2	MORIY7 MORIYA7	RJTT	14400	2003023		USN	JCAB	200301
JA75525	2	URAGA5	RJTT	14400	2003023	1	USN	JCAB	200301
JA75525	2	ZAMA6	RJTT	14400	2003023		USN	JCAB	200301
JA75525	2	ZUSHI8 ZUSHI8 (PROP ONLY)	RJTT	14400	2003023		USN	JCAB	200301
JA75525	3	I22    ILS RW22	RJTT	14400	2004050		USN	JCAB	200402
JA75525	3	I34L-1 ILS NR1 RW34L	RJTT	14400	2006047		USN	JCAB	200602
JA75525	3	I34L-3 ILS NR3 RW34L	RJTT	14400	2004050		USN	JCAB	200405
JA75525	3	I34R-2 ILS NR2 RW34R	RJTT	14400	2005020		USN	JCAB	200501
JA75525	3	I34R-4 ILS NR4 RW34R	RJTT	14400	2005020		USN	JCAB	200501
JA76116	2	RYOMA5 RYOMA-FIVE	RJOK		2004162	1	USAF	JCAB	200406
JA76116	2	SUC3   SHIMIZU 3	RJOK		2004162	1	USAF	JCAB	200406
JA76116	3	I32    VOR/DME/ILS RW32	RJOK	08500	2006271	2	USAF	JCAB	200610
JA76362	2	JACKY4	RJFM		2005356	3	USAF	JCAB	200513
JA76362	3	I27    VOR/DME/ILS RW27	RJFM		2006271	1	USAF	JCAB	200610
JA79004	2	DAIGO2	RJSF		2002164	1	USAF	JCAB	200407
JA79004	2	YTE2   YAMAGATA 2	RJSF		2002052		USAF	JCAB	200202
JA79004	3	D19    VORDME RW19	RJSF		2004330	2	USAF	JCAB	200412
JA79593	2	KUS1   KUSHIRO REVERSAL 1	RJCK		2005020	1	USAF	JCAB	200501
JA79593	3	I17    VORDME/ILS RW17	RJCK	08700	2005020	2	USAF	JCAB	200501
JA81643	3	D06    VORDME 1 RW06	ROTM	03600	2003135		USN		200305
JA81643	3	T040   COPTER TACAN 040	ROTM	03600	2003135		USN		200305
JA81643	3	T06-1  TACAN 1 RW06	ROTM	03600	2003135		USN		200305
JA81643	3	T06-2  TACAN 2 RW06	ROTM	03600	2003135		USN		200604
JA81643	3	T24    TACAN RW24	ROTM	03600	2003135		USN		200305
JA81643	3	T240   COPTER TACAN 240	ROTM	03600	2003135		USN		200305
JA83639	3	T16    TACAN RW16	RJFF	07900	2006271		USN	JCAB	200610
JA83639	3	W16    ADF RW16	RJFF	07900	2006271		USN	JCAB	200610
JA90678	2	ANNIE1	RORS		2005020		USAF	JCAB	200501
JA90678	2	BETTY1	RORS		2005020		USAF	JCAB	200501
JA90678	2	TORII2	RORS		2005020		USAF	JCAB	200501
JA93713	2	DAIGO4 DAIGO-FOUR	RJSS		2004162	1	USAF	JCAB	200406
JA93713	3	I27    VOR/DME/ILS RW27	RJSS	09500	2006159	2	USAF	JCAB	200606
JA94557	3	T17    TACAN RW17	RJTJ	14400	2004162	2	USAF	JMSD	200406
JA94557	3	T35    TACAN RW35	RJTJ	14400	2005244	3	USAF	JMSD	200509
JA94953	2	MIKE31 MIKE 3	RODN	02700	2005356		USAF		200513
JA94953	2	MIKE32 MIKE 3	RODN	02700	2005356		USAF		200513
JA94953	2	OVER3  OVERWATER3	RODN	02700	2005356		USAF		200513
JA94953	3	D05L   VOR/DME RW05L	RODN	02700	2006271	1	USAF		200610
JA94953	3	D05R   VOR/DME RW05R	RODN	02700	2006271	1	USAF		200610
JA94953	3	D23L   VOR/DME RW23L	RODN	02700	2006271	1	USAF		200610
JA94953	3	D23R   VOR/DME RW23R	RODN	02700	2006271	1	USAF		200610
JA94953	3	I05L   ILS RW05L	RODN	02700	2006271		USAF		200610
JA94953	3	I23R   ILS RW23R	RODN	02700	2005244		USAF		200509
JA94953	3	T05L   TACAN RW05L	RODN	02700	2006271	1	USAF		200610
JA94953	3	T05R   TACAN RW05R	RODN	02700	2006271	1	USAF		200610
JA94953	3	T23L   TACAN RW23L	RODN	02700	2006271	1	USAF		200610
JA94953	3	T23R   TACAN RW23R	RODN	02700	2006271		USAF		200610
JA95510	2	ISAMI2	RJFK		2005020		USAF	JCAB	200501
JA95510	2	OSUMI3	RJFK		2005356	1	USAF	JCAB	200513
JA95510	3	I34    VOR/ILS RW34	RJFK		2005076	3	USAF	JCAB	200503
JA95646	2	AGUNI2	ROAH		2002052		USAF	JCAB	200204
JA95646	2	SW4    SOUTHWEST 4	ROAH		2002052		USAF	JCAB	200202
JA95646	3	D18    VORTAC RW18	ROAH		2005300	2	USAF	JCAB	200511
JA95646	3	D36    VORTAC RW36	ROAH		2005244	2	USAF	JCAB	200509
JA95646	3	I36    VORTAC/ILS RW36	ROAH		2005300	2	USAF	JCAB	200511
JA95646	3	T18-H  HI TACAN RW18	ROAH		2005300	1	USAF	JCAB	200511
JA95646	3	T36-H  HI TACAN RW36	ROAH		2005300	1	USAF	JCAB	200511
JA95906	2	EAST3	RJOH		2004162	1	USAF	JCAB	200406
JA95906	3	I25    VORDME/ILS NR 2 RW25	RJOH		2006271		USAF	JCAB	200610
JA95954	3	G18    RNAV (GPS) RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	G36    RNAV (GPS) RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	I18    ILS RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	I18-H  HI ILS RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	I36-H  HI ILS RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	I36-Y  ILS Y RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	I36-Z  ILS Z RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	L18    LOC/DME RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	L18-H  HI LOC/DME RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	L36-H  HI LOC/DME RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	L36-Y  LOC/DME Y RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	L36-Z  LOC/DME Z RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	Q36    NDB/DME RW36	RJTY	15000	2006271		USAF		200610
JA95954	3	T18    TACAN RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	T18-H  HI TACAN RW18	RJTY	15000	2006271	1	USAF		200610
JA95954	3	T36    TACAN RW36	RJTY	15000	2006271	1	USAF		200610
JA95954	3	T36-H  HI TACAN RW36	RJTY	15000	2006271	1	USAF		200610
JA97518	3	I25-A  ADF/ILS RW25	RJSH	08700	2005076		USN	JMSD	200604
JA97518	3	I25-T  TACAN/ILS RW25	RJSH	08700	2005076		USN	JMSD	200604
JA97518	3	T25    TACAN RW25	RJSH	08700	2005076		USN	JMSD	200503
JA97827	2	KOLTY2	RJBH		2002052		USAF	JCAB	200301
JA97827	2	ONDOC1	RJBH		2004162	1	USAF	JCAB	200406
JA97827	3	L04    VOR/LLZ RW04	RJBH		2006271	1	USAF	JCAB	200610
JA98319	2	AMKA1  AMAKUSA1	RJFT		2005300		USA	JCAB	200511
JA98319	2	HIG2   HINAG2	RJFT		2005300	1	USA	JCAB	200511
JA98319	2	HIG2A  HINAG2A	RJFT		2005300		USA	JCAB	200511
JA98319	2	KUMAT4 KUMAMOTO REVERSAL4	RJFT		2005300	1	USA	JCAB	200511
JA98319	2	RINDO2 RINDO2	RJFT		2005300	1	USA	JCAB	200511
JA98319	3	D07    VORDME RW07	RJFT		2006271	1	USA	JCAB	200610
JA98319	3	EVORA  VORDME-A	RJFT		2006271	1	USA	JCAB	200610
JA98319	3	I07    ILS RW07	RJFT		2006271	1	USA	JCAB	200610
JA99577	2	MIHO3	RJNK		2004162	1	USAF	JASD	200410
JA99577	2	NIGTA2 NIIGATA2	RJNK		2004162	1	USAF	JASD	200406
JA99577	3	I06    VOR/ILS RW06	RJNK	14400	2005244	3	USAF	JASD	200509
JA99577	3	TTAC3  TACAN 3	RJNK	12500	2005020	2	USAF	JASD	200501
JA99577	3	TTAC4  TACAN 4	RJNK	12500	2004274	1	USAF	JASD	200410
JA99889	2	MAIKO3	RJBB	08500	2006047	1	USAF	JCAB	200602
JA99889	2	TOMO3	RJBB	08500	2006047	1	USAF	JCAB	200602
JA99889	3	D06    VORDME RW06	RJBB	08500	2006271	1	USAF	JCAB	200610
JA99889	3	D24    VORDME RW24	RJBB	08500	2006271	1	USAF	JCAB	200610
JA99889	3	I06    ILS RW06	RJBB	08500	2006271	1	USAF	JCAB	200610
JA99889	3	I24    ILS RW24	RJBB	08500	2006271	2	USAF	JCAB	200610
JA99891	3	T09    TACAN 1	RJTE	14400	2004274		USN	JMSD	200410
JM11887	3	D12    VORDME RW12	MKJP		2006159	4	USAF	DCA	200606
JM63499	3	D07    VORDME RW07	MKJS		2006159	4	USAF	JCAA	200606
JO51920	2	AMRAH4	OJAM		2003247		USN	JO	200309
JO51920	2	AMRAH5	OJAM		2003247		USN	JO	200309
JO51920	2	MOUAB4	OJAM		2003247		USN	JO	200309
JO51920	2	MOUAB5	OJAM		2003247		USN	JO	200309
JO51920	2	OSAMA4	OJAM		2003247		USN	JO	200309
JO51920	2	OSAMA5	OJAM		2003247		USN	JO	200309
JO51920	2	QTR4   QATRANEH4	OJAM		2003247		USN	JO	200309
JO51920	2	QTR5   QATRANEH5	OJAM		2003247		USN	JO	200309
JO51920	2	REEMA4	OJAM		2003247		USN	JO	200309
JO51920	2	REEMA5	OJAM		2003247		USN	JO	200309
JO51920	3	D24    VORDME(AMN) RW24	OJAM		2003331		USN		200404
JO51920	3	I24    ILS/DME RW24	OJAM		2003331		USN	JO	200312
JO51920	3	Q24    NDB JYO/DME AMN RW24	OJAM		2003331		USN	JO	200312
JO96621	3	I01    ILSVORDME RW01	OJAQ	10700	2006271		USN		200610
KE18860	3	D03    VORDME RW03	HKMO	10400	2006047		USN	KE	200602
KE18860	3	D21    VORDME RW21	HKMO	10400	2006047		USN	KE	200602
KE18860	3	I21    ILS/VOR RW21	HKMO	10400	2006047		USN	KENY	200602
KE18860	3	L21    L MC RW21	HKMO	10400	2006047		USN	KENY	200602
KG74545	2	RW08	UAFM		2006271	2	USAF	KG	200610
KG74545	2	RW26	UAFM		2006271	2	USAF	KG	200610
KG74545	3	D08    VORDME RW08	UAFM		2006047	2	USN	KG	200602
KG74545	3	D26    VORDME RW26	UAFM		2006047	2	USN	KG	200602
KG74545	3	I08    ILS RW08	UAFM	20000	2005076		USN	KG	200604
KG74545	3	I26    ILS RW26	UAFM	20000	2005076		USN	KG	200604
KG74545	3	T08    TACAN RW08	UAFM	19000	2005076		USN	KG	200503
KG74545	3	T26    TACAN RW26	UAFM	19000	2005076		USN	KG	200503
KS00004	2	OSN1A  RW33R/L OSN1A	RKSI		2005132	1	USAF	KMOC	200505
KS00004	2	OSN1S  RW15R/L OSN1S	RKSI		2005132	1	USAF	KMOC	200505
KS00004	2	SEL1A  RW33R/L SEL1A	RKSI		2005132	1	USAF	KMOC	200505
KS00004	2	SEL1S  RW15R/L SEL1S	RKSI		2005132	1	USAF	KMOC	200505
