SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE
A481		A	NELLIS AFB, NV	KLSV	USAF, NELLIS AFB	WGE	WGE	LAS VEGAS APPROACH	133.95  M	353.7   M	L	017000AMSL	07000AMSL	CONT SR-0600Z++ OT BY NOTAM	VFR	200603
A530		A	CHERRY POINT, NC	KZKT	USMC, CHERRY POINT MCAS	WGE	WGE	CHERRY POINT APP	124.1   M	119.35  M	L	018000AMSL	SURFACE	CONT 1200-0400Z++	VFR	200505
A531		A	ALBEMARLE, NC	KZBG	USA, FORT BRAGG	WGE	WGE	FAYETTEVILLE APP	133.0   M	295.0   M	L	001500AGL	00200AGL	INTMT MON-FRI 1100-0500Z++	VFR-IFR	200102
A561		A	FREDRICK, OK	KSPS	USAF, SHEPPARD AFB	WGE	WGE	SHEPPARD APPROACH	118.2   M	308.6   M	L	004000AMSL	SURFACE	MON-FRI SR-SS	VFR	200603
A562A		A	ENID, OK	KEND	USAF, VANCE AFB	WGE	WGE	VANCE APPROACH	118.075 M	326.2   M	L	010000AMSL	SURFACE	MON-FRI SR-SS +3 HR	VFR	200603
A562B		A	ENID, OK	KEND	USAF, VANCE AFB	WGE	WGE	VANCE APPROACH	118.075 M	326.2   M	L	010000AMSL	SURFACE	MON-FRI SR-SS	VFR	200603
A632A		A	CORPUS CHRISTI, TX	KNGP	USN, CORPUS CHRISTI NAS	WGE	WGE	CORPUS APPROACH	120.9   M	363.1   M	L	018000AMSL	06000AMSL		VFR	200603
A632B		A	CORPUS CHRISTI, TX	KNGP	USN, CORPUS CHRISTI NAS	WGE	WGE	CORPUS APPROACH	120.9   M	363.1   M	L	018000AMSL	SURFACE	CONT 1300-0600Z++	VFR	200603
A632C		A	CORPUS CHRISTI, TX	KNGP	USN, CORPUS CHRISTI NAS	WGE	WGE	CORPUS APPROACH	120.9   M	363.1   M	L	018000AMSL	SURFACE	MON-FRI SR-0600Z++	VFR	200603
A632D		A	CORPUS CHRISTI, TX	KNGP	USN, CORPUS CHRISTI NAS	WGE	WGE	CORPUS APPROACH	120.9   M	363.1   M	L	010999AMSL	06000AMSL	MON-FRI SR-0600Z++ SUN 2000-0600Z++	VFR	200603
A632E		A	CORPUS CHRISTI, TX	KNGP	USN, CORPUS CHRISTI NAS	WGE	WGE	CORPUS APPROACH	120.9   M	363.1   M	L	008999AMSL	06000AMSL	MON-FRI SR-0600Z++ SUN 2000-0600Z++	VFR	200603
A632F		A	CORPUS CHRISTI, TX	KNGP	USN, CORPUS CHRISTI NAS	WGE	WGE	CORPUS APPROACH	120.9   M	363.1   M	L	018000AMSL	03000AGL	MON-SAT 1300-0600Z++	VFR	200603
A633A		A	LAUGHLIN AFB, TX	KDLF	USAF, LAUGHLIN AFB	WGE	WGE	DEL RIO APPROACH	119.6   M	259.1   M	L	007000AMSL	SURFACE	MON-FRI SR-SS	VFR	200603
A633B		A	LAUGHLIN AFB, TX	KDLF	USAF, LAUGHLIN AFB	WGE	WGE	DEL RIO APPROACH	119.6   M	259.1   M	L	004000AMSL	SURFACE	MON-FRI SR-SS OT BY NOTAM	VFR	200603
A635		A	RANDOLPH AFB, TX	KRND	USAF, RANDOLPH AFB	WGE	WGE	SAN ANTONIO APPROACH	124.45  M	392.1   M	L	004000AMSL	01500AMSL	MON-FRI SR-SS +3 HR	VFR	200603
A636		A	WICHITA FALLS, TX	KSPS	USAF, SHEPPARD AFB	WGE	WGE	SHEPPARD APPROACH	118.2   M	308.6   M	L	004000AMSL	SURFACE	MON-FRI SR -1 HR-SS +1 HR	VFR	200603
A638		A	SEGUIN, TX	KRND	USAF, RANDOLPH AFB	WGE	WGE	SAN ANTONIO APPROACH	124.45  M	289.2   M	L	003000AMSL	SURFACE	MON-FRI SR-SS	VFR	200603
A639A		A	USAF ACADEMY, CO	KCOS	USAF, USAF ACADEMY	WGE	WGE	HIGH COUNTRY CONTROL	298.40  M		L	012000AMSL	03000AGL		VFR	200606
A639B		A	USAF ACADEMY, CO	KCOS	USAF, USAF ACADEMY	WGE	WGE	HIGH COUNTRY CONTROL	298.40  M		L	012000AMSL	03000AGL		VFR	200606
A640		A	HONDO, TX	KRND	USAF, RANDOLPH AFB	WGE	WGE	HOUSTON CENTER	124.2   M	269.4   M	L	007500AMSL	00200AGL	MON-FRI SR-SS EXC HOL OT BY NOTAM	VFR	200603
A680		A	COUPEVILLE OLF, WA	KZSE	USN, WHIDBEY NAS APP	WGE	WGE	WHIDBEY APPROACH	118.2   M	120.7   M	L	003000AMSL	SURFACE	MON-FRI	VFR-IFR	200603
A682(A)		A	TRAVIS AFB, CA	KSUU	USAF, TRAVIS AFB	WGE	WGE	TRAVIS APPROACH	119.9   M	371.2   M	L	006000AMSL	SURFACE	MON-FRI 1600-0500Z++	VFR	200603
A682(B)		A	TRAVIS AFB, CA	KSUU	USAF, TRAVIS AFB	WGE	WGE	TRAVIS APPROACH	119.9   M	371.2   M	L	003000AMSL	SURFACE	MON-FRI 1600-0500Z++	VFR	200603
A683		A	WICHITA/MCCONNELL AFB, KS	KIAB	WICHITA TRACON	WGE	WGE	WICHITA TRACON	134.85  M	385.55  M	L	004500AMSL	SURFACE	MON-FRI 1400-0100Z++	VFR	200603
A684		A	MOODY AFB, GA	KVAD	FAA, JACKSONVILLE ARTCC	WGE	WGE	VALDOSTA APPROACH	119.525 M	259.3   M	L	004000AGL	SURFACE	1000-0700Z++ MON-FRI OT BY NOTAM	VFR-IFR	200603
A685		A	DAHLONEGA, GA	KZ	FAA, ATLANTA ARTCC	WGE	WGE				L	000700AGL	SURFACE	INTMT SR-SS	VFR	200603
AGR01		R	HELLS POINT RANGE	AGGH	HONIARA FIS	WGE	WGE	INFO	118.1   M	3425    K	B	001500AMSL	SURFACE	BY NOTAM		200502
AYD901		D	DAUGO	AYPY	PNGOCA	AUA	WGE				L	004000AMSL	SURFACE	CONT DAYS		200008
AYD902		D	CAUTION BAY	AYPY	PNGOCA	AUA	WGE				L	001000AMSL	SURFACE	CONT DAYS		200008
AYD903		D	MOUNT HAGEN	AYPY	PNGOCA	AUA	WGE				L	010000AMSL	SURFACE	CONT DAYS		200008
AYD904A		D	KUTUBU MORO	AYPY	PNGOCA	WGE	WGE	ALL STATIONS	132.9   M	120.9   M	B	008000AMSL	SURFACE	CONT DAYS		200505
AYD904B		D	KUTUBU GOBE	AYPY	PNGOCA	WGE	WGE	ALL STATIONS	133.9   M	120.9   M	B	008000AMSL	SURFACE	CONT DAYS		200510
AYD905		D	NAPA NAPA REFINERY	AYPM	PNGOCA	WGE	WGE				B	000600AGL	SURFACE	CONT		200409
AYD907		D	WAGHI	AYPY	MT HAGEN TWR AND MADANG ATS UNITS	AUA	WGE	MADANG FIS	6622    K	8837    K	L	010000AMSL	SURFACE	CONT DAYS	VMC	200410
AYR920		R	GOLDIE RIVER	AYPY	DOD	AUA	WGE	MORESBY RADIO	6622    K	8837    K	L	009000AMSL	SURFACE	BY NOTAM		200009
AYR921		R	PORT MORESBY	AYPY	DOD	AUA	WGE	MORESBY RDO	6622    K	8837    K	B	020000AMSL	SURFACE	BY NOTAM		200009
AYR959		R	SEPIK PLAINS	AYPY	DOD	AUA	WGE	MORESBY RDO	6622    K	8837    K	L	009000AMSL	SURFACE	BY NOTAM		200009
AYR962		R	ADMIRALTY IS.	AYPY	DOD	AUA	WGE	MORESBY RDO	6622    K	8837    K	B	020000AMSL	SURFACE	BY NOTAM		200009
BGR10		R	PITUFFIK	BGTL	THULE APP	QUO	WGE	THULE APP	134.1   M	363.8   M	L	016000AMSL	SURFACE	CONT	VFR-IFR	200306
BID1		D	SANDSKEID	BIRD	REYKJAVIK TWR	WGE	WGE	TWR	119.9   M	128.1   M	L	003500AMSL	GND	MAY-OCT CONT	VMC-IMC	200502
BID10		D	MILITARY VFR TRAINING AREA	BI	REYKJAVIK ACC	WGE	WGE				L	005000AMSL	00500AGL	1 SEP- 9 MAY	VFR	200401
BID11		D	MELGEROISMELAR	BIRD	AKUREYRI TWR-APP	WGE	WGE	TWR	118.200 M	292.700 M	L	002500AMSL	GND	1 MAY-31 OCT	VMC-IMC	200311
BID12		D	AEROBATIC FLIGHTS	BIRD	REYKJAVIK TWR-APP	WGE	WGE	TWR OR APP	118.000 M	119.000 M	L	003000AMSL	00500AGL	REYKJAVIK TWR-APP	VMC-IMC	200311
BID3		D		BIRD	REYKJAVIK TWR-APP	WGE	WGE	TWR OR APP	122.7   M	118.0   M	L	003000AMSL	GND	REYKJAVIK TWR-APP	VMC-IMC	200311
BID4		D		BIRD	REYKJAVIK TWR-APP	WGE	WGE	TWR OR APP	122.7   M	118.0   M	L	003000AMSL	GND	REYKJAVIK TWR-APP	VMC-IMC	200311
BID7		D		BIRD	REYKJAVIK TWR	WGE	WGE	TWR	119.9   M	118.0   M	L	003500AMSL	GND	REYKJAVIK TWR	VMC-IMC	200311
BID8		D		BI	REYKJAVIK ACC	WGE	WGE				B	FL290	GND	BY NOTAM		200302
BID9		D	MILITARY EXERCISE AREA	BI	REYKJAVIK ACC	WGE	WGE	CON	119.7   M	255.4   M	B	UNLTD	03000AMSL	INTMT		200609
BIP1		P	PJORSARVER	BI	REYKJAVIK ACC	WGE	WGE				L	005000AMSL	GND	10 MAY TO 10 AUG	VMC-IMC	200302
BIR1		R		BIRD	REYKJAVIK TWR	WGE	WGE	TWR	119.3   M	131.8   M	L	002500AMSL	GND	REYKJAVIK TWR	VMC-IMC	200311
CYA100		M	MONTREAL TRAINING AREA	CZUL	MONTREAL CNTR	WGE	WGE	CNTR	132.35  M	229.2   M	B	UNLTD	08000AMSL		IFR	200509
CYA102(M)		A	BLACK ROCK, BC	CZVR	VANCOUVER ACC	WGE	WGE	VANCOUVER CENTER	132.9   M	254.9   M	L	010000AMSL	SURFACE	BY  NOTAM	VFR-IFR	200102
CYA105(H)		A	CHILLIWACK, BC	CZVR	HANG GLIDING PARAGLIDING ASSOCIATION	WGE	WGE	VANCOUVER CENTER	135.0   M	351.3   M	L	008000AMSL	SURFACE	CONT DAYS	VFR	200208
CYA110(H)		A	VICTORIA, BC	CZYJ	VICTORIA TWR	WGE	WGE	VICTORIA TWR	119.1   M	239.6   M	L	002500AMSL	SURFACE	INTMT OCNL BY VICTORIA ATIS	VFR	200102
CYA113(A)(H)		A	BENTINCK ISLAND, BC	CZ		WGE	WGE	VANCOUVER CENTER	132.9   M	254.9   M	L	006500AMSL	SURFACE	CONT DAYS	VFR	200410
CYA118(A)(H)		A	COWICHAN, BC	CZ		WGE	WGE	VANCOUVER CENTER	132.9   M	254.9   M	L	003000AMSL	SURFACE	CONT DAYS	VFR	200410
CYA120(A)		A	PENTICTON, BC	CZ		WGE	WGE	VANCOUVER CENTER	135.0   M	351.3   M	L	004000AMSL	SURFACE	CONT DAYS	VFR	200201
CYA121(A)(S)		A	HOPE, BC	CZ		WGE	WGE	VANCOUVER CENTER	135.0   M	351.3   M	L	007000AMSL	SURFACE	CONT	VFR	200201
CYA122(A)(H)		A	VERNON, BC	CZ		WGE	WGE	VANCOUVER CENTER	132.35  M	236.0   M	L	006200AMSL	SURFACE	CONT DAYS	VFR	200204
CYA124(M)		A	TEXADA ISLAND, BC	CZQQ	COMOX TWR	WGE	WGE	COMOX TWR	126.2   M	358.1   M	L	001000AMSL	SURFACE	CONT	VFR-IFR	200102
CYA126(A)		A	ABBOTSFORD, BC	CZ		WGE	WGE	VICTORIA TML	132.7   M	252.5   M	L	005500AMSL	SURFACE	CONT DAYS	VFR	200408
CYA127(A)		A	PITT MEADOWS, BC	CZ		WGE	WGE	VICTORIA TML	132.7   M	252.5   M	L	004000AMSL	SURFACE	CONT DAYS	VFR	200206
CYA128(A)(H)		A	CHILLIWACK, BC	CZ		WGE	WGE	VICTORIA TML	132.7   M	252.5   M	L	005500AMSL	SURFACE	CONT DAYS	VFR	200204
CYA129(P)		A	CHILLIWACK, BC	CZ		WGE	WGE	VICTORIA TML	132.7   M	252.5   M	L	009000AMSL	SURFACE	CONT DAYS	VFR	200201
CYA132(H)		A	CHILLIWACK, BC	CZ		WGE	WGE	VICTORIA TML	132.7   M	252.5   M	L	006000AMSL	SURFACE	CONT DAYS	VFR	200201
CYA133(H)		A	VANCOUVER, BC	CZ		WGE	WGE	VICTORIA TML	133.95  M	380.4   M	L	005000AMSL	SURFACE	CONT DAYS	VFR	200212
CYA134(A)		A	VANDERHOOF, BC	CZ		WGE	WGE	VANCOUVER CENTER	133.8   M	231.95  M	L	006000AMSL	SURFACE	CONT DAYS	VFR	200201
CYA135(H)		A	LAKE COWICHAN, BC	CZ		WGE	WGE	VANCOUVER CENTER	132.9   M	254.9   M	L	009000AMSL	SURFACE	CONT DAYS	VMC	200201
CYA145(H)		A	VICTORIA/SALTSPRING ISLAND, BC	CZ		WGE	WGE	VANCOUVER CENTER	132.9   M	254.9   M	L	002500AMSL	SURFACE	CONT DAYS	VFR	200201
CYA152(P)		A	ABBOTSFORD, BC	CZ		WGE	WGE	VICTORIA CENTER	132.7   M	252.5   M	L	005500AMSL	SURFACE	CONT DAYS	VFR	200201
CYA154(P)		A	PRINCE GEORGE, BC	CZ		WGE	WGE	VANCOUVER CENTER	133.8   M	231.9   M	L	012500AMSL	SURFACE	BY NOTAM	VFR	200201
CYA158(P)		A	WILLIAMS LAKE, BC	CZ		WGE	WGE	VANCOUVER CENTER	134.0   M	381.4   M	L	007000AMSL	SURFACE	BY NOTAM	VFR	200201
CYA159(S)		A	SMITHERS, BC	CZ		WGE	WGE	VANCOUVER CENTER	128.0   M	284.0   M	B	BY NOTAM	12500AMSL	BY NOTAM	VFR	200201
CYA163(M)		A	COMOX, BC	CZQQ	19 WG OPS, CFB COMOX	WGE	WGE	COMOX TRML CON	126.2   M	358.1   M	H	UNLTD	FL180	BY NOTAM	VFR-IFR	200404
CYA164(M)		A	COMOX, BC	CZQQ	19 WG OPS, CFB COMOX	WGE	WGE	COMOX TRML CON	126.2   M	358.1   M	H	UNLTD	FL180	BY NOTAM	VFR-IFR	200404
CYA166(M)		A	COMOX, BC	CZQQ	COMOX CON	WGE	WGE	COMOX TRML CON	126.2   M	358.1   M	H	UNLTD	FL180	BY NOTAM	VMC-IMC	200404
CYA167(S)		A	GOLDEN, BC	CZVR	VANCOUVER ACC	WGE	WGE	VANCOUVER CNTR	132.9   M	254.9   M	H	FL250	FL180	BY NOTAM	VFR	200010
CYA168(H)		A	TERRACE, BC	CZXT	TERRACE FSS	WGE	WGE	CENTER	128.4   M	269.1   M	L	010000AMSL	SURFACE	BY NOTAM	VFR	200102
CYA201(S)		A	COWLEY, AB	CZEG	EDMONTON TRML	WGE	WGE	EDMONTON ACC	120.5   M	363.8   M	H	BY NOTAM	18000AMSL	BY NOTAM DAYS	VFR	200306
CYA202(S)		A	CHIPMAN, AB	CZ		WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	004000AMSL	SURFACE	CONT DAYS	VFR	200201
CYA206(T)(1)		A	CALGARY, AB (AREA 1)	CZ		WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	011000AMSL	SURFACE	CONT 1300-0700Z++	VFR	200201
CYA206(T)(2)		A	CALGARY, AB (AREA 2)	CZ		WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	006500AMSL	SURFACE	CONT 1300-0700Z++	VFR	200602
CYA209(T)		A	EDMONTON, AB	CZEG	EDMONTON CNTR	WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	009000AMSL	SURFACE	CONT DAYS	VFR	200408
CYA210(T)		A	LETHBRIDGE, AB	CZ		WGE	WGE	EDMONTON CENTER	132.75  M	265.2   M	L	009500AMSL	SURFACE	CONT	VFR	200201
CYA214(M)		A	REDWATER, AB	CZEG	408 TAC HEL SQUADRON	WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	003200AMSL	SURFACE	CONT	VFR-IFR	200403
CYA215(S)		A	GRANDE PRAIRIE, AB	CZEG	EDMONTON ACC	WGE	WGE	EDMONTON CENTER	132.05  M	293.7   M	H	BY NOTAM	18000AMSL	CONT DAYLT BY NOTAM	VFR	200102
CYA218(P)		A	EDMONTON/EDEN, AB	CZEG	EDMONTON TRML	WGE	WGE	EDMONTON TERMINAL	120.5   M	363.8   M	L	009000AMSL	SURFACE	CONT DAYS	VFR	200103
CYA226(T)		A	CALGARY, AB	CZ		WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	011000AMSL	SURFACE	CONT 1300-0700Z++	VFR	200603
CYA227(T)		A	CALGARY, AB	CZ		WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	011000AMSL	07000AMSL	CONT 1300-0700Z++	VFR	200603
CYA228(H)		A	CALGARY, AB	CZ	SPRINGBANK TWR C403-216-7130	WGE	WGE	EDMONTON CENTER	132.85  M	239.0   M	L	006500AMSL	SURFACE	BY NOTAM	VFR	200603
CYA262(M)		A	COLD LAKE, AB	CZWG	WINNIPEG ACC	WGE	WGE	WINNIPEG CON CTR	124.5   M	322.8   M	H	UNLTD	FL290	BY NOTAM	VFR-IFR	200603
CYA263(S)		A	BLACK DIAMOND, AB	CZEG	EDMONTON ACC	WGE	WGE	EDMONTON CENTER	120.5   M	363.8   M	L	008000AMSL	SURFACE	BY NOTAM	VFR	200603
CYA264(P)		A	BEISEKER, AB	CZEG	EDMONTON ACC	WGE	WGE	EDMONTON CENTER	120.5   M	363.8   M	L	007000AMSL	SURFACE	BY  NOTAM	VFR	200308
CYA306(T)		A	DELISLE, SK	CZ		WGE	WGE	SASKATCHEWAN TWR	118.3   M	299.6   M	L	005000AMSL	SURFACE	CONT DAYS	VFR	200201
CYA308(S)		A	STRAWBERRY LAKES, SK	CZWG	REGINA SOARING CLUB	WGE	WGE	WINNIPEG CENTER	123.8   M	266.3   M	L	004000AMSL	SURFACE	CONT 1 APR-31 OCT DAYS	VFR	200102
CYA311(P)		A	INDIAN HEAD, SK	CZWG	SKYDIVE TANDEM	WGE	WGE	WINNIPEG CENTER	124.3   M	283.4   M	L	BY NOTAM	SURFACE	CONT DAYS	VFR	200102
CYA312(P)		A	WAKAW, SK	CZWG	PRAIRIE SKYMASTERS PARACHUTE CLUB	WGE	WGE	WINNIPEG CENTER	133.1   M	299.6   M	L	005000AMSL	SURFACE	CONT DAYS	VFR	200102
CYA313(M)		A	MOOSE JAW, SK	CZMJ	MOOSE JAW TRML	WGE	WGE	WINNIPEG CENTER	132.8   M	232.3   M	L	018000AMSL	06000AMSL	CONT	VFR-IFR	200313
CYA314(M)		A	MOOSE JAW, SK	CZMJ	MOOSE JAW TRML	WGE	WGE	WINNIPEG CENTER	132.8   M	232.8   M	L	018000AMSL	06000AMSL	CONT	VFR-IFR	200313
CYA315(P)		P	WEYBURN, SK	CZ	WEYBURN SPORT PARACHUTE ASSOCIATION	WGE	WGE	WEYBURN UNICOM	122.8   M		L	009500AMSL	SURFACE	CONT 1 MAR-30 NOV	VFR	200011
CYA317(P)		A	ESTEVAN, SK	CZ	WEYBURN SPORT PARACHUTE ASSOCIATION	NAR	WGE	WINNIPEG CENTER	132.8   M	232.8   M	L	011500AMSL	SURFACE	INTMT	VFR	200010
CYA402(M)		A	HOMEWOOD, MB	CZWG	WINNIPEG ACC	WGE	WGE	WINNIPEG CENTER	131.4   M	308.8   M	L	012500AMSL	05000AMSL	MON-FRI 1400-2200Z++	VFR-IFR	200102
CYA403(T)		A	BRANDON, MB	CZ		WGE	WGE	WINNIPEG CENTER	126.7   M	285.4   M	L	006000AMSL	SURFACE	CONT DAYS	VFR	200204
CYA404(T)		A	WINNIPEG, MB	CZWG	WINNIPEG CENTER	WGE	WGE	WINNIPEG CENTER	124.0   M	225.2   M	L	005000AMSL	SURFACE	CONT DAYS	VFR	200204
CYA407(T)		A	SOUTHPORT, MB	CZPG	SOUTHPORT TWR MGR	WGE	WGE	WINNIPEG CENTER	132.25  M	285.4   M	L	008000AMSL	SURFACE	MON-FRI, EXC HOL 1400-2300Z++	VFR	200412
CYA408(S)		A	STARBUCK, MB	CZWG	WINNIPEG GLIDING CLUB	WGE	WGE	WINNIPEG CENTER	124.0   M	225.2   M	L	003000AMSL	SURFACE	CONT 1 APR-31 DEC DAYS	VFR	200102
CYA411(F)		A	STONY MOUNTAIN, MB	CZ	LOEWEN AVIATION LTD	WGE	WGE				L	001300AMSL	SURFACE	CONT	VFR-IFR	200509
CYA414(T)		A	SOUTHPORT, MB	CZPG	SOUTHPORT TWR MGR	WGE	WGE	WINNIPEG CENTER	132.25  M	285.4   M	L	012500AMSL	05000AMSL	BY NOTAM DAYS	VFR	200102
CYA420(T)		A	GIMLI, MB	CZ	INTERLAKE  AVIATION	WGE	WGE	WINNIPEG CENTER	124.0   M	225.2   M	L	006000AMSL	SURFACE	CONT DAYS	VFR	200013
CYA509(P)		A	COOKSTOWN, ON	CZYZ	SKYDIVE TORONTO INC	WGE	WGE	TORONTO CENTER	124.925 M	294.5   M	L	004500AMSL	SURFACE	BY NOTAM	VFR	200309
CYA512(P)		A	SIMCOE, ON	CZYZ	GRAND VALLEY SKYDIVING CLUB	WGE	WGE	TORONTO CENTER	124.925 M	236.8   M	L	007500AMSL	SURFACE	INTMT	VFR	200208
CYA513(P)		A	PORT COLBORNE, ON	CZYZ	ST CATHARINES PARACHUTE CLUB	WGE	WGE	TORONTO CENTER	133.3   M	290.8   M	L	011500AMSL	SURFACE	BY NOTAM DAYS	VFR	200010
CYA515(P)		A	COLDWATER, ON	CZYZ	COLDWATER PARACHUTE SCHOOL	WGE	WGE	TORONTO CENTER	135.05  M	398.4   M	L	012500AMSL	SURFACE	BY NOTAM DAYS	VFR	200010
CYA516(P)		A	GANANOQUE, ON	CZYZ	GANANOQUE SPORT PARACHUTE CNTR	WGE	WGE	TORONTO CENTER	135.2   M	278.5   M	L	012500AMSL	SURFACE	CONT DAYS	VFR	200103
CYA517(P)		A	ARTHUR NORTH, ON	CZYZ	PARACHUTE SCHOOL OF TORONTO	WGE	WGE	TORONTO CENTER	128.275 M	268.75  M	L	012500AMSL	SURFACE	BY NOTAM DAYS	VFR	200012
CYA520(T)		A	PORT PERRY, ON	CZYZ	LENVIC FLYING CLUB	WGE	WGE	TORONTO CENTER	135.05  M	398.4   M	L	004000AMSL	SURFACE	CONT DAYS	VFR	200101
CYA521(M)		A	NORTH BAY, ON	CZYZ	TORONTO ACC	WGE	WGE	TORONTO CENTER	127.25  M	233.4   M	B	FL230	07000AMSL	BY NOTAM	VFR-IFR	200012
CYA523(A)		A	MOUNT FOREST, ON	CZYZ	BRAMTON FLYING CLUB	WGE	WGE	TORONTO CENTER	128.275 M	268.75  M	L	006000AMSL	SURFACE	CONT DAYS	VFR	200010
CYA524(S)		A	HAWKESBURY, ON	CZUL	MONTREAL ACC	WGE	WGE	MONTREAL CENTER	134.975 M	266.8   M	L	007000AMSL	SURFACE	CONT 1 MAY-1 DEC DAYS	VFR	200411
CYA525(A)		A	CAYUGA, ON	CZYZ	TORONTO ACC	WGE	WGE	TORONTO CENTER	133.3   M	290.8   M	L	004000AMSL	SURFACE	CONT DAYS	VFR	200010
CYA526(A)		A	SELKIRK, ON	CZYZ	PENINSULAR LTD	WGE	WGE	TORONTO CENTER	133.3   M	290.8   M	L	006000AMSL	SURFACE	CONT DAYS	VFR	200010
CYA527(P)		A	BEACHBURG, ON	CZYZ	PEMBROKE SPORT PARACHUTE CLUB	WGE	WGE	TORONTO CENTER	135.2   M	278.5   M	L	005500AMSL	SURFACE	SAT-SUN 1 MAY-31 OCT DAYS OT BY NOTAM	VFR	200101
CYA528(S)(T)		A	KEMPTVILLE, ON	CZYZ	MONTREAL ACC C514-633-3671	WGE	WGE	TORONTO CENTER	135.2   M	278.5   M	L	003999AMSL	SURFACE	OCNL DAYS BY NOTAM	VFR	200410
CYA529(P)		A	GRAND BEND, ON	CZYZ	GRAND BEND SPORT PARACHUTE CLUB	WGE	WGE	TORONTO CENTER	135.3   M	266.3   M	L	012500AMSL	SURFACE	BY NOTAM DAYS	VFR	200010
CYA530(M)		A	LAKE ONTARIO, ON	CZYZ	TORONTO ACC	WGE	WGE	TORONTO CENTER	135.05  M	398.4   M	B	FL500	03000AMSL	BY NOTAM DAYS	VFR	200010
CYA532(A)		A	LAKE SIMCOE, ON	CZYZ	TORONTO ACC	WGE	WGE	TORONTO ACC	124.025 M		L	006000AMSL	SURFACE	BY NOTAM	VFR	200309
CYA534(S)		A	KARS, ON	CZUL	MONTREAL ACC	WGE	WGE	OTTAWA TRML	127.7   M		L	002500AMSL	SURFACE	BY NOTAM DAYS	VFR	200410
CYA609(M)		A	BAGOTVILLE, QC	CZUL	MONTREAL ACC	WGE	WGE	MONTREAL CENTER	135.55  M	381.9   M	L	006000AMSL	SURFACE	BY NOTAM	VFR-IFR	200606
CYA616(T)		A	QUEBEC, QC	CZUL	QUEBEC TRML	WGE	WGE	QUEBEC TRML	127.85  M	322.8   M	L	004000AMSL	SURFACE	CONT DAYS	VFR-IFR	200103
CYA619(H)		A	MONT GRAND MORNE, QC	CZUL	CLUB DE VOL LIBRE DE THETFORD MINES	WGE	WGE	MONTREAL CENTER	135.025 M	270.9   M	L	005000AMSL	SURFACE	CONT DAYS 1 APR-30 NOV	VFR-IFR	200103
CYA621(H)		A	MONT YAMASKA, QC	CZUL	ASSOCIATION QUEBECOISE DE VOL LIBRE	WGE	WGE	MONTREAL CENTER	132.55  M	226.0   M	L	007000AMSL	SURFACE	BY NOTAM	VFR	200503
CYA623(H)		A	ROUGEMONT QC	CZUL	ASSOCIATION QUEBECOISE DE VOL LIBRE	WGE	WGE	MONTREAL CENTER	132.55  M	226.0   M	L	003000AMSL	SURFACE	CONT DAYS	VFR	200410
CYA627(S)		A	ST DOMINIQUE, QC	CZUL	ASSOCIATION DE VOL A VOILE CHAMPLAIN	WGE	WGE	MONTREAL CENTER	132.55  M	226.0   M	L	003000AMSL	SURFACE	CONT DAYS	VFR	200103
CYA661(M)		A	BAGOTVILLE, QC	CZUL	BAGOTVILLE MIL TRML CON	WGE	WGE	BAGOTVILLE TML	127.2   M	227.6   M	H	UNLTD	18000AMSL	INTMT	VFR-IFR	200607
CYA662(M)		A	BAGOTVILLE, QC	CZUL	BAGOTVILLE MIL TRML CON	WGE	WGE	BAGOTVILLE MTCA	127.2   M	227.6   M	H	FL280	18000AMSL	1100-2300Z++ MON-FRI EXC HOL OT NOTAM	VFR-IFR	200607
CYA663(M)		A	BAGOTVILLE, QC	CZUL	BAGOTVILLE MIL TRML CON	WGE	WGE	BAGOTVILLE MIL TRML	127.2   M	227.6   M	H	FL600	18000AMSL	BY NOTAM	IFR	200608
CYA702(P)		A	GREENWOOD, NS	CZQM	SKY VENTURE ATLANTIC	WGE	WGE				L	000500AMSL	SURFACE	CONT DAYS	VFR	200503
CYA731(M)		A	GOOSE BAY, NF	CZQX	MIL COORD CNTR	WGE	WGE	MONCTON CENTER	120.4   M	294.5   M	L	005000AMSL	SURFACE	CONT 17 APR-30 NOV, OT BY NOTAM	VFR-IFR	200105
CYA732(M)		A	GOOSE BAY, NF	CZQX	MIL COORD CNTR	WGE	WGE	MONCTON CENTER	120.4   M	294.5   M	B	FL280	05000AMSL	DLY EXC SUN 1100-0430Z++ 17 APR-30 NOV	VFR-IFR	200513
CYA733(M)		A	GOOSE BAY, NF	CZQX	MIL COORD CNTR	WGE	WGE	MONCTON CENTER	120.4   M	294.5   M	L	FL280	05000AMSL	DLY EXC SUN 1100-0430Z++ 17 APR-30 NOV	VFR-IFR	200105
