HELI_IDENT	COMM_TYPE	COMM_NAME	SYM	FREQ_1	FREQ_2	FREQ_3	FREQ_4	FREQ_5	SEC	S_OPR_H	CYCLE_DATE
US11787	GND	FALCON GND		121.3   M							200003
US11787	MISC	APACHE CON		123.35  M	226.3   M						200003
US11787	TWR	FALCON TWR	E	124.6   M						Opr 1300-0400Z.	200001
US11790	CNTR	HOUSTON CNTR	E	135.7   M	381.5   M						200107
US11790	CTAF	CTAF		122.95  M							199806
US11790	OPS	ARNG OPS		40.9    M							200012
US11790	TWR	ESLER TWR		118.0   M	324.3   M						199905
US11801	TWR	BILLINGS TWR		124.2   M	257.8   M						200003
US11817	TWR	TWR	E	121.25  M	140.2   M	236.2   M	344.4   M				200212
US11819	RDO	RDO		122.65  M	255.4   M						200212
US11819	TWR	TWR	E	121.25  M	140.2   M	236.2   M	344.4   M				200212
US11821	OPS	FELKER OPS		41.5    M							199610
US11822	OPS	CHAMBERS OPS		268.8   M							200211
US11822	TWR	NORFOLK CHAMBERS TWR		124.3   M	257.975 M	379.15  M					200305
US11823	ACC	AIR CON		41.0    M						PN rqr.	200110
US11825	MISC	AIR CON		141.375 M						PN rqr.	200110
US11829	CTAF	CTAF		251.3   M							200206
US11836	MISC	NAVY HELIPORT CON		135.675 M							200602
US11839	GND	NAVY NORFOLK HEL GND		298.95  M							200313
US11839	TWR	CHAMBERS TWR	E	124.3   M	257.975 M	379.15  M					200305
US11841	RDR	EAGLE RADAR		36.9    M	41.1    M	123.55  M	305.8   M				200206
US11841	TWR	TWR		36.9    M	41.1    M	133.6   M	314.6   M	359.4   M			200206
US11842	A/D	OCEAN APP/DEP		135.4   M	257.7   M					Opr 1100-0500Z++, OT ctc BOSTON CENTER 124.85 307.9. -	200105
US11842	TWR	QUONSET STATE TWR		121.2   M	252.9   M					Opr 1200-0400Z++, clsd hol.	200001
US11842	UNIC	CTAF/UNICOM		122.8   M							200207
US11849	A/D	AUGUSTA APP/DEP		119.15  M	126.8   M	231.1   M	270.3   M		(119.15 231.1 350 -169 ) (126.8 270.3 170 -349 )	Opr 1200-0400Z++, OT ctc ATLANTA CENTER 323.0 128.1.-	200509
US11850	OPS	MEDEVAC OPS		49.65   M							200602
US11852	MISC	RANGE CON		32.9    M							200205
US11852	OPS	OPS		38.2    M							199813
US11854	GND	PARRIS ISLAND GND		32.05   M							200205
US11859	UNIC	CTAF/UNICOM		122.8   M							200205
US11860	APP	PHILADELPHIA APP	E	126.6   M	128.4   M	307.2   M	343.6   M				200003
US11860	ATIS	ATIS		133.4   M							200406
US11860	FCC	CTL		32.1    M	40.9    M	49.8    M	123.2   M	123.25  M	123.45 267.2 321.7 366.5 5775 13922 (5775 Lo Side Band) (13922 Upper Side Band).		200508
US11860	RDO	PHILADELPHIA RDO	E	122.2   M	122.6   M	255.4   M					200204
US11860	TWR	PHILADELPHIA TWR		118.5   M	126.9   M	263.0   M					200406
US11862	UNIC	UNICOM		123.05  M							200204
US11864	MISC	RANGE CON									200106
US11865	HEL	EMERG ROOM		49.3    M							200312
US11865	MISC	WRIGHT AAF		123.85  M	269.275 M						200108
US11879	OPS	ARMY OPS		123.05  M	376.7   M						200001
US11881	A/G	WASHINGTON TWR	E	120.75  M	257.2   M						200202
US11881	TWR	BETHESDA TWR		267.6   M							200202
US11882	OPS	OPS		123.075 M							200304
US11895	CTAF	CTAF		126.2   M							199905
US11895	TWR	TWR	E	126.2   M	397.3   M						199905
US58766	AAS	ADVSY SVC		41.5    M	126.05  M	244.3   M					200401
US58766	ATIS	SKY HARBOR ATIS		127.575 M							200401
