BDRY_IDENT	TYPE	NAME	ICAO	CON_AUTH	LOC_HDATUM	WGS_DATUM	COMM_NAME	COMM_FREQ1	COMM_FREQ2	CLASS	CLASS_EXC	CLASS_EX_RMK	LEVEL	UPPER_ALT	LOWER_ALT	RNP	CYCLE_DATE
KD00086	07	ANE VT E5 BENNINGTON	KDDH	ALBANY APP	WGE	WGE	ALBANY APP	125.0   M		E			L	018000AMSL	00700AGL		200505
KD00087	07	AGL OH E5 DEFIANCE	KDFI	TOLEDO APP	WGE	WGE	TOLEDO APP	134.35  M		E			L	018000AMSL	00700AGL		200505
KD00088	07	AGL OH E5 DAYTON	KDAY	APP	WGE	WGE	APP	118.0   M	126.5   M	E			L	018000AMSL	00700AGL		200505
KD00089	07	AGL OH E5 DELAWARE	KDLZ	COLUMBUS APP	WGE	WGE	COLUMBUS APP	120.2   M		E			L	018000AMSL	00700AGL		200505
KD00090	07	AGL IL E5 DANVILLE	KDNV	CHICAGO CNTR	WGE	WGE	CHICAGO CNTR	135.75  M		E			L	018000AMSL	00700AGL		200505
KD00091	07	AGL IL E5 DE KALB (A)	KDKB	CHICAGO CNTR	WGE	WGE	CHICAGO CNTR	133.5   M	371.9   M	E			L	018000AMSL	00700AGL		200508
KD00092	07	AGL IL E5 DECATUR	KDEC	CHICAGO CNTR	WGE	WGE	CHICAGO CNTR	121.35  M		E			L	018000AMSL	00700AGL		200505
KD00093	07	AGL IL E5 DWIGHT	KDTG	CHICAGO CNTR	WGE	WGE	CHICAGO CNTR	123.75  M	354.0   M	E			L	018000AMSL	00700AGL		200505
KD00094	07	AEA NY E5 DUNKIRK	KDKK	BUFFALO APP	WGE	WGE	BUFFALO APP	126.5   M	317.6   M	E			L	018000AMSL	00700AGL		200505
KD00095	07	AEA NY E5 DANSVILLE	KDSV	ROCHESTER APP	WGE	WGE	ROCHESTER APP	123.7   M	322.3   M	E			L	018000AMSL	00700AGL		200505
KD00096	07	ACE MO E5 DEXTER	KDXE	MEMPHIS CNTR	WGE	WGE	MEMPHIS CNTR	135.5   M		E			L	018000AMSL	00700AGL		200505
KD00097	07	ACE MO E5 SEDALIA	KDMO	WHITEMAN APP	WGE	WGE	WHITEMAN APP	127.45  M	284.0   M	E			L	018000AMSL	00700AGL		200505
KD00098	07	AGL ND E5 DEVILS LAKE	KDVL	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	127.6   M		E			L	018000AMSL	00700AGL		200505
KD00099	07	ASW TX E5 DALLAS-FORT WORTH B	KDFW	RGNL APP	WGE	WGE	RGNL APP	119.05  M	125.8   M	E			L	018000AMSL	00700AGL		200505
KD00100	07	AGL IL E5 DE KALB (B)	KDKB	CHICAGO CNTR	WGE	WGE	CHICAGO CNTR	133.5   M	371.9   M	E			L	018000AMSL	00700AGL		200508
KD00127	07	ASW TX E2 DALHART	KDHT	ALBUQUERQUE CNTR	WGE	WGE	ALBUQUERQUE CNTR	127.85  M	351.7   M	E			L	000700AGL	SURFACE		200501
KD00128	07	AEA DE E4 DOVER A	KDOV	TWR	WGE	WGE	TWR	126.35  M	327.5   M	E			L	002500AMSL	SURFACE		200501
KD00129	07	AEA DE E4 DOVER B	KDOV	TWR	WGE	WGE	TWR	126.35  M	327.5   M	E			L	002500AMSL	SURFACE		200501
KD00130	07	AEA DE E4 DOVER C	KDOV	TWR	WGE	WGE	TWR	126.35  M	327.5   M	E			L	002500AMSL	SURFACE		200501
KD00132	11	ANE CT D DANBURY	KDXR	TWR	WGE	WGE	TWR	119.4   M	126.4   M	D	Y	CLASS D AIRSPACE EFF 1200-0300Z++, OT CLASS G. CLASS G BELOW 700' AGL	L	003000AMSL	SURFACE		200511
KD00133	11	ANM CO B DENVER B	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	07500AMSL		200501
KD00134	11	ANM CO B DENVER C	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	06500AMSL		200511
KD00135	11	ANM CO B DENVER D	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	07000AMSL		200501
KD00136	11	ANM CO B DENVER E	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	08000AMSL		200501
KD00137	11	ANM CO B DENVER F	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	07000AMSL		200501
KD00138	11	ANM CO B DENVER G	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	06000AMSL		200501
KD00139	11	ANM CO B DENVER H	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	07000AMSL		200501
KD00140	11	ANM CO B DENVER J	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	07000AMSL		200501
KD00141	11	ANM CO B DENVER K	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	10000AMSL		200501
KD00142	11	ANM CO B DENVER L	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	09000AMSL		200501
KD00143	11	ANM CO B DENVER M	KDEN	APP	WGE	WGE	APP	120.35  M	381.5   M	B			L	012000AMSL	10000AMSL		200501
KD00144	11	ANM CO B DENVER N	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	08000AMSL		200501
KD00145	11	ANM CO B DENVER P	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	B			L	012000AMSL	10000AMSL		200501
KD00148	07	AGL MN E4 DULUTH	KDLH	TWR	WGE	WGE	TWR	118.3   M	257.8   M	E			L	003900AMSL	SURFACE		200501
KD00149	10	ACE IA C DES MOINES INTL A	KDSM	APP	WGE	WGE	APP	135.2   M	360.7   M	C			L	005000AMSL	SURFACE		200501
KD00150	10	ACE IA C DES MOINES INTL B	KDSM	APP	WGE	WGE	APP	135.2   M	360.7   M	C			L	005000AMSL	02200AMSL		200501
KD00151	10	AWP AZ C TUCSON, DAVIS-MONTHAN AFB A	KDMA	APP	WGE	WGE	APP	119.4   M	125.1   M	C			L	006600AMSL	SURFACE		200501
KD00152	10	AWP AZ C TUCSON, DAVIS-MONTHAN AFB B	KDMA	APP	WGE	WGE	APP	119.4   M	125.1   M	C			L	006600AMSL	04200AMSL		200501
KD00153	10	ASW TX C LAUGHLIN AFB A	KDLF	DEL RIO APP	WGE	WGE	DEL RIO APP	119.6   M	259.1   M	C	Y	CL C EFF 1300-0100Z++ M-F; 2000-2300Z++ SU, EXC HOL; OT CL G. CL E ABV 700' AGL.	L	005100AMSL	SURFACE		200501
KD00154	10	ASW TX C LAUGHLIN AFB B	KDLF	DEL RIO APP	WGE	WGE	DEL RIO APP	119.6   M	259.1   M	C	Y	REVERTS TO CLASS E WHEN TOWER/APP CON IS CLOSED.	L	005100AMSL	02500AMSL		200501
KD00155	10	ASW TX C DYESS AFB A	KDYS	ABILENE APP	WGE	WGE	ABILENE APP	127.2   M	125.0   M	C			L	005800AMSL	SURFACE		200501
KD00156	10	ASW TX C DYESS AFB B	KDYS	ABILENE APP	WGE	WGE	ABILENE APP	127.2   M	125.0   M	C			L	005800AMSL	03600AMSL		200501
KD00157	10	ASW TX C DYESS AFB C	KDYS	ABILENE APP	WGE	WGE	ABILENE APP	127.2   M	125.0   M	C			L	005800AMSL	04300AMSL		200501
KD00159	10	ASO FL C DAYTONA BEACH INTL A	KDAB	APP	WGE	WGE	APP	125.72  M	379.95  M	C			L	004000AMSL	SURFACE		200501
KD00160	10	ASO FL C DAYTONA BEACH INTL B	KDAB	APP	WGE	WGE	APP	125.72  M	379.95  M	C			L	004000AMSL	01200AMSL		200501
KD00161	10	AGL OH C JAMES M COX-DAYTON INTL A	KDAY	APP	WGE	WGE	APP	134.45  M	316.7   M	C			L	005000AMSL	SURFACE		200501
KD00162	10	AGL OH C JAMES M COX-DAYTON INTL B	KDAY	APP	WGE	WGE	APP	134.45  M	316.7   M	C			L	005000AMSL	02400AMSL		200501
KD00163	10	AWP AZ E3 TUCSON DAVIS-MONTHAN AFB A	KDMA	TUCSON APP	WGE	WGE	TUCSON APP	118.5   M	125.1   M	E			L	004200AMSL	SURFACE		200501
KD00165	10	ASW TX E3 ABILENE, DYESS AFB A	KDYS	ABILENE APP	WGE	WGE	ABILENE APP	127.2   M	239.05  M	E			L	003600AMSL	SURFACE		200501
KD00166	10	ASW TX E3 ABILENE, DYESS AFB B	KDYS	ABILENE APP	WGE	WGE	ABILENE APP	127.2   M	239.05  M	E			L	004300AMSL	SURFACE		200501
KD00167	10	ASW TX E3 DEL RIO A	KDLF	APP	WGE	WGE	APP	119.6   M	259.1   M	E			L	002500AMSL	SURFACE		200501
KD00168	10	ASW TX E3 DEL RIO B	KDLF	APP	WGE	WGE	APP	119.6   M	259.1   M	E			L	002500AMSL	SURFACE		200501
KD00169	11	AEA DC B WASHINGTON TRI-AREA A3	KDCA	POTOMAC APP	WGE	WGE	POTOMAC APP	118.95  M	124.2   M	B			L	010000AMSL	SURFACE		200501
KD00170	11	AEA DC B WASHINGTON TRI-AREA B3	KDCA	POTOMAC APP	WGE	WGE	POTOMAC APP	118.95  M	124.2   M	B			L	010000AMSL	01500AMSL		200501
KD00171	11	AEA DC B WASHINGTON TRI-AREA C2	KDCA	POTOMAC APP	WGE	WGE	POTOMAC APP	124.2   M	126.55  M	B			L	010000AMSL	02500AMSL		200501
KD00172	11	AEA DC B WASHINGTON TRI-AREA D	KDCA	POTOMAC APP	WGE	WGE	POTOMAC APP	119.85  M	124.2   M	B			L	010000AMSL	03500AMSL		200501
KD00173	11	AGL MI B DETROIT A	KDTW	APP	WGE	WGE	APP	118.575 M	124.05  M	B			L	008000AMSL	SURFACE		200501
KD00174	11	AGL MI B DETROIT B	KDTW	APP	WGE	WGE	APP	118.575 M	124.05  M	B			L	008000AMSL	02500AMSL		200501
KD00175	11	AGL MI B DETROIT C	KDTW	APP	WGE	WGE	APP	118.575 M	124.05  M	B			L	008000AMSL	03000AMSL		200501
KD00176	11	AGL MI B DETROIT D1	KDTW	APP	WGE	WGE	APP	118.575 M	124.05  M	B			L	008000AMSL	04000AMSL		200501
KD00177	11	ASW TX B DALLAS-FORT WORTH B2	KDFW	REGIONAL APP	WGE	WGE	REGIONAL APP	119.05  M	128.5   M	B			L	011000AMSL	02000AMSL		200501
KD00178	11	ASW TX B DALLAS-FORT WORTH C	KDFW	REGIONAL APP	WGE	WGE	REGIONAL APP	119.05  M	125.8   M	B			L	011000AMSL	03000AMSL		200501
KD00179	11	ASW TX B DALLAS-FORT WORTH F2	KDFW	REGIONAL APP	WGE	WGE	REGIONAL APP	119.05  M	125.8   M	B			L	010000AMSL	04000AMSL		200501
KD00180	11	AGL MI D DETROIT CITY	KDET	TWR	WGE	WGE	TWR	121.3   M	257.8   M	D			L	003100AMSL	SURFACE		200511
KD00181	07	AWP AZ E4 PHOENIX, DEER VALLEY MUNI	KDVT	TWR	WGE	WGE	TWR	118.4   M	120.2   M	E			L	004000AMSL	SURFACE		200501
KD00182	07	ASW TX E5 DEL RIO	KDLF	APP	WGE	WGE	APP	119.6   M	259.1   M	E			L	018000AMSL	00700AGL		200510
KD00183	07	ASW TX E5 DUMAS	KDUX	ALBUQUERQUE CNTR	WGE	WGE	ALBUQUERQUE CNTR	127.85  M	351.7   M	E			L	018000AMSL	00700AGL		200505
KD00184	07	AGL MI E5 DETROIT	KDTW	APP	WGE	WGE	APP	124.05  M	363.2   M	E			L	018000AMSL	00700AGL		200505
KD00185	07	ANE CT E5 DANBURY	KDXR	NEW YORK APP	WGE	WGE	NEW YORK APP	126.4   M		E			L	018000AMSL	00700AGL		200505
KD00200	06	ANM CO E5 DENVER 1200	KDEN	APP	WGE	WGE	APP	119.3   M	381.5   M	E	Y	EXCLUDING AIRSPACE WITHIN FEDERAL AIRWAYS SYSTEM	L	018000AMSL	01200AGL		200511
KD00201	06	ANM CO E5 DURANGO 1200	KDRO	DENVER CNTR	WGE	WGE	DENVER CNTR	118.575 M		E	Y	EXCLUDING AIRSPACE WITHIN FEDERAL AIRWAYS SYSTEM	L	018000AMSL	01200AGL		200511
KD00202	06	AGL ND E5 DICKINSON 1200	KDIK	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	135.2   M		E			L	018000AMSL	01200AGL		200511
KD00203	06	ANM MT E5 DILLON 1200	KDLN	SALT LAKE CITY CNTR	WGE	WGE	SALT LAKE CNTR	132.4   M	338.3   M	E			L	018000AMSL	01200AGL		200511
KD00204	06	ANM MT E5 DILLON 11700	KDLN	SALT LAKE CITY CNTR	WGE	WGE	SALT LAKE CNTR	132.4   M	338.3   M	E			L	018000AMSL	11700AMSL		200511
KD00205	06	ANM UT E5 DELTA 1200	KDTA	SALT LAKE CITY CNTR	WGE	WGE	CEDAR CITY RDO	122.1   M		E			L	018000AMSL	01200AGL		200512
KD00206	06	ANM WY E5 DOUGLAS 1200	KDGW	FAA, DENVER ARTCC	WGE	WGE	DENVER CNTR	135.6   M	385.6   M	E	Y	EXCLUDING AIRSPACE WITHIN FEDERAL AIRWAYS SYSTEM	L	018000AMSL	01200AGL		200512
KD00207	06	AWP AZ E5 DOUGLAS 1200	KDUG	ALBUQUERQUE CNTR	WGE	WGE	ALBUQUERQUE CNTR	132.65  M	357.6   M	E			L	018000AMSL	01200AGL		200513
KD00208	06	AGL ND E5 DEVILS LAKE 1200	KDVL	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	127.6   M		E			L	018000AMSL	01200AGL		200601
KE00001	07	AGL WI E2 EAU CLAIRE	KEAU	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	125.3   M	335.6   M	E			L	000700AGL	SURFACE		200501
KE00002	11	AEA PA D ERIE	KERI	TWR	WGE	WGE	TWR	118.1   M	257.8   M	D	Y	1100-0500Z++. OT CLASS E.	L	003200AMSL	SURFACE		200511
KE00003	11	ASW OK D ENID VANCE AFB	KEND	TWR	WGE	WGE	TWR	124.05  M	257.2   M	D	Y	REVERTS TO CLASS E WHEN TOWER IS CLOSED.	L	003800AMSL	SURFACE		200511
KE00004	07	ACE KS E2 EMPORIA	KEMP	KANSAS CITY CNTR	WGE	WGE	KANSAS CITY CNTR	127.725 M	270.25  M	E			L	000700AGL	SURFACE		200501
KE00005	07	AGL WI E4 KENOSHA	KENW	TWR	WGE	WGE	TWR	118.6   M	353.6   M	E			L	003200AMSL	SURFACE		200501
KE00006	07	ASO GA E5 EASTMAN	KEZM	JAX CNTR	WGE	WGE	JAX CNTR	132.3   M	290.4   M	E			L	018000AMSL	00700AGL		200505
KE00007	11	ASO NC D ELIZABETH CITY	KECG	TWR	WGE	WGE	TWR	120.5   M	355.6   M	D	Y	CLASS D SVC 1200-0300Z++, OT CLASS E.	L	002500AMSL	SURFACE		200511
KE00008	11	ASO FL D EGLIN AF AUX NO. 3 DUKE FLD	KEGI	TWR	WGE	WGE	TWR	133.2   M	132.1   M	D	Y	REVERTS TO CLASS E WHEN TOWER IS CLOSED. CLASS G BELOW 700' AGL.	L	002700AMSL	SURFACE		200511
KE00009	07	ASW AR E2 EL DORADO	KELD	FORT WORTH CNTR	WGE	WGE	FORT WORTH CNTR	128.2   M	269.1   M	E			L	000700AGL	SURFACE		200501
KE00010	07	ANM CO E2 EAGLE	KEGE	DENVER CNTR	WGE	WGE	DENVER CNTR	128.65  M	282.2   M	E			L	000700AGL	SURFACE		200501
KE00011	11	ANM CO D EAGLE	KEGE	TWR	WGE	WGE	TWR	119.8   M	128.65  M	D	Y	EFFECTIVE 1400-0200Z++, OT CLASS E.	L	009100AMSL	SURFACE		200511
KE00012	11	AWP CA D EDWARDS AFB	KEDW	TWR	WGE	WGE	TWR	120.7   M	318.1   M	D	Y	REVERTS TO CLASS E WHEN TOWER CLOSED. CLASS G BELOW 700' AGL.	L	004800AMSL	SURFACE		200511
KE00013	11	ANE MA D NEW BEDFORD	KEWB	TWR	WGE	WGE	TWR	118.1   M	128.7   M	D	Y	CLASS D AIRSPACE EFF 1200-0300Z++, OT CLASS G. CLASS G BELOW 700' AGL	L	002600AMSL	SURFACE		200511
KE00014	07	ASO NC E2 NEW BERN	KEWN	CHERRY POINT APP	WGE	WGE	CHERRY POINT APP	119.35  M	124.1   M	E			L	000700AGL	SURFACE		200501
KE00015	07	ASO NC E4 ELIZABETH CITY A	KECG	TWR	WGE	WGE	TWR	120.5   M	355.6   M	E			L	002500AMSL	SURFACE		200501
KE00016	07	ASO NC E4 ELIZABETH CITY B	KECG	TWR	WGE	WGE	TWR	120.5   M	355.6   M	E			L	002500AMSL	SURFACE		200501
KE00017	07	ASO NC E4 ELIZABETH CITY C	KECG	TWR	WGE	WGE	TWR	120.5   M	355.6   M	E			L	002500AMSL	SURFACE		200501
KE00018	07	ACE NE E2 KEARNEY	KEAR	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	119.4   M	287.9   M	E			L	000700AGL	SURFACE		200501
KE00019	07	ANM WA E2 EPHRATA	KEPH	SEATTLE CNTR	WGE	WGE	SEATTLE CNTR	126.1   M	126.6   M	E			L	000700AGL	SURFACE		200501
KE00020	07	ANM WA E2 WENATCHEE	KEAT	SEATTLE CNTR	WGE	WGE	SEATTLE CNTR	126.1   M	291.6   M	E			L	000700AGL	SURFACE		200501
KE00021	07	AEA PA E2 ERIE	KERI	CLEVELAND CNTR	WGE	WGE	CLEVELAND CNTR	132.4   M	128.45  M	E			L	000700AGL	SURFACE		200501
KE00022	07	AWP CA E2 NEEDLES	KEED	LOS ANGELES CNTR	WGE	WGE	LOS ANGELES CNTR	134.65  M	360.65  M	E			L	000700AGL	SURFACE		200501
KE00023	07	AEA WV E2 ELKINS	KEKN	CLARKSBURG APP	WGE	WGE	CLARKSBURG APP	121.15  M	269.375 M	E	Y	CLASS E AIRSPACE 1200-0400Z++, OT CLASS G.	L	000700AGL	SURFACE		200501
KE00024	07	AGL MI E2 ESCANABA	KESC	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	127.65  M		E			L	000700AGL	SURFACE		200501
KE00025	07	AGL WI E2 KENOSHA	KENW	MILWAUKEE APP	WGE	WGE	MILWAUKEE APP	119.65  M	120.15  M	E			L	000700AGL	SURFACE		200501
KE00026	11	ASO FL D KEY WEST	KEYW	TWR	WGE	WGE	TWR	118.2   M	124.45  M	D	Y	CLASS D AIRSPACE EFF 1200-0200Z++, OT CLASS G.	L	002500AMSL	SURFACE		200511
KE00027	07	ASW OK E5 ELK CITY	KELK	FORT WORTH CNTR	WGE	WGE	FORT WORTH CNTR	128.4   M	290.2   M	E			L	018000AMSL	00700AGL		200505
KE00028	07	ASW OK E5 ENID	KEND	VANCE APP	WGE	WGE	VANCE APP	118.075 M	119.775 M	E			L	018000AMSL	00700AGL		200505
KE00029	07	AEA VA E5 EMPORIA	KEMV	WASHINGTON CNTR	WGE	WGE	WASHINGTON CNTR	132.025 M		E			L	018000AMSL	00700AGL		200505
KE00030	07	AEA PA E5 ERIE	KERI	ERIE APP	WGE	WGE	ERIE APP	121.0   M		E			L	018000AMSL	00700AGL		200505
KE00031	07	AWP NV E5 ELKO	KEKO	SALT LAKE CITY APP	WGE	WGE	SALT LAKE CITY APP	132.25  M	338.35  M	E			L	018000AMSL	00700AGL		200513
KE00032	07	AWP NV E5 ELY	KELY	SALT LAKE CNTR	WGE	WGE	SALT LAKE CNTR	132.25  M	338.35  M	E			L	018000AMSL	00700AGL		200505
KE00033	07	ACE IA E5 WEBSTER CITY	KEBS	MINNEAPOLIS ARTCC	WGE	WGE	MINNEAPOLIS CNTR	134.0   M	288.3   M	E			L	018000AMSL	00700AGL		200505
KE00034	07	ACE IA E5 JEFFERSON	KEFW	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	134.0   M	288.3   M	E			L	018000AMSL	00700AGL		200505
KE00035	07	ACE IA E5 KEOKUK	KEOK	KANSAS CITY CNTR	WGE	WGE	KANSAS CITY CNTR	135.525 M	319.9   M	E			L	018000AMSL	00700AGL		200505
KE00036	07	ACE IA E5 ESTHERVILLE	KEST	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	127.75  M	257.7   M	E			L	018000AMSL	00700AGL		200505
KE00037	07	ACE IA E5 EMMETSBURG	KEGQ	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	127.75  M	257.7   M	E			L	018000AMSL	00700AGL		200505
KE00038	07	ACE IA E5 EAGLE GROVE	KEAG	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	134.0   M	288.3   M	E			L	018000AMSL	00700AGL		200505
KE00039	07	AGL MN E5 WHEATON	KETH	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	126.1   M		E			L	018000AMSL	00700AGL		200505
KE00040	07	AGL MN E5 EVELETH	KEVM	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	127.9   M		E			L	018000AMSL	00700AGL		200505
KE00041	07	ANM WA E5 ELLENSBURG	KELN	SALT LAKE CNTR	WGE	WGE	SALT LAKE CNTR	132.6   M	269.35  M	E			L	018000AMSL	00700AGL		200505
KE00042	07	ANM WY E5 EVANSTON	KEVW	SALT LAKE CITY CNTR	WGE	WGE	SALT LAKE CNTR	127.7   M	387.05  M	E			L	018000AMSL	00700AGL		200505
KE00043	07	ASW OK E4 ENID VANCE AFB	KEND	TWR	WGE	WGE	TWR	124.05  M	257.2   M	E			L	003800AMSL	SURFACE		200501
KE00044	07	ASO FL E5 KEY WEST	KEYW	MIAMI CNTR	WGE	WGE	MIAMI CNTR	132.2   M		E			L	018000AMSL	00700AGL		200505
KE00045	07	ASO FL E5 NEW SMYRNA BEACH	KEVB	DAYTONA APP	WGE	WGE	DAYTONA APP	125.35  M		E			L	018000AMSL	00700AGL		200505
KE00046	07	AGL MN E5 ELY	KELO	PRINCETON FSS	WGE	WGE	PRINCETON RDO	122.1   M	255.4   M	E			L	018000AMSL	00700AGL		200505
KE00047	07	ASO AL E5 ALABASTER	KEET	BIRMINGHAM APP	WGE	WGE	BIRMINGHAM APP	123.8   M		E			L	018000AMSL	00700AGL		200505
KE00048	07	ASO KY E5 ELIZABETHTOWN	KEKX	LOUISVILLE APP	WGE	WGE	LOUISVILLE APP	123.675 M	130.075 M	E			L	018000AMSL	00700AGL		200505
KE00049	07	ASO AL E5 EUFAULA	KEUF	ATLANTA APP	WGE	WGE	ATLANTA APP	120.45  M	357.6   M	E			L	018000AMSL	00700AGL		200505
KE00050	07	AGL IN E5 EVANSVILLE	KEVV	APP	WGE	WGE	APP	126.4   M		E			L	018000AMSL	00700AGL		200505
KE00051	07	ASO KY E5 HENDERSON	KEHR	EVANSVILLE APP	WGE	WGE	EVANSVILLE APP	126.4   M		E			L	018000AMSL	00700AGL		200505
KE00052	07	ASO KY E5 MONTICELLO	KEKQ	INDIANAPOLIS CNTR	WGE	WGE	INDIANAPOLIS CNTR	121.325 M		E			L	018000AMSL	00700AGL		200505
KE00053	07	ASO NC E5 LEXINGTON	KEXX	GREENSBORO APP	WGE	WGE	GREENSBORO APP	118.5   M		E			L	018000AMSL	00700AGL		200505
KE00054	07	ASO NC E5 EDENTON	KEDE	WASHINGTON CNTR	WGE	WGE	WASHINGTON CNTR	123.85  M		E			L	018000AMSL	00700AGL		200505
KE00055	07	ASO NC E5 TARBORO	KETC	WASHINGTON CNTR	WGE	WGE	WASHINGTON CNTR	135.3   M		E			L	018000AMSL	00700AGL		200505
KE00056	07	ASO NC E5 NEW BERN	KEWN	CHERRY POINT APP	WGE	WGE	CHERRY POINT APP	119.35  M	374.9   M	E			L	018000AMSL	00700AGL		200505
KE00057	07	ASO NC E5 SHELBY	KEHO	CHARLOTTE APP	WGE	WGE	CHARLOTTE APP	134.75  M	257.2   M	E			L	018000AMSL	00700AGL		200505
KE00058	07	ASO NC E5 MONROE	KEQY	CHARLOTTE APP	WGE	WGE	CHARLOTTE APP	120.05  M	307.8   M	E			L	018000AMSL	00700AGL		200505
KE00059	07	ASO NC E5 ELIZABETH CITY	KECG	NORFOLK APP	WGE	WGE	NORFOLK APP	119.55  M	269.42  M	E			L	018000AMSL	00700AGL		200505
KE00060	07	AEA WV E5 ELKINS	KEKN	WASHINGTON CNTR	WGE	WGE	WASHINGTON CNTR	128.6   M		E			L	018000AMSL	00700AGL		200505
KE00061	07	AEA MD E5 EASTON	KESN	POTOMAC APP	WGE	WGE	POTOMAC APP	124.55  M	317.425 M	E			L	018000AMSL	00700AGL		200505
KE00062	11	ASO NC D NEW BERN	KEWN	TWR	WGE	WGE	TWR	124.25  M	374.9   M	D	Y	CLASS D EFF 1100-0300Z++; OT CLASS E.	L	002500AMSL	SURFACE		200511
KE00063	07	ASO NC E4 NEW BERN A	KEWN	TWR	WGE	WGE	TWR	124.25  M		E	Y	REVERTS TO CLASS G BELOW 700' WHEN TOWER IS CLOSED.	L	002500AMSL	SURFACE		200501
KE00064	07	ASO NC E4 NEW BERN B	KEWN	TWR	WGE	WGE	TWR	124.25  M		E	Y	REVERTS TO CLASS G BELOW 700' WHEN TOWER IS CLOSED.	L	002500AMSL	SURFACE		200501
KE00065	07	ANE ME E5 EASTPORT	KEPM	BOSTON CNTR	WGE	WGE	BOSTON CNTR	124.25  M		E			L	018000AMSL	00700AGL		200505
KE00066	07	ANE NH E5 KEENE	KEEN	BOSTON CNTR	WGE	WGE	BOSTON CNTR	123.75  M		E			L	018000AMSL	00700AGL		200505
KE00067	07	ASW AR E5 EL DORADO	KELD	FORT WORTH CNTR	WGE	WGE	FORT WORTH CNTR	128.2   M	269.1   M	E			L	018000AMSL	00700AGL		200505
KE00068	07	ANM OR E5 EUGENE	KEUG	CASCADE APP	WGE	WGE	CASCADE APP	119.6   M	348.7   M	E			L	018000AMSL	00700AGL		200505
KE00069	07	ANM WY E5 KEMMERER	KEMM	SALT LAKE CITY CNTR	WGE	WGE	SALT LAKE CNTR	124.35  M	353.5   M	E			L	018000AMSL	00700AGL		200505
KE00070	07	ANM UT E5 WENDOVER	KENV	SALT LAKE CITY CNTR	WGE	WGE	CEDAR CITY RDO	122.1   M		E			L	018000AMSL	00700AGL		200505
KE00071	07	ANM WA E5 WENATCHEE	KEAT	SEATTLE CNTR	WGE	WGE	SEATTLE CNTR	126.1   M	291.6   M	E			L	018000AMSL	00700AGL		200505
KE00072	07	ANM WY E5 NEWCASTLE	KECS	DENVER CNTR	WGE	WGE	DENVER CNTR	127.95  M	338.2   M	E			L	018000AMSL	00700AGL		200505
KE00073	07	AGL SD E5 BELLE FOURCHE	KEFC	DENVER CNTR	WGE	WGE	DENVER CNTR	127.95  M		E			L	018000AMSL	00700AGL		200505
KE00074	07	AWP CA E5 EDWARDS AFB	KEDW	SPORT APP	WGE	WGE	SPORT APP	132.75  M	343.7   M	E			L	018000AMSL	00700AGL		200505
KE00075	07	AEA NY E5 WELLSVILLE	KELZ	CLEVELAND CNTR	WGE	WGE	CLEVELAND CNTR	125.875 M	338.35  M	E			L	018000AMSL	00700AGL		200505
KE00076	07	ACE NE E5 KEARNEY	KEAR	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	119.4   M	278.8   M	E			L	018000AMSL	00700AGL		200505
KE00077	07	ANM CO E5 MEEKER	KEEO	DENVER CNTR	WGE	WGE	DENVER CNTR	134.5   M		E			L	018000AMSL	00700AGL		200505
KE00078	07	AGL WI E5 EAGLE RIVER	KEGV	MINNEAPOLIS CNTR	WGE	WGE	MINNEAPOLIS CNTR	133.65  M		E			L	018000AMSL	00700AGL		200505
