ARF_IDENT	DIRECTION	ICAO	TYPE	CTRY	LOC_HDATUM	WGS_DATUM	PRI_FREQ	BKP_FREQ	APN_CODE	APX_CODE	RECEIVER	TANKER	ALT1_DESC	REFUEL1_ALT1	REFUEL1_ALT2	ALT2_DESC	REFUEL2_ALT1	REFUEL2_ALT2	ALT3_DESC	REFUEL3_ALT1	REFUEL3_ALT2	SCH_UNIT	ATC	CYCLE_DATE
AR255H	E	KZOA	T	US	WGE	WGE	283.900	319.500	111	21	30	093	BT	FL250	FL330							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-306.2E EXIT-133.375E	200507
AR255H	W	KZOA	T	US	WGE	WGE	283.900	319.500	111	21	30	093	BT	FL250	FL330							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-306.2W EXIT-133.375W	200507
AR255L	E	KZOA	T	US	WGE	WGE	366.300	319.500	112	31	31	094	BT	17000	FL230							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-387.1E EXIT-134.15E	200507
AR255L	W	KZOA	T	US	WGE	WGE	366.300	319.500	112	31	31	094	BT	17000	FL230							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-387.1W EXIT-134.15W	200507
AR302	E	KZHU	T	US	WGE	WGE	366.300	260.200	123	61	52	115	BT	08000	14000	BT	FL190	FL230	BT	FL250	FL310	2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036) 318-456-3828/5396	Houston ARCP-281.5E EXIT-291.7E ARCP-285.6E EXIT-322.4E	200410
AR302	W	KZHU	T	US	WGE	WGE	366.300	260.200	123	61	52	115	BT	08000	14000	BT	FL190	FL230	BT	FL250	FL310	2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036) 318-456-3828/5396	Houston ARCP-281.5W EXIT-343.9W ARCP-285.6W EXIT-317.5W	200410
AR304AV		KZSE	T	US	WGE	WGE							BT	03100	05000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Seattle ARCP-	200412
AR304BV		KZSE	T	US	WGE	WGE							BT	03100	05000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Seattle ARCP-	200412
AR305AV		KZSE	T	US	WGE	WGE							BT	01500	06000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Seattle ARIP-	200412
AR305BV		KZSE	T	US	WGE	WGE							BT	01500	06000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Seattle	200412
AR306AV		KZSE	T	US	WGE	WGE							BT	01000	05000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Seattle ARIP-	200412
AR306BV		KZSE	T	US	WGE	WGE							BT	01000	05000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Seattle ARCP-	200412
AR307A	E	KZSE	T	US	WGE	WGE	264.900	238.900	230	61	29	092	BT	FL190	FL220							62 OSS/OSO McChord AFB, WA 382-9925 (During non-duty hours, contact McChord Comm	Seattle ARCP-288.1E EXIT-338.3E	200411
AR307B	W	KZSE	T	US	WGE	WGE	264.900	238.900	230	61	29	092	BT	FL190	FL220							62 OSS/OSO McChord AFB, WA 382-9925 (During non-duty hours, contact McChord Comm	Seattle ARCP-338.3W EXIT-257.6W	200411
AR307C		KZSE	T	US	WGE	WGE	264.900	238.900	230	61	29	092	BT	FL190	FL220							62 OSS/OSO McChord AFB, WA 382-9925 253-982-9925	Seattle ARCP-288.1E EXIT-257.6E	200411
AR309	E	KZKC	T	US	WGE	WGE	283.900	260.200	131	21	33	096	BT	FL240	FL270							509 OSS/OSOS Whiteman AFB, MO 975-1713/1754	Kansas City ARCP-263.1E EXIT-279.6E	200410
AR309	W	KZKC	T	US	WGE	WGE	283.900	260.200	131	21	33	096	BT	FL240	FL270							509 OSS/OSOS Whiteman AFB, MO 975-1713/1754	Kansas City ARCP-285.4W EXIT-263.1W	200410
AR310	E	KZAB	T	US	WGE	WGE	352.600	319.500	121	61	52	115	BT	FL210	FL260	BT	FL270	FL290				49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARCP-251.15E ARCP-307.2E EXIT-284.6E	200605
AR310	W	KZAB	T	US	WGE	WGE	352.600	319.500	121	61	52	115	BT	FL210	FL260	BT	FL270	FL290				49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARCP-284.6W EXIT-307.2W EXIT-251.15W	200605
AR312H		KZAB	T	US	WGE	WGE	284.075	312.225	111	21	53	116	BT	FL240	FL260							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Albuquerque ARCP-351.7W EXIT-351.7W	200411
AR312L		KZAB	T	US	WGE	WGE	291.900	260.200	132	61	51	114	BT	FL200	FL220							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Albuquerque ARCP-351.7W EXIT-351.7W	200411
AR313	N	KZFW	T	US	WGE	WGE	352.600	260.200	131	21	50	113	BT	FL180	FL220							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Fort Worth ARCP-285.5W EXIT-291.7W	200411
AR313	S	KZFW	T	US	WGE	WGE	352.600	260.200	131	21	50	113	BT	FL180	FL220							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Fort Worth ARCP-291.7E EXIT-285.5E	200411
AR313A	N	KZHU	T	US	WGE	WGE	352.600	260.200	131	21	50	113	BT	FL190	FL220							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Houston ARCP-278.55W Fort Worth EXIT-291.7W	200411
AR313A	S	KZFW	T	US	WGE	WGE	352.600	260.200	131	21	50	113	BT	FL190	FL220							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Fort Worth ARCP-291.7E Houston EXIT-278.55E	200411
AR314	E	KZAB	T	US	WGE	WGE	295.800	319.500	122	51	50	113	BT	FL240	FL310							552 OSS/OSOS Tinker AFB, OK 884-1203/1204 405-734-1203/1204	Albuquerque ARCP-346.35E ARCP-239.25E EXIT-351.7E EXIT-385.65E ARCP-351.7W ARCP	200410
AR314	W	KZAB	T	US	WGE	WGE	295.800	319.500	122	51	50	113	BT	FL240	FL310							552 OSS/OSOS Tinker AFB, OK 884-1203/1204 405-734-1203/1204	Albuquerque ARCP-346.35E ARCP-239.25E EXIT-351.7E EXIT-385.65E ARCP-351.7W ARCP	200410
AR315	E	KZID	T	US	WGE	WGE	295.400	319.700	112	51	33	096	BT	FL190	FL220							121 ARW Rickenbacker IAP, OH 696-4661/3246	Indianapolis ARCP-353.65E EXIT-257.85E	200411
AR315	W	KZTL	T	US	WGE	WGE	295.400	319.700	112	51	33	096	BT	FL190	FL220							121 ARW Rickenbacker IAP, OH 696-4661/3246	Indianapolis ARCP-317.67W EXIT-291.62W	200411
AR318	E	KZKC	T	US	WGE	WGE	295.800	260.200	132	41	50	113	BT	FL190	FL220							126th ARW Illinois ANG 760-4263/4255	Kansas City ARCP-343.7E Chicago EXIT-353.5E	200411
AR318	W	KZKC	T	US	WGE	WGE	295.800	260.200	132	41	50	113	BT	FL190	FL220							126th ARW Illinois ANG 760-4263/4255	Kansas City ARCP-370.9W EXIT-343.7W	200411
AR321		KZAU	T	US	WGE	WGE	276.500	282.700	121	51	33	096	BT	FL250	FL280							128th ARW, WIANG, General Mitchell Intl, Milwaukee, WI 580-8701 (After duty hr 1	Chicago ARCP-263W EXIT-263W	200411
AR324		TJZS	T	RQ	WGE	WGE	288.700	389.000	222	31	51	114	BT	FL200	FL250							156 AW (PRANG) MUNIZ ANGB 200 JOSE A. (TONY) SANTANA AVE. CAROLINA PR 00979-1502	San Juan ARCP- EXIT-	200411
AR328		KZTL	T	US	WGE	WGE	235.100	319.700	111	41	50	113	BT	FL180	FL230							134th ARW McGhee Tyson ANGB, Knoxville, TN 266-4371/4390/4396	Atlanta ARCP-319.9W EXIT-319.9W	200605
AR330	E	KZKC	T	US	WGE	WGE	305.500	260.200	112	41	52	115	BT	FL180	FL220							184 ARW Kansas ANG McConnell AFB, KS 743-7187 (1330-2215Z++ wkd)	Kansas City ARCP-337.4E EXIT-327E	200410
AR330	W	KZKC	T	US	WGE	WGE	305.500	260.200	112	41	52	115	BT	FL180	FL220							184 ARW Kansas ANG McConnell AFB, KS 743-7187 (1330-2215Z++ wkd)	Kansas City ARCP-327W EXIT-269.4W	200410
AR332	NW	TJZS	T	RQ	WGE	WGE	358.400	389.000	111	21	50	113	BT	FL200	FL250							156 AW (PRANG) MUNIZ ANGB 200 JOSE A. (TONY) SANTANA AVE. CAROLINA PR 00979-1502	San Juan ARCP- EXIT-	200411
AR332	SE	TJZS	T	RQ	WGE	WGE	358.400	389.000	111	21	50	113	BT	FL200	FL250							156 AW (PRANG) MUNIZ ANGB 200 JOSE A. (TONY) SANTANA AVE. CAROLINA PR 00979-1502	San Juan ARCP- EXIT-	200411
AR355		KZSE	T	US	WGE	WGE	320.900	238.900	221	31	29	092	BT	FL260	FL280							55 OSS/OST, Offutt AFB, NE (312) 271-5109/5009/2077 (1330-2230Z++ wkd) 402-294-5	Seattle ARCP- EXIT-	200602
AR356		KZSE	T	US	WGE	WGE	320.900	238.900	221	31	29	092	BT	FL260	FL280							55 OSS/OST, Offutt AFB, NE (312) 271-5109/5009/2077 402-294-5109/5009/2077	Seattle ARCP- EXIT-	200602
AR3H	E	KZLA	T	US	WGE	WGE	344.700	339.200	111	21	30	093	BT	FL240	FL270							60 OSS/AO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Los Angeles ARIP-323.2E Denver ARCP-386.8E NAV CHK PT-386.8E EXIT-290.4E	200410
AR3H	W	KZDV	T	US	WGE	WGE	344.700	339.200	111	21	30	093	BT	FL240	FL270							60 OSS/AO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Denver ARIP-290.4W ARCP-386.8W NAV CHK PT-386.8W Los Angeles EXIT-323.2W	200410
AR3L		KZDV	T	US	WGE	WGE	235.100	319.500	112	31	31	094	BT	FL190	FL230							151 AREFG Salt Lake City, UT 245-2274/2273 801-245-2274/2273	Denver ARCP-343.7W EXIT-343.7W	200410
AR400	N	KZKC	T	US	WGE	WGE	228.250	364.325	312	61	31	094	BT	FL240	FL260							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Kansas City ARCP-281.4W Denver EXIT-397.85W	200411
AR400	S	KZKC	T	US	WGE	WGE	228.250	364.325	312	61	31	094	BT	FL240	FL260							97 OSS/OSOS Altus AFB, OK 866-7849/7848	Denver ARCP-288.35E Kansas City EXIT-387.1E	200411
AR406H	E	KZMP	T	US	WGE	WGE	396.200	297.300	312	31	59	122	BT	FL260	FL280							55th OSS/OSOS Offutt AFB, NE 271-6010 402-294-6010	Minneapolis ARCP-135.1/307.2 EXIT-132.725E/284.625E	200511
AR406H	W	KZMP	T	US	WGE	WGE	396.200	297.300	312	31	59	122	BT	FL260	FL280							55th OSS/OSOS Offutt AFB, NE 271-6010 402-294-6010	Minneapolis ARCP-135.1/307.2 EXIT-135.1W/307.2W	200511
AR406L	E	KZMP	T	US	WGE	WGE	297.300	396.200	312	31	59	122	BT	FL200	FL220							55th OSS/OSOS Offutt AFB, NE 271-6010 402-294-6010	Minneapolis ARCP-128.75/346.3 EXIT-119.6E/290.4E	200511
AR406L	W	KZMP	T	US	WGE	WGE	297.300	396.200	312	31	59	122	BT	FL200	FL220							55th OSS/OSOS Offutt AFB, NE 271-6010 402-294-6010	Minneapolis ARCP-128.75/346.3 EXIT-128.75W/346.3W	200511
AR40V	E	KZJX	T	US	WGE	WGE	273.750	374.225					BT	1000	4000							347 OSS/OSOS Moody AFB, GA 460-4544 229-257-4544	Jacksonville ARCP-	200412
AR40V	W	KZJX	T	US	WGE	WGE	273.750	374.225					BT	1000	4000							347 OSS/OSOS Moody AFB, GA 460-4544 229-257-4544	Jacksonville ARCP-	200412
AR41V	N	KZJX	T	US	WGE	WGE	230.050	319.050					BT	1000	4000							347 Wg Det 1 RO MacDill AFB, FL 968-4643 813-828-4643	Jacksonville ARCP-	200412
AR41V	S	KZJX	T	US	WGE	WGE	230.050	319.050					BT	1000	4000							347 Wg Det 1 RO MacDill AFB, FL 968-4643 813-828-4643	Jacksonville ARCP-	200412
AR42V	E	KZJX	T	US	WGE	WGE	239.725	309.950					BT	1000	4000							347 OSS/OSOS Moody AFB, GA 460-4544 229-257-4544	Jacksonville ARIP-	200412
AR42V	W	KZJX	T	US	WGE	WGE	239.725	309.950					BT	1000	4000							347 OSS/OSOS Moody AFB, GA 460-4544 229-257-4544	Jacksonville ARIP-	200412
AR452	NE	KZOA	T	US	WGE	WGE	361.700	384.600	123	41	29	092	BT	FL240	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Oakland / Salt Lake City ARCP-269E EXIT-290.5E	200411
AR452	SW	KZOA	T	US	WGE	WGE	361.700	384.600	123	41	29	092	BT	FL240	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Oakland / Salt Lake City ARCP-290.5W EXIT-269W	200411
AR453		KZMP	T	US	WGE	WGE	291.900	320.900	112	61	51	114	BT	FL210	FL230	BT	FL260	FL280	BT	FL310	FL330	55WG Offutt AFB, NE 271-3430 402-294-3430	Minneapolis ARCP-270.3W EXIT-270.3W	200602
AR455	E	KZKC	T	US	WGE	WGE	336.100	291.900	131	51	29	092	BT	FL250	FL270							552 OSS/OSOS Tinker AFB, OK 884-1203/1204 405-734-1203/1204	Indianapolis ARCP-293.22E EXIT-290.55E	200410
AR455	W	KZKC	T	US	WGE	WGE	336.100	291.900	131	51	29	092	BT	FL250	FL270							552 OSS/OSOS Tinker AFB, OK 884-1203/1204 405-734-1203/1204	Indianapolis ARCP-290.55W EXIT-377.12W	200410
AR462		KZOA	T	US	WGE	WGE	318.000	384.600	122	51	29	092	BT	FL240	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Oakland ARCP-134.97E/379.2E EXIT-132.25E/352E	200411
AR4A	N	KZSE	T	US	WGE	WGE	344.700	292.600	113	41	32	095	BT	FL280	FL310							366 OSS/OSOS Mt. Home AFB, ID 728-2172 208-828-2172	Seattle ARCP-290.5E EXIT-251.1E	200410
AR4A	S	KZSE	T	US	WGE	WGE	344.700	292.600	113	41	32	095	BT	FL280	FL310							366 OSS/OSOS Mt. Home AFB, ID 728-2172 208-828-2172	Seattle ARCP-251.1W EXIT-290.5W	200410
AR4B	N	KZSE	T	US	WGE	WGE	235.100	292.600	114	51	33	096	BT	FL280	FL310							366 OSS/OSOS Mt. Home AFB, ID 728-2172 208-828-2172	Seattle ARCP-290.5E EXIT-251.1E	200410
AR4B	S	KZSE	T	US	WGE	WGE	235.100	292.600	114	51	33	096	BT	FL280	FL310							366 OSS/OSOS Mt. Home AFB, ID 728-2172 208-828-2172	Seattle ARCP-251.1W EXIT-290.5W	200410
AR505	E	PAZA	T	US	WGE	WGE	315.900	263.900	111	21	52	115	BT	FL210	FL230	BT	FL240	FL260				168 ARS/DOO Eielson AFB, AK 317-377-8812 (After duty hours 317-377-8800) 907-377	Anchorage ARIP-372E/125.2E ARCP-353.8E/128.1E EXIT-285.4E/133.1E	200411
AR505	W	PAZA	T	US	WGE	WGE	315.900	263.900	111	21	52	115	BT	FL210	FL230	BT	FL240	FL260				168 ARS/DOO Eielson AFB, AK 317-377-8812 (After duty hours 317-377-8800) 907-377	Anchorage ARIP-284.7W/135W ARCP-285.4W/133.1W EXIT-353.8W/128.1W	200411
AR506	N	PAZA	T	US	WGE	WGE	288.800	263.900	111	21	30	093	BT	FL240	FL310							168 ARS/DOO Eielson AFB, AK 317-377-8812 (After hours 317-377-8800) 907-377-8812	Anchorage ARCP-323W/127.1W EXIT-323W/127.1W	200411
AR506	S	PAZA	T	US	WGE	WGE	288.800	263.900	111	21	30	093	BT	FL240	FL310							168 ARS/DOO Eielson AFB, AK 317-377-8812 (After hours 317-377-8800) 907-377-8812	Anchorage ARCP-323E/127.1E EXIT-323E/263.1E/127.1E/119E	200411
AR507	E	PAZA	T	US	WGE	WGE	270.200	263.900	121	31	31	094	BT	FL240	FL270							168 ARS/DOO Eielson AFB, AK 317-377-8812 (After hours 317-377-8800) 907-377-8812	Anchorage ARCP-269.4E/133.6E EXIT-335.5E/126.6E	200411
AR507	W	PAZA	T	US	WGE	WGE	270.200	263.900	121	31	31	094	BT	FL240	FL270							168 ARS/DOO Eielson AFB, AK 317-377-8812 (After hours 317-377-8800) 907-377-8812	Anchorage ARCP-335.5W/126.6W EXIT-269.4W/133.6W	200411
AR508E		PAZA	T	US	WGE	WGE	288.800	263.900	111	21	30	093	BT	FL240	FL290							168 ARS/DOO Eielson AFB, AK 317-377-8812 (After hours 317-377-8800) 907-377-8812	Anchorage ARCP-288.3E/132.9E EXIT-288.3E/132.9E	200503
AR508W		PAZA	T	US	WGE	WGE	288.800	263.900	111	21	30	093	BT	FL240	FL290							168 ARS/DOO Eielson AFB, AK 317-377-8812 (After hours 317-377-8800) 907-377-8812	Anchorage ARIP-288.3W/132.9W ARCP-288.3W/132.9W EXIT-338.3W/127.8W	200411
AR5H	E	KZOA	T	US	WGE	WGE	283.900	319.500	111	21	30	093	BT	FL250	FL330							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-306.2E EXIT-133.375E	200410
AR5H	W	KZOA	T	US	WGE	WGE	283.900	319.500	111	21	30	093	BT	FL250	FL330							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-306.2W EXIT-133.375W	200410
AR5L	E	KZOA	T	US	WGE	WGE	366.300	319.500	112	31	31	094	BT	17000	FL230							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-387.1E EXIT-134.15E	200410
AR5L	W	KZOA	T	US	WGE	WGE	366.300	319.500	112	31	31	094	BT	17000	FL230							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-387.1W EXIT-134.15W	200410
AR6	N	KZOA	T	US	WGE	WGE	352.600	319.500	120	41	50	113	BT	FL250	FL330							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-290.5W EXIT-290.3W	200410
AR6	S	KZOA	T	US	WGE	WGE	352.600	319.500	120	41	50	113	BT	FL250	FL330							60 OSS/OSO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Oakland ARCP-290.3E EXIT-290.5E	200410
AR600		KZJX	A	US	WGE	WGE	348.900	319.700	114	51	30	093	BT	FL240	FL280							20 OSS/OSOS Shaw AFB, SC 965-1118	Jacksonville ARCP-319.2 EXIT-319.2	200411
AR601		KZJX	A	US	WGE	WGE	283.900	319.700	122	21	33	096	BT	16000	FL260							20 OSS/OSOS Shaw AFB, SC 965-1118	Jacksonville ARCP-381.4 EXIT-381.4	200411
AR602		KZAB	A	US	WGE	WGE	295.400	319.500	123	21	30	093	BT	FL180	FL260							27th TFW Cannon AFB, NM 681-2276/2253 505-784-2276/2253	Albuquerque ARCP-319.1 EXIT-319.2	200411
AR603		KZAB	A	US	WGE	WGE	238.900	319.500	113	41	51	114	BT	FL240	FL280							56 RMO/AROS Luke AFB, AZ 896-7654 623-856-7654	Albuquerque ARCP-285.4 EXIT-285.4	200411
AR604		KZLC	A	US	WGE	WGE	276.500	292.600	122	61	51	114	BT	FL200	FL330							120FW Great Falls IAP, MT 791-0186 406-791-0186	Salt Lake City ARCP-285.4 EXIT-285.4	200505
AR606		KZMP	A	US	WGE	WGE	366.300	320.900	132	21	33	096	BT	FL240	FL270							W AD Sector McChord AFB, WA 382-4604/4605	Minneapolis ARCP-270.3 EXIT-270.3	200412
AR607		KZMP	A	US	WGE	WGE	235.100	320.900	114	61	52	115	AA	FL180								148 FG/DOS Duluth, MN 825-7268	Minneapolis ARCP-269 EXIT-269	200412
AR608		KZBW	A	US	WGE	WGE	343.500	282.700	121	21	32	095	BT	FL180	FL230							NE ADS/DOA Rome, NY 587-6247	Boston ARCP-307.3 EXIT-307.3	200412
AR609		KZBW	A	US	WGE	WGE	276.500	282.700	131	41	52	115	BT	FL180	FL280							NE ADS/DOA Rome, NY 587-6247	Boston ARCP-323 EXIT-323	200412
AR610A		KZLC	A	US	WGE	WGE	295.400	292.600	123	21	52	115	BT	FL190	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Salt Lake City ARCP-338.3 EXIT-338.3	200412
AR610B		KZLC	A	US	WGE	WGE	295.400	292.600	123	21	52	115	BT	FL190	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Salt Lake City ARCP-338.3 EXIT-338.3	200412
AR611A		KZLC	A	US	WGE	WGE	255.750	275.950	100	31	55	118	BT	FL190	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Salt Lake City ARCP-380.05 EXIT-380.05	200412
AR611B		KZLC	A	US	WGE	WGE	255.750	275.950	100	31	55	118	BT	FL190	FL260							366 OSS/OSOS Mt Home AFB, ID 728-2172 208-828-2172	Salt Lake City ARCP-380.05 EXIT-380.05	200412
AR613		KZAB	A	US	WGE	WGE	305.500	319.500	122	41	32	095	BT	FL180	FL280							162 FW Arizona ANG Tucson IAP, AZ 844-6366/6377	Albuquerque ARCP-327.15 EXIT-317.15	200412
AR614		KZHU	A	US	WGE	WGE	352.600	260.200	122	41	30	093	BT	FL250	FL270							99 FTS Randolph AFB, TX Mon-Fri 487-6746 Mon-Fri 210-652-6746	Houston ARCP-385.55 EXIT-385.55	200412
AR615		KZHU	A	US	WGE	WGE	295.400	260.200	122	51	33	096	BT	12000	16000							16 SOW Hurlburt Fld, FL 579-7812 904-884-7812	Houston ARCP-	200412
AR616A		KZBW	A	US	WGE	WGE	283.900	282.700	122	61	33	096	BT	FL180	FL230							NE ADS/DOA Rome, NY 587-6247	Boston ARCP-269.6 EXIT-269.6	200412
AR616B		KZBW	A	US	WGE	WGE	283.900	282.700	122	61	33	096	BT	FL180	FL230							NE ADS/DOA Rome, NY 587-6247	Boston ARCP-269.6 EXIT-269.6	200412
AR617		KZMA	A	US	WGE	WGE	324.600	319.700	113	41	32	095	BT	FL260	FL290							347 Rescue Wing, MacDill AFB, FL 968-4641 813-828-4641	Miami ARCP-281.4 EXIT-281.4	200412
AR618		KZMA	A	US	WGE	WGE	348.900	319.700	114	51	33	096	BT	FL260	FL290							347 Rescue Wing, MacDill AFB, FL 968-4641 813-828-4641	Miami ARCP-363.1 EXIT-363.1	200412
AR619		KZMP	A	US	WGE	WGE	238.900	320.900	120	31	31	094	BT	FL240	FL260							W AD Sector McChord AFB, WA 382-4604/4605	Minneapolis ARCP-270.3 EXIT-270.3	200412
AR62	E	CZCZ	T	CA	WGE	WGE	242.050	243.450	510	31	51	114	BT	FL210	FL280							62 OSS/OSO McChord AFB 382-9925, Comd Post 382-2635 253-982-9925	Montreal ACC ARCP-132.9E Gander ACC EXIT-135.4E	200507
AR62	W	CZCZ	T	CA	WGE	WGE	242.050	243.450	510	31	51	114	BT	FL210	FL280							62 OSS/OSO McChord AFB 382-9925, Comd Post 382-2635 253-982-9925	Gander ACC ARCP-135.4W Montreal ACC EXIT-132.9W	200507
AR620		KZMA	A	US	WGE	WGE	238.900	319.700	120	31	31	094	BT	FL190	FL220							347 Rescue Wing, MacDill AFB, FL 968-4641 813-828-4641	Miami ARCP-349 EXIT-349	200412
AR621		KZOA	A	US	WGE	WGE	344.700	319.500	113	21	29	092	BT	FL190	FL250							FACSFAC, SD 735-1757 619-545-1757	Oakland ARCP-335.6 EXIT-335.6	200412
AR623		KZAB	A	US	WGE	WGE	359.100	319.500	122	41	29	092	BT	FL190	FL220							7 OSS/OSTA Dyess AFB, TX 461-3665 915-696-3665	Albuquerque ARCP-351.7W EXIT-346.35W ARCP-346.36E EXIT-351.7E	200412
AR624		KZLA	A	US	WGE	WGE	366.300	319.500	123	61	32	095	BT	FL190	FL220							57 OSS/OSOS Nellis AFB, NV 682-2040 702-652-2040	Los Angeles ARCP- EXIT-124.2/343.6 EXIT-124.85/319.2 EXIT-135.25/306.3	200412
AR625H		KZOA	A	US	WGE	WGE	295.800	319.500	121	51	50	113	BT	FL230	FL250							57 OSS/OSOS Nellis AFB, NV 682-2040 702-652-2040	Oakland ARCP-319.8 EXIT-319.8	200412
AR625L		KZOA	A	US	WGE	WGE	291.900	319.500	130	41	33	096	BT	FL180	FL210							57 OSS/OSOS Nellis AFB, NV 682-2040 702-652-2040	Oakland ARCP-319.5 EXIT-319.8	200412
AR626		KZSE	A	US	WGE	WGE	235.100	292.600	113	41	52	115	BT	FL250	FL270							NAS Whidbey Island, (N38) Oak Harbor, WA 820-2877 360-257-2877	Seattle ARCP-319.2 EXIT-269	200412
AR627		KZJX	A	US	WGE	WGE	352.600	319.700	130	41	50	113	BT	FL200	FL230							347 OSS/OSOS Moody AFB, GA 460-3531/4544	Jacksonville ARCP-379.2 EXIT-379.2	200412
AR628		KZSE	A	US	WGE	WGE	343.500	292.600	123	21	31	094	BT	FL240	FL260							W AD Sector McChord AFB, WA 382-4604/4605	Seattle ARCP-379.6 EXIT-379.6	200412
AR629		KZMP	A	US	WGE	WGE	296.000	360.900	131	21	30	093	BT	14000	FL230							23 BS Minot AFB, ND 453-2002 701-723-2002	5 OSS Minot RAPCON ARCP-119.6/363.8 EXIT-119.6/363.8	200412
AR630		KZSE	A	US	WGE	WGE	238.900	292.600	130	31	30	093	BT	FL250	FL280							W AD Sector McChord AFB, WA 382-4604	Seattle ARCP-360.7 EXIT-360.7	200412
AR631		KZBW	A	US	WGE	WGE	295.800	282.700	110	31	51	114	BT	FL200	FL260							NE ADS/DOA Rome, NY 587-6247	Boston ARCP-348.7 EXIT-348.7	200412
AR632		KZMP	A	US	WGE	WGE	238.900	282.700	120	31	52	115	BT	FL220	FL270							Alpena Combat Readiness Training Center Airspace Scheduler Alpena, MI 741-3284 B	Minneapolis ARCP-	200412
AR633A		KZTL	A	US	WGE	WGE	295.800	319.700	110	21	52	115	BT	FL180	FL230							134th ARW McGhee-Tyson ANGB Knoxville, TN 266-4396/4390/4371	Atlanta ARCP-254.3 EXIT-272.7E EXIT-254.3W	200605
AR633B		KZTL	A	US	WGE	WGE	295.800	319.700	110	21	52	115	BT	FL180	FL230							134th ARW McGhee-Tyson ANGB Knoxville, TN 266-4396/4390/4371	Atlanta ARCP-272.7 EXIT-272.7E EXIT-254.3W	200605
AR634		KZOA	A	US	WGE	WGE	235.100	319.500	114	51	33	096	BT	FL180	FL310							FACSFAC, SD 735-1757 619-545-1757	Oakland ARCP-343.8 EXIT-343.8 EXIT-290.5	200412
AR635		KZLC	A	US	WGE	WGE	352.600	319.500	122	41	52	115	BT	FL190	FL260							57 OSS/OSOS Nellis AFB, NV 682-2040 702-652-2040	Salt Lake City ARCP-360.8 EXIT-360.8	200605
AR636		KZDC	A	US	WGE	WGE	238.900	319.700	121	41	50	113	BT	FL200	FL290							1 FW Langley AFB, VA 574-2483/2559	Washington ARCP-306.9 EXIT-306.9 Giant Killer ARCP-238.1 EXIT-238.1	200412
AR637		KZKC	A	US	WGE	WGE	291.900	319.700	122	51	50	113	BT	FL190	FL230							131 FG MO ANG Lambert Field St. Louis, MO 824-6310	Kansas City ARCP-317.5 EXIT-317.5	200410
AR638		KZMA	A	US	WGE	WGE	324.600	319.700	113	41	51	114	BT	FL260	FL290							347 Rescue Wing, MacDill AFB, FL 968-4641 813-828-4641	Miami ARCP-323 EXIT-323	200412
AR639		KZAB	A	US	WGE	WGE	291.900	319.500	130	21	31	094	BT	16000	FL280							355th Wing Davis-Monthan AFB, AZ 228-4952/5777 520-228-4952/5777	Albuquerque ARCP-133 ARCP-127.95 EXIT-281.5 EXIT-327.15	200412
