ARF_IDENT	DIRECTION	RMK_SEQ	ICAO	REMARKS	CYCLE_DATE
AR220		2	KZOB	nt as exit. Confirm day of flight (DSN 294-7347/7374) with 171 ARW Command Post.	200610
AR221		1	KZOA	CR PLAN - Use Squadron Tactical Frequencies REMARKS: Restricted to 129 RQW Helicopter/C-130 air refueling. Protected airspace is 5 NM either side of centerline.Air refueling may be conducted in either direction. Hours of operation are cont	200010
AR221		2	KZOA	inuous.	200010
AR222		1	KZOA	CR PLAN - Use Squadron Tactical Frequencies REMARKS: Restricted to 129 RQW Helicopter/C-130 air refueling. Protected airspace is 4 NM east of centerline and 5 NM west of centerline. Air refueling may be conducted in either direction. Hours	200010
AR222		2	KZOA	of operation are continuous. Aircraft shall contact Stockton Approach Control 120.95 or 294.5 at least 5 minutes prior to conducting refueling operations.	200010
AR223		1	KZOA	CR PLAN - Use Squadron Tactical Frequencies REMARKS: Restricted to 129 RQW Helicopter/C-130 air refueling. Protected airspace is 5 NM either side of centerline.Air refueling may be conducted in either direction. Hours of operation are cont	200010
AR223		2	KZOA	inuous.	200010
AR224		1	KZOA	CR PLAN - Use Squadron Tactical Frequencies REMARKS: Restricted to 129 RQW Helicopter/C-130 air refueling. Protected airspace is 5 NM either side of centerline.Air refueling may be conducted in either direction. Hours of operation are cont	200010
AR224		2	KZOA	inuous.	200010
AR225V	N	1	KZOA	CR PLAN - Use 129 RQW assigned frequencies REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200203
AR225V	N	2	KZOA	r to entering and the FSS nearest the exit point, upon exiting.	200203
AR225V	S	1	KZOA	CR PLAN - Use 129 RQW assigned frequencies REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200011
AR225V	S	2	KZOA	r to entering and the FSS nearest the exit point, upon exiting.	200011
AR230V		1	KZLA	CR PLAN - Use 66 ARS assigned frequencies REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200012
AR230V		2	KZLA	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 66ARS use only. Protected airspace is 4 NM either side of centerline. Air refueling may be conducted anywhere within the confines of the protected airspace and m	200012
AR230V		3	KZLA	ay include multiple tankers and/or receivers. For VFR use only.	200012
AR231V		1	KZLA	CR PLAN - Use 66 ARS assigned frequencies REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200008
AR231V		2	KZLA	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 66ARS use only. Protected airspace is 4 NM either side of centerline. Air refueling may be conducted anywhere within the confines of the protected airspace and m	200008
AR231V		3	KZLA	ay include multiple tankers and/or receivers. For VFR use only.	200008
AR24	N	1	KZDV	REMARKS: None	200411
AR24	S	1	KZDV	REMARKS: None	200411
AR242V	N	1	KZOA	CR PLAN - Use 129 RQW assigned frequencies REFUELING ALTITUDES - 500 AGL/4500 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR242V	N	2	KZOA	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting.	200011
AR242V	S	1	KZOA	CR PLAN - Use 129 RQW assigned frequencies REFUELING ALTITUDES - 500 AGL/4500 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR242V	S	2	KZOA	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting.	200011
AR243V	N	1	KZOA	CR PLAN - Use 129 RQW assigned frequencies REFUELING ALTITUDES - 500 AGL/5500 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR243V	N	2	KZOA	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting.	200011
AR243V	S	1	KZOA	CR PLAN - Use 129 RQW assigned frequencies REFUELING ALTITUDES - 500 AGL/5500 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR243V	S	2	KZOA	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting.	200011
AR255H	E	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the EXIT point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200204
AR255H	E	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5L and AR255L.	200204
AR255H	W	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the EXIT point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200204
AR255H	W	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5L and AR255L.	200204
AR255L	E	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the EXIT point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200204
AR255L	E	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5H and AR255H.	200204
AR255L	W	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the EXIT point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200204
AR255L	W	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5H and AR255H.	200204
AR302	E	1	KZHU	REMARKS:	200204
AR302	W	1	KZHU	REMARKS:	200204
AR304AV		1	KZSE	CR PLAN - a. Prim Freq 125.8; b. Backup Freq 291.7 REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200011
AR304AV		2	KZSE	r to entering and the FSS nearest the exit point, upon exiting. Flight directionNorth to South. Protected airspace is 4 NM either side of centerline. Track length is 45 NM. Restricted to H-60 and C-130 refueling operations. Air refueling m	200011
AR304AV		3	KZSE	ay include multiple tankers and/or receivers. Continuous times of operations. Contact Seattle ARTCC for radar advisories and flight following. Participants willcommunicate with ATC during refueling operations.	200011
AR304BV		1	KZSE	CR PLAN - a. Prim Freq 125.8; b. Backup Freq 291.7 REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200008
AR304BV		2	KZSE	r to entering and the FSS nearest the exit point, upon exiting. Flight directionSouth to North. Protected airspace is 4 NM either side of centerline. Track length is 45 NM. Restricted to H-60 and C-130 refueling operations. Air refueling m	200008
AR304BV		3	KZSE	ay include multiple tankers and/or receivers. Continuous times of operations. Contact Seattle ARTCC for radar advisories and flight following. Participants willcommunicate with ATC during refueling operations.	200008
AR305AV		1	KZSE	CR PLAN - a. Prim Freq 128.15; b. Backup Freq 288.1 REFUELING ALTITUDES - 1500 AGL/6000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR305AV		2	KZSE	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting. Flight directionSouth to North. Protected airspace is 4 NM either side of centerline. Track len	200011
AR305AV		3	KZSE	gth is 62 NM. Restricted to H-60 and C-130 refueling operations. Air refueling may include multiple tankers and/or receivers. Continuous times of operations. South of lat. N45-00-00 remain at or above 4500'. Participants will contact Seattl	200011
AR305AV		4	KZSE	e ARTCC prior to entering Class E airspace.	200011
AR305BV		1	KZSE	CR PLAN - a. Prim Freq 128.15; b. Backup Freq 288.1 REFUELING ALTITUDES - 1500 AGL/6000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR305BV		2	KZSE	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting. Flight directionNorth to South. Protected airspace is 4 NM either side of centerline. Track len	200011
AR305BV		3	KZSE	gth is 62 NM. Restricted to H-60 and C-130 refueling operations. Air refueling may include multiple tankers and/or receivers. Continuous times of operations. South of lat. N45-00-00 remain at or above 4500'. Participants will contact Seattl	200011
AR305BV		4	KZSE	e ARTCC prior to entering Class E airspace.	200011
AR306AV		1	KZSE	CR PLAN - a. Prim Freq 128.15; Backup Freq 288.1 REFUELING ALTITUDES - 1000 AGL /5000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR306AV		2	KZSE	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting. Flight directionNorth to South. Protected airspace is 4 NM either side of centerline. Track len	200011
AR306AV		3	KZSE	gth is 37 NM. Restricted to H-60 and C-130 refueling operations. Air refueling may include multiple tankers and/or receivers. Continuous times of operations. Participants will contact Seattle ARTCC prior to entering Class E airspace.	200011
AR306BV		1	KZSE	CR PLAN - a. Prim Freq 128.15; b. Backup Freq 288.1 REFUELING ALTITUDES - 1000 AGL /5000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refue	200011
AR306BV		2	KZSE	ling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prior to entering and the FSS nearest the exit point, upon exiting. Flight directionSouth to North. Protected airspace is 4 NM either side of centerline. Track len	200011
AR306BV		3	KZSE	gth is 37 NM. Restricted to H-60 and C-130 refueling operations. Air refueling may include multiple tankers and/or receivers. Continuous times of operations. Participants will contact Seattle ARTCC prior to entering Class E airspace.	200011
AR307A	E	1	KZSE	REMARKS: Refuel eastbound only.	200411
AR307B	W	1	KZSE	REMARKS: Refuel westbound only.	200411
AR307C		1	KZSE	REMARKS: None	200204
AR309	E	1	KZKC	REMARKS: All turns to left in tanker orbit pattern. SODAR authorized with AR330.	200410
AR309	W	1	KZKC	REMARKS: All turns to left in tanker orbit pattern. SODAR authorized with AR330.	200410
AR310	E	1	KZAB	REMARKS: Use of the High Altitude Block is not authorized between 1600-1900Z++. Use of Low Altitude Block is unrestricted.	200411
AR310	W	1	KZAB	REMARKS: Use of the High Altitude Block is not authorized between 1600-1900Z++. Use of Low Altitude Block is unrestricted.	200411
AR312H		1	KZAB	REMARKS: Intended for exclusive use by 97 AMW aircraft and support tankers only.Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority. If subsequent rendezvous are conducted all maneuvering must b	200006
AR312H		2	KZAB	e completed without going East of the ARIP. Tanker and Receiver crews should file three (3) times up and down the track to ensure 3 hours of track time. Indicate three (3) hours of track time required in Remarks Section of DD Form 175. SODA	200006
AR312H		3	KZAB	R authorized with AR312L.	200006
AR312L		1	KZAB	REMARKS: Intended for exclusive use by 97 AMW aircraft and support tankers only.Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority. If subsequent rendezvous are conducted all maneuvering must b	200006
AR312L		2	KZAB	e completed without going East of the ARIP. Tanker and Receiver crews should file three (3) times up and down the track to ensure 3 hours of track time. Indicate three (3) hours of track time required in Remarks Section of DD Form 175. SODA	200006
AR312L		3	KZAB	R authorized with AR312H.	200006
AR313	N	1	KZFW	REMARKS: Intended for exclusive use by 97 AMW aircraft conducting formation AR training and support tankers only. Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority. No simultaneous refueling wi	200008
AR313	N	2	KZFW	th AR313A.	200008
AR313	S	1	KZFW	REMARKS: Intended for exclusive use by 97 AMW aircraft conducting formation AR training and support tankers only. Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority. No simultaneous refueling wi	200008
AR313	S	2	KZFW	th AR313A.	200008
AR313A	N	1	KZHU	REMARKS: Intended for exclusive use by 97 AMW aircraft conducting formation AR training and support tankers only. Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority. No simultaneous refueling wi	200009
AR313A	N	2	KZHU	th AR313. The 97 OSS/OSOS will ensure that the following special use airspace isnot active: a.-Lady ATCAA/R3801 - contact 917 OSF/OSTA DSN 781-9154. b.-Warrior/Lancer ATCAA's, R3803B and R3804C - contact Fort Polk LA Tower DSN 863-7982/727	200009
AR313A	N	3	KZHU	6.	200009
AR313A	S	1	KZFW	REMARKS: Intended for exclusive use by 97 AMW aircraft conducting formation AR training and support tankers only. Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority. No simultaneous refueling wi	200009
AR313A	S	2	KZFW	th AR313. The 97 OSS/OSOS will ensure that the following special use airspace isnot active: a.-Lady ATCAA/R3801 - contact 917 OSF/OSTA DSN 781-9154. b.-Warrior/Lancer ATCAA's, R3803B and R3804C - contact Fort Polk LA Tower DSN 863-7982/727	200009
AR313A	S	3	KZFW	6.	200009
AR314	E	1	KZAB	ASSIGNED ARTCC - (East)-ARCP 346.35 FL 240/FL 260; 239.25 FL 270/FL 310 EXIT 351.7 FL 240/FL 260; 385.65 FL 270/FL 310 (West)-ARCP 351.7 FL 240/FL 260; 385.65 FL 270/FL 310 EXIT 346.35 FL 240/FL 260; 239.25 FL 270/FL 310	200203
AR314	E	2	KZAB	REMARKS: Restricted to FL 260 and below, Mon-Fri, between 1600-1800Z++, other times restricted to a refueling altitude block FL 240/FL 260 or block FL 270/FL 310. Restricted for use by the 552 ACW acft and support tankers only.	200203
AR314	W	1	KZAB	ASSIGNED ARTCC - (East)-ARCP 346.35 FL 240/FL 260; 239.25 FL 270/FL 310 EXIT 351.7 FL 240/FL 260; 385.65 FL 270/FL 310 (West)-ARCP 351.7 FL 240/FL 260; 385.65 FL 270/FL 310 EXIT 346.35 FL 240/FL 260; 239.25 FL 270/FL 310	200203
AR314	W	2	KZAB	REMARKS: Restricted to FL 260 and below, Mon-Fri, between 1600-1800Z++, other times restricted to a refueling altitude block FL 240/FL 260 or block FL 270/FL 310. Restricted for use by the 552 ACW acft and support tankers only.	200203
AR315	E	1	KZID	REMARKS: Refueling not permitted 1500-1600Z++ and 1930-2030Z++ Mon-Fri.	200010
AR315	W	1	KZTL	REMARKS: Refueling not permitted 1500-1600Z++ and 1930-2030Z++ Mon-Fri.	200010
AR318	E	1	KZKC	REMARKS: None	200204
AR318	W	1	KZKC	REMARKS: None	200204
AR321		1	KZAU	REMARKS: Air refueling on J-38 to GRB, right turn to intercept GRB 295 radial outbound to 60 DME, 30 degrees bank left turn to intercept GRB 285 radial inbound to GRB, and fly GRB 105 radial outbound to the exit.	200411
AR324		1	TJZS	REMARKS: Request pilots file distance-radials in lieu of coordinates even thoughdistances filed may exceed the 130 NM limitation for navigational purposes.	200411
AR328		1	KZTL	REMARKS: Left turn at PSK VORTAC 255/100, inbound PSK VORTAC 242.	200605
AR330	E	1	KZKC	REMARKS: When using AR330 (West), plan to avoid Truman MOA/ATCAA airspace 13 NM east of the ARIP. This airspace is potentially active up to FL 230. Contact the 509 OSS/OSOS at DSN 975-1713/1754 to determine if scheduled MOA/ATCAA operations	200610
AR330	E	2	KZKC	will restrict enroute access to the ARIP. For weekends, holidays and non-duty days contact the 190ARW Command Post at DSN 720-4663, C785-861-4663.	200610
AR330	W	1	KZKC	REMARKS: When using AR330 (West), plan to avoid Truman MOA/ATCAA airspace 13 NM east of the ARIP. This airspace is potentially active up to FL 230. Contact the 509 OSS/OSOS at DSN 975-1713/1754 to determine if scheduled MOA/ATCAA operations	200610
AR330	W	2	KZKC	will restrict enroute access to the ARIP. For weekends, holidays and non-duty days contact the 190ARW Command Post at DSN 720-4663, C785-861-4663.	200610
AR332	NW	1	TJZS	REMARKS: None	200411
AR332	SE	1	TJZS	REMARKS: None	200411
AR355		1	KZSE	REMARKS: Used for operational requirements only and not approved for practice ortraining unless prior approval is obtained from Seattle ARTCC 72 hours in advance through the scheduling facility. No simultaneous refueling with AR356.	200411
AR356		1	KZSE	SCHEDULING UNIT: (1330-2230z++ wkd) REMARKS: Used for operational requirements only and not approved for practice ortraining unless prior approval is obtained from Seattle ARTCC 72 hours in advan	200001
AR356		2	KZSE	ce through the scheduling facility. No simultaneous refueling with AR355.	200001
AR3H	E	1	KZLA	REMARKS: Due to track proximity to ARTCC boundaries, aircrews should not requestnor expect to receive amendments to flight plan routing after air refueling exit. This condition is accentuated during peak traffic periods 1600-1800Z++ and 01	200008
AR3H	E	2	KZLA	00-0300Z++.	200008
AR3H	W	1	KZDV	REMARKS: Due to track proximity to ARTCC boundaries, aircrews should not requestnor expect to receive amendments to flight plan routing after air refueling exit. This condition is accentuated during peak traffic periods 1600-1800Z++ and 01	200008
AR3H	W	2	KZDV	00-0300Z++.	200008
AR3L		1	KZDV	REMARKS: None	200204
AR400	N	1	KZKC	REMARKS: Intended for exclusive use by 97 AMW aircraft and support tankers only.Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority.	200008
AR400	S	1	KZKC	REMARKS: Intended for exclusive use by 97 AMW aircraft and support tankers only.Other aircraft permitted on non-interference basis. The 97 OSS/OSOS retains preemption authority.	199910
AR406H	E	1	KZMP	REMARKS: SODAR authorized. All SODAR Course Reversal Turns to the North. AR406H will be scheduled solely by the 55th WG. 55th WG aircraft will have priority foruse of AR406H.	200511
AR406H	W	1	KZMP	REMARKS: SODAR authorized. All SODAR Course Reversal Turns to the North. AR406H will be scheduled solely by the 55th WG. 55th WG aircraft will have priority foruse of AR406H.	200511
AR406L	E	1	KZMP	REMARKS: SODAR authorized. All SODAR Course Reversal Turns to the North. AR406L will be scheduled solely by the 55th WG. 55th WG aircraft will have priority foruse of AR406L.	200511
AR406L	W	1	KZMP	REMARKS: SODAR authorized. All SODAR Course Reversal Turns to the North. AR406L will be scheduled solely by the 55th WG. 55th WG aircraft will have priority foruse of AR406L.	200511
AR40V	E	1	KZJX	REFUELING ALTITUDES - 1000 AGL/4000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200204
AR40V	E	2	KZJX	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 347 Wg use only. Protected airspace is 4 NM either side of centerline. Air refueling aircraft may include multiple tankers and receivers. Hours of operation: Inte	200204
AR40V	E	3	KZJX	rmittent 1400-0700Z++ daily. Other times by NOTAM. For VFR use only.	200204
AR40V	W	1	KZJX	REFUELING ALTITUDES - 1000 AGL/4000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200204
AR40V	W	2	KZJX	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 347 Wg use only. Protected airspace is 4 NM either side of centerline. Air refueling aircraft may include multiple tankers and receivers. Hours of operation: Inte	200204
AR40V	W	3	KZJX	rmittent 1400-0700Z++ daily. Other times by NOTAM. For VFR use only.	200204
AR41V	N	1	KZJX	REFUELING ALTITUDES - 1000 AGL/4000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200204
AR41V	N	2	KZJX	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 347 Wg use only. Protected airspace is 4 NM either side of centerline. Air refueling aircraft may include multiple tankers and receivers. Hours of operation: Inte	200204
AR41V	N	3	KZJX	rmittent 1400-0700Z++ daily. Other times by NOTAM. For VFR use only.	200204
AR41V	S	1	KZJX	REFUELING ALTITUDES - 1000 AGL/4000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200204
AR41V	S	2	KZJX	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 347 Wg use only. Protected airspace is 4 NM either side of centerline. Air refueling aircraft may include multiple tankers and receivers. Hours of operation: Inte	200204
AR41V	S	3	KZJX	rmittent 1400-0700Z++ daily. Other times by NOTAM. For VFR use only.	200204
AR42V	E	1	KZJX	REFUELING ALTITUDES - 1000 AGL/4000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200204
AR42V	E	2	KZJX	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 347 Wg use only. Protected airspace is 4 NM either side of centerline. Air refueling aircraft may include multiple tankers and receivers. Hours of operation: Inte	200204
AR42V	E	3	KZJX	rmittent 1400-0700Z++ daily. Other times by NOTAM. For VFR use only.	200204
AR42V	W	1	KZJX	REFUELING ALTITUDES - 1000 AGL/4000 MSL REMARKS: Tanker aircraft pilots scheduled to operate within VFR Helicopter Refueling Tracks/Anchors shall advise the FSS nearest the entry point, 5 minutes prio	200204
AR42V	W	2	KZJX	r to entering and the FSS nearest the exit point, upon exiting. Restricted to 347 Wg use only. Protected airspace is 4 NM either side of centerline. Air refueling aircraft may include multiple tankers and receivers. Hours of operation: Inte	200204
AR42V	W	3	KZJX	rmittent 1400-0700Z++ daily. Other times by NOTAM. For VFR use only.	200204
AR452	NE	1	KZOA	REMARKS: None	200204
AR452	SW	1	KZOA	REMARKS: None	200204
AR453		1	KZMP	REMARKS: None	200204
AR455	E	1	KZKC	REMARKS: Closed daily from 1400-1500Z++, 1800-1900Z++ and 2359-0059Z++. Normal scheduling will be accomplished through MASMS. Note: 552 OSS/OSOS retains exclusive bump privileges.	200008
AR455	W	1	KZKC	REMARKS: Closed daily from 1400-1500Z++, 1800-1900Z++ and 2359-0059Z++. Normal scheduling will be accomplished through MASMS. Note: 552 OSS/OSOS retains exclusive bump privileges.	199811
AR462		1	KZOA	REMARKS: None	200204
AR4A	N	1	KZSE	REMARKS: Portions of AR4A lie within SADDLE airspace. Receiver units scheduling this track must contact the 190 FS (Boise ANG) at DSN 422-5348 to ensure deconfliction of air refueling operations with SADDLE activity.	200009
AR4A	S	1	KZSE	REMARKS: Portions of AR4A lie within SADDLE airspace. Receiver units scheduling this track must contact the 190 FS (Boise ANG) at DSN 422-5348 to ensure deconfliction of air refueling operations with SADDLE activity.	200009
AR4B	N	1	KZSE	REMARKS: AR4B (North) - To make an early exit from this track, air crews will file to NAV point DNJ 247/030 as an end point for refueling.	200008
AR4B	S	1	KZSE	REMARKS: AR4B (North) - To make an early exit from this track, air crews will file to NAV point DNJ 247/030 as an end point for refueling.	200008
AR505	E	1	PAZA	REMARKS: Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN 317-552-2719/2382 at least 8 hours prior to mission brief time.	200411
AR505	W	1	PAZA	REMARKS: Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN 317-552-2719/2382 at least 8 hours prior to mission brief time.	200411
AR506	N	1	PAZA	REMARKS: Refueling restricted to three flight levels. Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN317-552-2719/2382 at least 8 hours prior to mission brief time.	200411
AR506	S	1	PAZA	REMARKS: Refueling restricted to three flight levels. Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN317-552-2719/2382 at least 8 hours prior to mission brief time.	200411
AR507	E	1	PAZA	REMARKS: Times as coordinated with ARTCC. Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN 317-552-2719/2382 at least 8 hours prior to mission brief time.	200411
AR507	W	1	PAZA	REMARKS: Times as coordinated with ARTCC. Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN 317-552-2719/2382 at least 8 hours prior to mission brief time.	200411
AR508E		1	PAZA	REMARKS: Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN 317-552-2719/2382 at least 8 hours prior to mission brief time. Simultaneous Opposite Direction Aerial Refueling (SODAR) aut	200411
AR508E		2	PAZA	horized with AR508W when scheduled and coordinated with the 168 ARG and ATC.	200411
AR508W		1	PAZA	REMARKS: Weather briefing support agencies should request mission forecast support from Alaska Forecast Unit at DSN 317-552-2719/2382 at least 8 hours prior to mission brief time. Simultaneous Opposite Direction Aerial Refueling (SODAR) aut	200411
AR508W		2	PAZA	horized with AR508E when scheduled and coordinated with the 168 ARG and ATC.	200411
AR5H	E	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the exit point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200008
AR5H	E	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5L.	200008
AR5H	W	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the exit point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200008
AR5H	W	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5L.	200008
AR5L	E	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the exit point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200008
AR5L	E	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5H.	200008
AR5L	W	1	KZOA	REMARKS: Tankers westbound on the track may routinely proceed to the exit point,execute a right turn and continue refueling eastbound, when annotated on the flight plan. Flight plan remarks will state: Continuous refueling through turn and	200008
AR5L	W	2	KZOA	eastbound to ARCP. Simultaneous opposite direction air refueling (SODAR) authorized with AR5H.	200008
AR6	N	1	KZOA	REMARKS: Hours of operation: 1630-2359Z++ and 0330-1400Z++ daily. All turns shall be made to the west.	200406
AR6	S	1	KZOA	REMARKS: Hours of operation: 1630-2359Z++ and 0330-1400Z++ daily. All turns shall be made to the west.	200406
AR600		1	KZJX	REFUELING ALTITUDES - or as assigned by ATC 3000' required TIMES OF OPERATION - Authorized all times except 1400-1600Z++ REMARKS: Jacksonville ARTCC radar must be operational. The scheduling unit (20 OSS/OSOS) will resolve conflictions with	200009
AR600		2	KZJX	AR207. Simultaneous use of AR600 and AR207 is prohibited. User contact scheduling unit during normal duty hours, 1230-2130Z++, Mon-Fri, except holidays.	200009
AR601		1	KZJX	CR PLAN MILITARY RADAR - Free Mason Primary 286.7 Secondary 321.2 or as assignedREFUELING ALTITUDES - as assigned by ATC 3000' required TIMES OF OPERATION: Unlimited	200012
AR601		2	KZJX	REMARKS: Jacksonville ARTCC radar must be operational. Expect FL 240 and above for normal operations. Operations FL 230 and below will be approved on an individual basis.User contact scheduling unit during normal duty hours, 1230-2130Z++ Mo	200012
AR601		3	KZJX	n-Fri, except holidays.	200012
AR602		1	KZAB	TIMES OF OPERATION: Unlimited REMARKS: Right hand pattern. FL 180/FL 260 will be controlled by, and for the use of, 27 FW based aircraft only. Military radar and/or Albuquerque ARTCC radar m	200011
AR602		2	KZAB	ust be operational. Be alert for strong westerly winds.	200011
AR603		1	KZAB	CR PLAN MILITARY RADAR - O'Grady Primary 321.2 Secondary 286.2 or as assigned TIMES OF OPERATION - Unlimited REMARKS: Military radar and/or Albuquerque ARTCC radar must be operational. Anticipate encountering strong northerly winds while re	200011
AR603		2	KZAB	fueling. 56 RMO/AROS (Sked unit) shall not schedule the use of AR603 when the Gladden/Bagdad MOA's are in use.	200011
AR604		1	KZLC	CR PLAN MILITARY RADAR - Big Foot Primary 238.4 Secondary 260.8 REFUELING ALTITUDES - or as assigned by ATC 3000' required TIMES OF OPERATION: Unlimited	200014
AR604		2	KZLC	REMARKS: Military radar and/or Salt Lake City ARTCC must be operational to conduct air refueling.	200014
AR606		1	KZMP	CR PLAN MILITARY RADAR - Big Foot AICC 364.2 or as assigned by ATC REFUELING ALTITUDES - or as assigned by ATC 3000' required TIMES OF OPERATION: Unlimited	200014
AR606		2	KZMP	REMARKS: Military radar and/or Minneapolis ARTCC radar must be operational to conduct air refueling.	200014
